"brand","Series","PartNo","DetailLink","dataSheet","Package version","Remarks","Standby current","Operating Temperature","I2C-bus controlled","Part type","Accuracy on-chip","Operating voltage","Assignable addresses","SMBus clock","Accuracy remote"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004ATK","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004ATK.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT782-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004BD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004BD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004BDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004BDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004CD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004CD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004CDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004CDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004DD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004DD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004DDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004DDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004ED","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004ED.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004EDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004EDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004FD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004FD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004FDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004FDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004GD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004GD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004GDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004GDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004HD","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004HD.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT96-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SA56004HDP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SA56004HDP.html","http://www.nxp.com/documents/data_sheet/SA56004X.pdf","SOT505-1","","10","0~125","3.0~5.5","","2@+60~100?3@0~125","3.0~5.5","8","400","1@+60~100?3@0~125"
"nxp","Sensors---I²C temperature/voltage monitors","SE95D","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SE95D.html","http://www.nxp.com/documents/data_sheet/SE95.pdf","SOT96-1","","7","-55~125","2.8~5.5","","1@-25~100?2@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","SE95DP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SE95DP.html","http://www.nxp.com/documents/data_sheet/SE95.pdf","SOT505-1","","7","-55~125","2.8~5.5","","1@-25~100?2@-55~125","2.8~5.5","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","SE97BTP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SE97BTP.html","http://www.nxp.com/documents/data_sheet/SE97B.pdf","SOT1069-2","","5","-20~125","3.0~3.6","","1@-75~95?2@40~125","3.0~3.6","8","400",""
"nxp","Sensors---I²C temperature/voltage monitors","SE98ATP","http://www.nxp.com/products/sensors/i2c_temperature_voltage_monitors/SE98ATP.html","http://www.nxp.com/documents/data_sheet/SE98A.pdf","SOT1069-2","","5","-20~125","3.0~3.6","","2@-75~95?3@40~125","3.0~3.6","8","400",""
