"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","USB","USB (speed)","USB (type)","UART","I²C","SPI","ADC channels","ADC","ADC sample rate","Timers","Timer","SCTimer / PWM","PWM","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC1300","LPC1342FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1342FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","16","4","0","40","1","FS","device","1","1","1","8","10","400 ksps","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1342FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1342FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","16","4","0","28","1","FS","device","1","1","1","8","10","400 ksps","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1343FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1343FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","40","1","FS","device","1","1","1","8","10","400 ksps","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1343FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1343FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1311_13_42_43.pdf","Cortex-M3","72","90","32","8","0","28","1","FS","device","1","1","1","8","10","400 ksps","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","N","2","3.6","Production","OM11039; OM11040; OM11048","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1345FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1345FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","10","2","40","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1345FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1345FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","32","10","2","26","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1346FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1346FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","48","10","4","40","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1346FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1346FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","48","10","4","26","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","N","2","3.6","Production","OM13034","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1347FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1347FBD48.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","12","4","40","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","N","2","3.6","Production","OM13034; OM13045","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1347FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1347FBD64.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","12","4","51","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","LQFP64","-40 °C to +85 °C","N","2","3.6","Production","OM13034; OM13045","110-LPC1300-"
"nxp","Microcontrollers---Product series---LPC1300","LPC1347FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1300/LPC1347FHN33.html","http://www.nxp.com/documents/data_sheet/LPC1315_16_17_45_46_47.pdf","Cortex-M3","72","90","64","12","4","26","1","FS","device","1","1","2","8","12","400 ksps","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","N","2","3.6","Production","OM13034; OM13045","110-LPC1300-"
