"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","USB","USB (speed)","USB (type)","CAN","UART","I²C","SPI","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","PWM","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC1100","LPC11C22FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11C22FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11CX2_CX4.pdf","Cortex-M0","50","42","16","8","","36","","","","1","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13012","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11C24FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11C24FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11CX2_CX4.pdf","Cortex-M0","50","42","32","8","","36","","","","1","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13012","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11D14FBD100","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11D14FBD100.html","http://www.nxp.com/documents/data_sheet/LPC11D14.pdf","Cortex-M0","50","42","32","8","","42","","","","","1","1","2","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP100","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13023","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E11FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E11FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","8","4","0.5","28","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E12FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E12FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","16","6","1","40","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E13FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E13FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","24","8","2","40","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E14FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E14FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","32","10","4","40","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E14FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E14FBD64.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","32","10","4","54","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP64","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E14FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E14FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11E1X.pdf","Cortex-M0","50","42","32","10","4","28","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E35FHI33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E35FHI33.html","http://www.nxp.com/documents/data_sheet/LPC11E3X.pdf","","","","","","","","","","","","","","","","","400 ksps","","","","","1","","HVQFN32","","","","","","Production","","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E36FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E36FBD64.html","http://www.nxp.com/documents/data_sheet/LPC11E3X.pdf","Cortex-M0","50","42","96","12","4","54","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP64","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13062","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E36FHN33","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E36FHN33.html","http://www.nxp.com/documents/data_sheet/LPC11E3X.pdf","Cortex-M0","50","42","96","12","4","28","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","HVQFN32","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13062","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E37FBD48","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E37FBD48.html","http://www.nxp.com/documents/data_sheet/LPC11E3X.pdf","Cortex-M0","50","42","128","12","4","40","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP48","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13062","030-LPC1100-"
"nxp","Microcontrollers---Product series---LPC1100","LPC11E37FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc1100/LPC11E37FBD64.html","http://www.nxp.com/documents/data_sheet/LPC11E3X.pdf","Cortex-M0","50","42","128","12","4","54","","","","","1","1","","8","10","400 ksps","","","2; 2","16; 32","1","11","LQFP64","-40 °C to +85 °C","","N","1.8","3.6","Production","OM13062","030-LPC1100-"
