"brand","Series","PartNo","DetailLink","dataSheet","Package version","Operating Temperature","PWMs","I2C-bus interface","Reset input pin","I2C-bus","Operating voltage","Max Sink Current per bit","No of Addresses","Max Sink Current, per package","Number of bits"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9553DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9553DP.html","http://www.nxp.com/documents/data_sheet/PCA9553.pdf","SOT505-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9553TK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9553TK.html","http://www.nxp.com/documents/data_sheet/PCA9553.pdf","SOT908-1","-40~85","2 (40 Hz to 6.4 sec)","","","400","2.3~5.5","25","1","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9622DR","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9622DR.html","http://www.nxp.com/documents/data_sheet/PCA9622.pdf","SOT487-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9624BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9624BS.html","http://www.nxp.com/documents/data_sheet/PCA9624.pdf","SOT616-3","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9624PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9624PW.html","http://www.nxp.com/documents/data_sheet/PCA9624.pdf","SOT355-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9626B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9626B.html","http://www.nxp.com/documents/data_sheet/PCA9626.pdf","SOT313-2","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9632DP1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9632DP1.html","http://www.nxp.com/documents/data_sheet/PCA9632.pdf","SOT505-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","1","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9632DP2","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9632DP2.html","http://www.nxp.com/documents/data_sheet/PCA9632.pdf","SOT552-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9632TK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9632TK.html","http://www.nxp.com/documents/data_sheet/PCA9632.pdf","SOT908-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","1","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9632TK2","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9632TK2.html","http://www.nxp.com/documents/data_sheet/PCA9632.pdf","SOT650-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633BS.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT629-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633D16","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633D16.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT109-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633DP1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633DP1.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT505-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","1","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633DP2","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633DP2.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT552-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","4","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633PW.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT403-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9633TK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9633TK.html","http://www.nxp.com/documents/data_sheet/PCA9633.pdf","SOT908-1","-40~85","5 (4 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","1","100","4"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9634BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9634BS.html","http://www.nxp.com/documents/data_sheet/PCA9634.pdf","SOT662-1","-40~85","9 (8 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","200","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9634D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9634D.html","http://www.nxp.com/documents/data_sheet/PCA9634.pdf","SOT163-1","-40~85","9 (8 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","200","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9634PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9634PW.html","http://www.nxp.com/documents/data_sheet/PCA9634.pdf","SOT360-1","-40~85","9 (8 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","200","8"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9635PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9635PW.html","http://www.nxp.com/documents/data_sheet/PCA9635.pdf","SOT361-1","-40~85","17 (16 x 97 kHz dim and 1 x 97 kHz dim or 24 Hz to 10.73 sec blink)","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","400","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9685BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9685BS.html","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","SOT788-1","-40~85","16 x 1 kHz adjustable freq","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","400","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9685PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9685PW.html","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","SOT361-1","-40~85","16 x 1 kHz adjustable freq","Fast Mode Plus 30 mA SDA outputs for 4000 pF bus","","1000","2.3~5.5","25","126","400","16"
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9952TW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9952TW.html","http://www.nxp.com/documents/data_sheet/PCA9952_PCA9955.pdf","SOT1172-2","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9955BTW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9955BTW.html","http://www.nxp.com/documents/data_sheet/PCA9955B.pdf","SOT1172-3","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9955TW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9955TW.html","http://www.nxp.com/documents/data_sheet/PCA9952_PCA9955.pdf","SOT1172-2","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCA9956BTW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCA9956BTW.html","http://www.nxp.com/documents/data_sheet/PCA9956B.pdf","SOT1331-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCU9654PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCU9654PW.html","http://www.nxp.com/documents/data_sheet/PCU9654.pdf","SOT355-1","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCU9656B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCU9656B.html","http://www.nxp.com/documents/data_sheet/PCU9656.pdf","SOT313-2","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C LED display control","PCU9956ATW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_led_display_control/PCU9956ATW.html","http://www.nxp.com/documents/data_sheet/PCU9956A.pdf","SOT1331-1","","","","","","","","","",""
