"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Rline [typ] (Ohm)","VRWM (V)","Cd [typ] (pF)","Ls(ch) [typ] (nH)","VESD IEC61000-4-2 (kV)","IRM [typ] ( µA)","VBR [min] (V)","S21 -3dB  (MHz)"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4251CZ12-6-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4251CZ12-6-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT1167-1","DFN2514-12","2.5 x 1.35 x 0.55","6","100","5.6","15","0.01","15","0.1","5.8","240"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4251CZ16-8-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4251CZ16-8-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","8","100","5.6","15","0.01","15","0.1","5.8","240"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4252CZ8-4-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4252CZ8-4-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","4","40","5.6","18","0.01","15","0.1","5.8","120"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4252CZ12-6-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4252CZ12-6-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","6","40","5.6","18","0.01","15","0.1","5.8","120"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4252CZ16-8-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4252CZ16-8-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","8","40","5.6","18","0.01","15","0.1","5.8","120"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4253CZ8-4-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4253CZ8-4-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","4","200","5.6","45","0.01","25","0.1","5.8","110"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4253CZ12-6-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4253CZ12-6-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT973-2","DFN2514-12","2.5 x 1.35 x 0.5","6","200","5.6","45","0.01","25","0.1","5.8","110"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4253CZ16-8-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4253CZ16-8-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT972-2","DFN1714-8","1.7 x 1.35 x 0.5","8","200","5.6","45","0.01","25","0.1","5.8","110"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4254CZ8-4-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4254CZ8-4-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT1166-1","DFN1714-8","1.7 x 1.35 x 0.55","4","100","5.6","45","0.01","25","0.1","5.8","100"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4254CZ12-6-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4254CZ12-6-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT973-2","DFN2514-12","2.5 x 1.35 x 0.5","6","100","5.6","45","0.01","25","0.1","5.8","100"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4254CZ16-8-TTL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4254CZ16-8-TTL.html","http://www.nxp.com/documents/data_sheet/IP4251_52_53_54-TTL.pdf","SOT974-2","DFN3314-16","3.3 x 1.35 x 0.5","8","100","5.6","45","0.01","25","0.1","5.8","100"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4256CZ3-M","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4256CZ3-M.html","http://www.nxp.com/documents/data_sheet/IP4256CZ3-M_CZ5-W_CZ6-F.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","1","100","5.6","30","0","25","0.1","5.8",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4256CZ5-W","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4256CZ5-W.html","http://www.nxp.com/documents/data_sheet/IP4256CZ3-M_CZ5-W_CZ6-F.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","2","100","5.6","30","0","25","0.1","5.8",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4256CZ6-F","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4256CZ6-F.html","http://www.nxp.com/documents/data_sheet/IP4256CZ3-M_CZ5-W_CZ6-F.pdf","SOT886","XSON6","1.45 x 1 x 0.5","2","100","5.6","30","0","25","0.1","5.8",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4337CX18","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4337CX18.html","http://www.nxp.com/documents/data_sheet/IP4337CX18LF.pdf","OL-IP4337CX18","WLCSP","1.96 x 1.61 x 0.61","7","70","5.5","25","0.01","15","0.02","6","40"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","IP4338CX24","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/IP4338CX24.html","http://www.nxp.com/documents/data_sheet/IP4338CX24LF.pdf","OL-IP4338CX24","WLCSP","1.96 x 2.01 x 0.61","10","70","5.5","25","0.01","15","0.02","6","240"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","PEMI4CSP-RW","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/PEMI4CSP-RW.html","http://www.nxp.com/documents/data_sheet/PEMIXCSP_FAM.pdf","OL-PEMI4CSP_RW","WLCSP","1.56 x 1.05 x 0.61","4","100","5.6","54","","15","0.1","5.8","98"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","PEMI6CSP-RW","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/PEMI6CSP-RW.html","http://www.nxp.com/documents/data_sheet/PEMIXCSP_FAM.pdf","OL-PEMI6CSP_RW","WLCSP","2.36 x 1.05 x 0.61","6","100","5.6","54","","15","0.1","5.8","98"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","PEMI8CSP-RW-P","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/PEMI8CSP-RW-P.html","http://www.nxp.com/documents/data_sheet/PEMIXCSP_FAM.pdf","OL-PEMI8CSP_RW_P","WLCSP","3.16 x 1.05 x 0.61","","","","","","","","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","PEMI1QFN","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/PEMI1QFN.html","http://www.nxp.com/documents/data_sheet/PEMIXQFN_PEMI2STD_FAM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---LCD and camera protection and filtering","PEMI2QFN","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/lcd_and_camera_protection_and_filtering/PEMI2QFN.html","http://www.nxp.com/documents/data_sheet/PEMIXQFN_PEMI2STD_FAM.pdf","SOT886","XSON6","1.45 x 1 x 0.5","","","","","","","","",""
