"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","DMIPS","Flash","RAM","EEPROM","GPIO","Ethernet","USB","USB (speed)","USB (type)","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","ADC sample rate","Comparators","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","QEI","Package name","Temperature range","Temperature sensor","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4078FET180","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4078FET180.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","142","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","TFBGA180","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13038","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4078FET208","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4078FET208.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","165","1","1","FS","host/device","0","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","TFBGA208","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13038","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4088FBD144","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4088FBD144.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","109","1","1","FS","host/device","1","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","LQFP144","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13029; OM13063; OM13079; OM13083","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4088FBD208","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4088FBD208.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","165","1","1","FS","host/device","1","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","LQFP208","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13029; OM13063; OM13079; OM13083","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4088FET180","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4088FET180.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","142","1","1","FS","host/device","1","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","TFBGA180","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13029; OM13063; OM13079; OM13083","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC4088FET208","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC4088FET208.html","http://www.nxp.com/documents/data_sheet/LPC408X_7X.pdf","Cortex-M4F","120","152","512","96","4","165","1","1","FS","host/device","1","2","5","3","3","1","8","12","400 ksps","2","10","4","32","1","","6","1","TFBGA208","-40 °C to +85 °C","0","N","2.4","3.6","Production","OM13029; OM13063; OM13079; OM13083","180-LPC4000-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC54101J256BD64","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC54101J256BD64.html","http://www.nxp.com/documents/data_sheet/LPC5410X.pdf","Cortex-M4F","100","127","256","104","","50","","","","","","","4","3","2","","12","12","4.8 Msps","","","5","32","1","1","1","","LQFP64","-40 °C to +105 °C","","N","1.62","3.6","Qualification","OM13077; OM13078","194-LPC54100-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC54101J256UK49","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC54101J256UK49.html","http://www.nxp.com/documents/data_sheet/LPC5410X.pdf","Cortex-M4F","100","127","256","104","","39","","","","","","","4","3","2","","12","12","4.8 Msps","","","5","32","1","1","1","","WLCSP","-40 °C to +105 °C","","N","1.62","3.6","Production","OM13077; OM13078","194-LPC54100-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC54101J512BD64","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC54101J512BD64.html","http://www.nxp.com/documents/data_sheet/LPC5410X.pdf","Cortex-M4F","100","127","512","104","","50","","","","","","","4","3","2","","12","12","4.8 Msps","","","5","32","1","1","1","","LQFP64","-40 °C to +105 °C","","N","1.62","3.6","Qualification","OM13077; OM13078","194-LPC54100-"
"nxp","Microcontrollers---Core---Cortex-M4/M4F","LPC54101J512UK49","http://www.nxp.com/products/microcontrollers/core/cortex_m4_m4f/LPC54101J512UK49.html","http://www.nxp.com/documents/data_sheet/LPC5410X.pdf","Cortex-M4F","100","127","512","104","","39","","","","","","","4","3","2","","12","12","4.8 Msps","","","5","32","1","1","1","","WLCSP","-40 °C to +105 °C","","N","1.62","3.6","Production","OM13077; OM13078","194-LPC54100-"
