"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Function","Operating Temperature","Number of bits","Voltage Translation Range","Operating voltage","Operating voltage 2","Inputs","Outputs","TTL Drive","GTL Drive","I2C-bus"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2001GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2001GM.html","http://www.nxp.com/documents/data_sheet/NVT2001_NVT2002.pdf","SOT886","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2002DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2002DP.html","http://www.nxp.com/documents/data_sheet/NVT2001_NVT2002.pdf","SOT505-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2002GD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2002GD.html","http://www.nxp.com/documents/data_sheet/NVT2001_NVT2002.pdf","SOT996-2","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2003DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2003DP.html","http://www.nxp.com/documents/data_sheet/NVT2003_04_06.pdf","SOT552-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2006BQ","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2006BQ.html","http://www.nxp.com/documents/data_sheet/NVT2003_04_06.pdf","SOT763-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2006BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2006BS.html","http://www.nxp.com/documents/data_sheet/NVT2003_04_06.pdf","SOT758-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2006PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2006PW.html","http://www.nxp.com/documents/data_sheet/NVT2003_04_06.pdf","SOT403-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2008BQ","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2008BQ.html","http://www.nxp.com/documents/data_sheet/NVT2008_NVT2010.pdf","SOT764-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2008PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2008PW.html","http://www.nxp.com/documents/data_sheet/NVT2008_NVT2010.pdf","SOT360-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2010BQ","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2010BQ.html","http://www.nxp.com/documents/data_sheet/NVT2008_NVT2010.pdf","SOT815-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2010BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2010BS.html","http://www.nxp.com/documents/data_sheet/NVT2008_NVT2010.pdf","SOT616-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT2010PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT2010PW.html","http://www.nxp.com/documents/data_sheet/NVT2008_NVT2010.pdf","SOT355-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT4555UK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT4555UK.html","http://www.nxp.com/documents/data_sheet/NVT4555.pdf","","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT4556AUK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT4556AUK.html","http://www.nxp.com/documents/data_sheet/NVT4556.pdf","","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","NVT4556BUK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/NVT4556BUK.html","http://www.nxp.com/documents/data_sheet/NVT4556.pdf","","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","P82B96DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/P82B96DP.html","http://www.nxp.com/documents/data_sheet/P82B96.pdf","SOT505-1","","","-40~85","","","2.0~15.0","","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","P82B96TD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/P82B96TD.html","http://www.nxp.com/documents/data_sheet/P82B96.pdf","SOT96-1","","","-40~85","","","2.0~15.0","","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306D.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT96-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306DC","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306DC.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT765-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306DC1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306DC1.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT765-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306DP.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT505-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306DP1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306DP1.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT505-2","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306GD1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306GD1.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT996-2","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306GF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306GF.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT1089","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9306GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9306GM.html","http://www.nxp.com/documents/data_sheet/PCA9306.pdf","SOT902-2","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9507D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9507D.html","http://www.nxp.com/documents/data_sheet/PCA9507.pdf","SOT96-1","","","-40~85","","","2.7~5.5","2.7~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9507DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9507DP.html","http://www.nxp.com/documents/data_sheet/PCA9507.pdf","SOT505-1","","","-40~85","","","2.7~5.5","2.7~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9508D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9508D.html","http://www.nxp.com/documents/data_sheet/PCA9508.pdf","SOT96-1","","","-40~85","","","2.7~5.5","0.9~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9508DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9508DP.html","http://www.nxp.com/documents/data_sheet/PCA9508.pdf","SOT505-1","","","-40~85","","","2.7~5.5","0.9~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9509ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9509ADP.html","http://www.nxp.com/documents/data_sheet/PCA9509A.pdf","SOT505-1","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9509AGM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9509AGM.html","http://www.nxp.com/documents/data_sheet/PCA9509A.pdf","SOT902-2","","","","","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9509D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9509D.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT96-1","","","-40~85","","","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9509DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9509DP.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT505-1","","","-40~85","","","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9509GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9509GM.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT902-2","","","-40~85","","","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9512BD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9512BD.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT96-1","","","-40~85","","","2.7~5.5","2.7~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9512BDP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9512BDP.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT505-1","","","-40~85","","","2.7~5.5","2.7~5.5","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9515AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9515AD.html","http://www.nxp.com/documents/data_sheet/PCA9515A.pdf","SOT96-1","","","-40~85","","","2.3~3.6 tolerant to 5.5","","1","1","","","400"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","PCA9515ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/PCA9515ADP.html","http://www.nxp.com/documents/data_sheet/PCA9515A.pdf","SOT505-1","","","-40~85","","","2.3~3.6 tolerant to 5.5","","1","1","","","400"
