"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)","Recommended for"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","IP4369CX4","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/IP4369CX4.html","http://www.nxp.com/documents/data_sheet/IP4369CX4.pdf","WLCSP","WLCSP","0.76 x 0.76 x 0.47","2","Rail-to-Rail","0.8","1","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PESD5V0X1BL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PESD5V0X1BL.html","http://www.nxp.com/documents/data_sheet/PESD5V0X1BL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Bidirectional","0.9","1.3","5","9","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PESD5V0X2UAM","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PESD5V0X2UAM.html","http://www.nxp.com/documents/data_sheet/PESD5V0X2UAM.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","Unidirectional","0.8","","","15","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PESD5V0X2UAMB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PESD5V0X2UAMB.html","http://www.nxp.com/documents/data_sheet/PESD5V0X2UAMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","2","Unidirectional","0.8","0.95","5","8","0.01","USB2.0"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PRTR5V0U2F","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PRTR5V0U2F.html","http://www.nxp.com/documents/data_sheet/PRTR5V0U2F_PRTR5V0U2K.pdf","SOT886","XSON6","1.45 x 1 x 0.5","2","Rail-to-Rail","1","1.5","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PRTR5V0U4D","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PRTR5V0U4D.html","http://www.nxp.com/documents/data_sheet/PRTR5V0U4D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Rail-to-Rail","1","1.2","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PRTR5V0U4Y","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PRTR5V0U4Y.html","http://www.nxp.com/documents/data_sheet/PRTR5V0U4Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","4","Rail-to-Rail","1","1.2","5.5","8","0.1",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSB2X4D","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSB2X4D.html","http://www.nxp.com/documents/data_sheet/PUSB2X4D.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Rail-to-Rail","0.6","0.75","5.5","12","1","USB2.0"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSB2X4Y","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSB2X4Y.html","http://www.nxp.com/documents/data_sheet/PUSB2X4Y.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","4","Rail-to-Rail","0.55","0.75","5.5","12","1","USB2.0"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSB3FR4","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSB3FR4.html","http://www.nxp.com/documents/data_sheet/PUSB3FR4.pdf","SOT1176-1","DFN2510A-10","2.5 x 1 x 0.5","","Unidirectional","0.29","","","15","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSB3FR6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSB3FR6.html","http://www.nxp.com/documents/data_sheet/PUSB3FR6.pdf","SOT1358-1","XSON7","1.1 x 2.1 x 0.5","","Unidirectional","0.35","","","15","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSBM5V5X4-TL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSBM5V5X4-TL.html","http://www.nxp.com/documents/data_sheet/PUSBMXX4-TL_SER.pdf","SOT1189-1","DFN1616-6","1.6 x 1.6 x 0.5","3","Rail-to-Rail","1.1","1.3","5.5","8","1","USB On The Go, Vbus 5,5 V"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSBM12VX4-TL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSBM12VX4-TL.html","http://www.nxp.com/documents/data_sheet/PUSBMXX4-TL_SER.pdf","SOT1189-1","DFN1616-6","1.6 x 1.6 x 0.5","3","Rail-to-Rail","1.1","1.3","5.5","8","1","USB On The Go, Vbus 12 V"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSBM15VX4-TL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSBM15VX4-TL.html","http://www.nxp.com/documents/data_sheet/PUSBMXX4-TL_SER.pdf","SOT1189-1","DFN1616-6","1.6 x 1.6 x 0.5","3","Rail-to-Rail","1.1","1.3","5.5","8","1","USB On The Go, Vbus 15 V"
"nxp","ESD protection， TVS， filtering and signal conditioning---Application-specific ESD and ESD/EMI solutions---USB 2.0 protection and filtering","PUSBM30VX4-TL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/application_specific_esd_and_esd_emi_solutions/usb_2_0_protection_and_filtering/PUSBM30VX4-TL.html","http://www.nxp.com/documents/data_sheet/PUSBMXX4-TL_SER.pdf","SOT1189-1","DFN1616-6","1.6 x 1.6 x 0.5","3","Rail-to-Rail","1.1","1.3","5.5","8","1","USB On The Go, Vbus 30 V"
