"brand","Series","PartNo","DetailLink","dataSheet","Package version","Reset input pin","Operating Temperature","I2C-bus","Operating voltage","Operating voltage 2","Inputs","Outputs","No of Addresses"
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509ADP.html","http://www.nxp.com/documents/data_sheet/PCA9509A.pdf","SOT505-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509AGM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509AGM.html","http://www.nxp.com/documents/data_sheet/PCA9509A.pdf","SOT902-2","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509PDP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509PDP.html","http://www.nxp.com/documents/data_sheet/PCA9509P.pdf","SOT505-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509PGM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509PGM.html","http://www.nxp.com/documents/data_sheet/PCA9509P.pdf","SOT902-2","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9510AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9510AD.html","http://www.nxp.com/documents/data_sheet/PCA9510A.pdf","SOT96-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9510ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9510ADP.html","http://www.nxp.com/documents/data_sheet/PCA9510A.pdf","SOT505-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9511AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9511AD.html","http://www.nxp.com/documents/data_sheet/PCA9511A.pdf","SOT96-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9511ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9511ADP.html","http://www.nxp.com/documents/data_sheet/PCA9511A.pdf","SOT505-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9512AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9512AD.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT96-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9512ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9512ADP.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT505-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9512BD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9512BD.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT96-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9512BDP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9512BDP.html","http://www.nxp.com/documents/data_sheet/PCA9512A_PCA9512B.pdf","SOT505-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9513AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9513AD.html","http://www.nxp.com/documents/data_sheet/PCA9513A_PCA9514A.pdf","SOT96-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9513ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9513ADP.html","http://www.nxp.com/documents/data_sheet/PCA9513A_PCA9514A.pdf","SOT505-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9514AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9514AD.html","http://www.nxp.com/documents/data_sheet/PCA9513A_PCA9514A.pdf","SOT96-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9514ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9514ADP.html","http://www.nxp.com/documents/data_sheet/PCA9513A_PCA9514A.pdf","SOT505-1","","-40~85","400","2.7~5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9515D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9515D.html","http://www.nxp.com/documents/data_sheet/PCA9515.pdf","SOT96-1","","-40~85","400","3.0~3.6 tolerant to 5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9515DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9515DP.html","http://www.nxp.com/documents/data_sheet/PCA9515.pdf","SOT505-1","","-40~85","400","3.0~3.6 tolerant to 5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9515AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9515AD.html","http://www.nxp.com/documents/data_sheet/PCA9515A.pdf","SOT96-1","","-40~85","400","2.3~3.6 tolerant to 5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9515ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9515ADP.html","http://www.nxp.com/documents/data_sheet/PCA9515A.pdf","SOT505-1","","-40~85","400","2.3~3.6 tolerant to 5.5","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9515ATP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9515ATP.html","http://www.nxp.com/documents/data_sheet/PCA9515A.pdf","SOT1069-2","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9516AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9516AD.html","http://www.nxp.com/documents/data_sheet/PCA9516A.pdf","SOT109-1","","-40~85","400","2.3~3.6 tolerant to 5.5","","1","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9516APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9516APW.html","http://www.nxp.com/documents/data_sheet/PCA9516A.pdf","SOT403-1","","-40~85","400","2.3~3.6 tolerant to 5.5","","1","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9517D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9517D.html","http://www.nxp.com/documents/data_sheet/PCA9517.pdf","SOT96-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9517DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9517DP.html","http://www.nxp.com/documents/data_sheet/PCA9517.pdf","SOT505-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9517AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9517AD.html","http://www.nxp.com/documents/data_sheet/PCA9517A.pdf","SOT96-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9517ADP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9517ADP.html","http://www.nxp.com/documents/data_sheet/PCA9517A.pdf","SOT505-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9517ATP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9517ATP.html","http://www.nxp.com/documents/data_sheet/PCA9517A.pdf","SOT1069-2","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9518PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9518PW.html","http://www.nxp.com/documents/data_sheet/PCA9518.pdf","SOT360-1","","-40~85","400","3.0~3.6 tolerant to 5.5","","1","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9518APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9518APW.html","http://www.nxp.com/documents/data_sheet/PCA9518A.pdf","SOT360-1","","-40~85","400","2.3~3.6 tolerant to 5.5","","1","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9519BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9519BS.html","http://www.nxp.com/documents/data_sheet/PCA9519.pdf","SOT616-1","","-40~85","400","3.0~5.5","0.9~5.5","4","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9519PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9519PW.html","http://www.nxp.com/documents/data_sheet/PCA9519.pdf","SOT360-1","","-40~85","400","3.0~5.5","0.9~5.5","4","4",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9527DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9527DP.html","http://www.nxp.com/documents/data_sheet/PCA9527.pdf","SOT552-1","","-40~85","400","2.7~3.6 tolerant to 5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9600D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9600D.html","http://www.nxp.com/documents/data_sheet/PCA9600.pdf","SOT96-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9600DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9600DP.html","http://www.nxp.com/documents/data_sheet/PCA9600.pdf","SOT505-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9601D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9601D.html","http://www.nxp.com/documents/data_sheet/PCA9601.pdf","SOT96-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9601DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9601DP.html","http://www.nxp.com/documents/data_sheet/PCA9601.pdf","SOT505-1","","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9614DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9614DP.html","http://www.nxp.com/documents/data_sheet/PCA9614.pdf","SOT552-1","","","","","","","",""
