"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","No of bits","fmax","Power dissipation considerations","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Transceivers","74HC245D","http://www.nxp.com/products/logic/transceivers/74HC245D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver (3-state)","2.0 - 6.0","CMOS","+/- 7.8","7","8","36","low","83","25.7","59","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74HC245DB","http://www.nxp.com/products/logic/transceivers/74HC245DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver (3-state)","2.0 - 6.0","CMOS","+/- 7.8","7","8","36","low","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Transceivers","74HC245PW","http://www.nxp.com/products/logic/transceivers/74HC245PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver (3-state)","2.0 - 6.0","CMOS","+/- 7.8","7","8","36","low","99","4.31368444392274","43.4850934512397","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74HCT245BQ","http://www.nxp.com/products/logic/transceivers/74HCT245BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 6","10","8","36","low","76","7.3","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Transceivers","74HCT245D","http://www.nxp.com/products/logic/transceivers/74HCT245D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 6","10","8","36","low","83","25.7","59","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74HCT245DB","http://www.nxp.com/products/logic/transceivers/74HCT245DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 6","10","8","36","low","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Transceivers","74HCT245PW","http://www.nxp.com/products/logic/transceivers/74HCT245PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf","Production","HC(T)","octal transceiver; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 6","10","8","36","low","99","4.31368444392274","43.4850934512397","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74LV245D","http://www.nxp.com/products/logic/transceivers/74LV245D.html","http://www.nxp.com/documents/data_sheet/74LV245.pdf","Production","LV","octal transceiver (3-state)","1.0 - 5.5","TTL","+/- 16","7","8","30","low","74","16.7","50","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74LV245DB","http://www.nxp.com/products/logic/transceivers/74LV245DB.html","http://www.nxp.com/documents/data_sheet/74LV245.pdf","Production","LV","octal transceiver (3-state)","1.0 - 5.5","TTL","+/- 16","7","8","30","low","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Transceivers","74LV245PW","http://www.nxp.com/products/logic/transceivers/74LV245PW.html","http://www.nxp.com/documents/data_sheet/74LV245.pdf","Production","LV","octal transceiver (3-state)","1.0 - 5.5","TTL","+/- 16","7","8","30","low","93","2.63899179611587","36.3789651889241","20","TSSOP20","SOT360-1"
"nxp","Logic---Transceivers","74LVC2245ABQ","http://www.nxp.com/products/logic/transceivers/74LVC2245ABQ.html","http://www.nxp.com/documents/data_sheet/74LVC2245A.pdf","Production","LVC","octal transceiver with 30 ohm termination resistors (3-state)","1.2 - 3.6","CMOS/LVTTL","+/- 12","3.3","8","175","low","77","8.1","48","20","DHVQFN20","SOT764-1"
"nxp","Logic---Transceivers","74LVC2245AD","http://www.nxp.com/products/logic/transceivers/74LVC2245AD.html","http://www.nxp.com/documents/data_sheet/74LVC2245A.pdf","Production","LVC","octal transceiver with 30 ohm termination resistors (3-state)","1.2 - 3.6","CMOS/LVTTL","+/- 12","3.3","8","175","low","84","26.4","60","20","SO20","SOT163-1"
"nxp","Logic---Transceivers","74LVC2245ADB","http://www.nxp.com/products/logic/transceivers/74LVC2245ADB.html","http://www.nxp.com/documents/data_sheet/74LVC2245A.pdf","Production","LVC","octal transceiver with 30 ohm termination resistors (3-state)","1.2 - 3.6","CMOS/LVTTL","+/- 12","3.3","8","175","low","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Transceivers","74LVC2245APW","http://www.nxp.com/products/logic/transceivers/74LVC2245APW.html","http://www.nxp.com/documents/data_sheet/74LVC2245A.pdf","Production","LVC","octal transceiver with 30 ohm termination resistors (3-state)","1.2 - 3.6","CMOS/LVTTL","+/- 12","3.3","8","175","low","100","4.44253368287879","44.031832113837","20","TSSOP20","SOT360-1"
