"brand","Series","PartNo","DetailLink","dataSheet","Core","Clock speed [max]","Flash","RAM","GPIO","Ethernet","USB","LCD","CAN","UART","I²C","SPI","I²S","ADC channels","ADC","DAC","Timers","Timer","SCTimer / PWM","RTC","PWM","Package name","Temperature range","IOH","Supply voltage [min]","Supply voltage [max]","Product status","Demoboard","Product category"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2129FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2129FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2109_2119_2129.pdf","ARM7","60","256","16","46","","","","2","2","1","2","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2131FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2131FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2131_32_34_36_38.pdf","ARM7","60","32","8","47","","","","","2","2","1","","16","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10045","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2132FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2132FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2131_32_34_36_38.pdf","ARM7","60","64","16","47","","","","","2","2","1","","16","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10045","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2134FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2134FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2131_32_34_36_38.pdf","ARM7","60","128","16","47","","","","","2","2","1","","16","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10045","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2136FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2136FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2131_32_34_36_38.pdf","ARM7","60","256","32","47","","","","","2","2","1","","16","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10045","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2138FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2138FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2131_32_34_36_38.pdf","ARM7","60","512","32","47","","","","","2","2","1","","16","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10045","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2141FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2141FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2141_42_44_46_48.pdf","ARM7","60","32","8","45","","1","","","2","2","1","","6","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10071","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2142FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2142FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2141_42_44_46_48.pdf","ARM7","60","64","16","45","","1","","","2","2","1","","6","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10071","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2144FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2144FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2141_42_44_46_48.pdf","ARM7","60","128","16","45","","1","","","2","2","1","","14","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10071","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2146FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2146FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2141_42_44_46_48.pdf","ARM7","60","256","40","45","","1","","","2","2","1","","14","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10071","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2148FBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2148FBD64.html","http://www.nxp.com/documents/data_sheet/LPC2141_42_44_46_48.pdf","ARM7","60","512","40","45","","1","","","2","2","1","","14","10","","3","32","1","1","6","LQFP64","-40 °C to +85 °C","N","3","3.6","Production","OM10071","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2194HBD64","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2194HBD64.html","http://www.nxp.com/documents/data_sheet/LPC2194.pdf","ARM7","60","256","16","46","","","","4","2","1","1","","4","10","","3","32","1","1","6","LQFP64","-40 °C to +125 °C","N","1.65","1.95","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2210FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2210FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2210_2220.pdf","ARM7","60","","16","76","","","","","2","1","2","","8","10","","3","32","1","1","6","LQFP144","-40 °C to +85 °C","N","3","3.6","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2212FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2212FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2212_2214.pdf","ARM7","60","128","16","112","","","","","2","1","2","","8","10","","3","32","1","1","6","LQFP144","-40 °C to +85 °C","N","3","3.6","Production","","150-LPC2100/200/300/400-"
"nxp","Microcontrollers---Product series---LPC2100/200/300/400","LPC2214FBD144","http://www.nxp.com/products/microcontrollers/product_series/lpc2100_200_300_400/LPC2214FBD144.html","http://www.nxp.com/documents/data_sheet/LPC2212_2214.pdf","ARM7","60","256","16","112","","","","","2","1","2","","8","10","","3","32","1","1","6","LQFP144","-40 °C to +85 °C","N","3","3.6","Production","","150-LPC2100/200/300/400-"
