"brand","Series","PartNo","DetailLink","dataSheet","No of bits","VDD [min]","VDD [max]","Over volt tolerant","No of supplies","Standby current [typ]","Max Sink Current per bit","Max Sink Current, per package","Source Current per bit","Interrupt output pin","Reset input pin","Output mode","Input mode: invert option","Internal pull-up resistor per bit","I2C-bus","Footprint body and leads","Package name","Package version","Operating Temperature","No of Addresses","Remark"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9505DGG","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9505DGG.html","http://www.nxp.com/documents/data_sheet/PCA9505_9506.pdf","40","2.3","5.5","Y","1","0.15","15","600","10","Y","Y","Totem pole","Y","100","400","117.03","TSSOP56","SOT364-1","-40~85","8","Output enabled pin"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9506BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9506BS.html","http://www.nxp.com/documents/data_sheet/PCA9505_9506.pdf","40","2.3","5.5","Y","1","0.15","15","600","10","Y","Y","Totem pole","Y","","400","65.61","HVQFN56","SOT684-1","-40~85","8","Output enabled pin"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9506DGG","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9506DGG.html","http://www.nxp.com/documents/data_sheet/PCA9505_9506.pdf","40","2.3","5.5","Y","1","0.15","15","600","10","Y","Y","Totem pole","Y","","400","65.61","TSSOP56","SOT364-1","-40~85","8","Output enabled pin"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9534BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9534BS.html","http://www.nxp.com/documents/data_sheet/PCA9534.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","","400","16.81","HVQFN16","SOT629-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9534BS3","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9534BS3.html","http://www.nxp.com/documents/data_sheet/PCA9534.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","","400","9.61","HVQFN16","SOT758-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9534D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9534D.html","http://www.nxp.com/documents/data_sheet/PCA9534.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","","400","111.83","SO16","SOT162-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9534PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9534PW.html","http://www.nxp.com/documents/data_sheet/PCA9534.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","","400","33.66","TSSOP16","SOT403-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535BS.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","","400","16.81","HVQFN24","SOT616-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535CD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535CD.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","0.1","Y","","Open drain","Y","Int I source","400","166.14","SO24","SOT137-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535CHF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535CHF.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","","Y","","Open drain","Y","","400","16.81","HWQFN24","SOT994-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535CPW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535CPW.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","","Y","","Open drain","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535D.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","","400","166.14","SO24","SOT137-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535HF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535HF.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","","400","16.81","HWQFN24","SOT994-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535PW.html","http://www.nxp.com/documents/data_sheet/PCA9535_PCA9535C.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535AHF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535AHF.html","http://www.nxp.com/documents/data_sheet/PCA9535A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","","Totem pole","Y","","400","16.81","HWQFN24","SOT994-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9535APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9535APW.html","http://www.nxp.com/documents/data_sheet/PCA9535A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","","Totem pole","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9536D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9536D.html","http://www.nxp.com/documents/data_sheet/PCA9536.pdf","4","2.3","5.5","Y","1","0.25","25","100","10","","","Totem pole","Y","100","400","31","SO8","SOT96-1","-40~85","1",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9536DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9536DP.html","http://www.nxp.com/documents/data_sheet/PCA9536.pdf","4","2.3","5.5","Y","1","0.25","25","100","10","","","Totem pole","Y","100","400","15.81","TSSOP8","SOT505-1","-40~85","1",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9536TK","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9536TK.html","http://www.nxp.com/documents/data_sheet/PCA9536.pdf","4","2.3","5.5","Y","1","0.25","25","100","10","","","Totem pole","Y","100","400","9.61","HVSON8","SOT908-1","-40~85","1",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9537DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9537DP.html","http://www.nxp.com/documents/data_sheet/PCA9537.pdf","4","2.3","5.5","Y","1","0.25","25","100","10","Y","Y","Totem pole","Y","","400","15.5","TSSOP10","SOT552-1","-40~85","1",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9538BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9538BS.html","http://www.nxp.com/documents/data_sheet/PCA9538.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","Y","Totem pole","Y","","400","16.81","HVQFN16","SOT629-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9538D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9538D.html","http://www.nxp.com/documents/data_sheet/PCA9538.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","Y","Totem pole","Y","","400","111.83","SO16","SOT162-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9538PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9538PW.html","http://www.nxp.com/documents/data_sheet/PCA9538.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","Y","Totem pole","Y","","400","33.66","TSSOP16","SOT403-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9538ABS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9538ABS.html","http://www.nxp.com/documents/data_sheet/PCA9538A.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","Y","Totem pole","Y","","400","9.61","HVQFN16","SOT758-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9538APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9538APW.html","http://www.nxp.com/documents/data_sheet/PCA9538A.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","Y","Totem pole","Y","","400","33.66","TSSOP16","SOT403-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539BS.html","http://www.nxp.com/documents/data_sheet/PCA9539_PCA9539R.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","Y","Totem pole","Y","","400","16.81","HVQFN24","SOT616-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539D.html","http://www.nxp.com/documents/data_sheet/PCA9539_PCA9539R.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","Y","Totem pole","Y","","400","166.14","SO24","SOT137-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539PW.html","http://www.nxp.com/documents/data_sheet/PCA9539_PCA9539R.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","Y","Totem pole","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539RBS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539RBS.html","http://www.nxp.com/documents/data_sheet/PCA9539_PCA9539R.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","Y","Totem pole","Y","","400","16.81","HVQFN24","SOT616-1","-40~85","4","Only I2C state machine is reset with hardware pin"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539RPW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539RPW.html","http://www.nxp.com/documents/data_sheet/PCA9539_PCA9539R.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","Y","Totem pole","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","4","Only I2C state machine is reset with hardware pin"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539AHF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539AHF.html","http://www.nxp.com/documents/data_sheet/PCA9539A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","Y","Totem pole","Y","","400","16.81","HWQFN24","SOT994-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9539APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9539APW.html","http://www.nxp.com/documents/data_sheet/PCA9539A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","Y","Totem pole","Y","","400","52.14","TSSOP24","SOT355-1","-40~85","4",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554ABS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554ABS.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","16.81","HVQFN16","SOT629-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554ABS3","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554ABS3.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","9.61","HVQFN16","SOT758-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554AD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554AD.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","111.83","SO16","SOT162-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554ADB","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554ADB.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","50.56","SSOP16","SOT338-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554APW.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","33.66","TSSOP16","SOT403-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554ATS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554ATS.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","43.56","SSOP20","SOT266-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554BS.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","16.81","HVQFN16","SOT629-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554BS3","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554BS3.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","9.61","HVQFN16","SOT758-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554D.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","111.83","SO16","SOT162-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554DB","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554DB.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","50.56","SSOP16","SOT338-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554PW.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","33.66","TSSOP16","SOT403-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554TS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554TS.html","http://www.nxp.com/documents/data_sheet/PCA9554_9554A.pdf","8","2.3","5.5","Y","1","0.25","25","100","10","Y","","Totem pole","Y","100","400","43.56","SSOP20","SOT266-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554BBS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554BBS.html","http://www.nxp.com/documents/data_sheet/PCA9554B_PCA9554C.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","","Totem pole","Y","100","400","9.61","HVQFN16","SOT758-1","-40~85","8","Sam address as PCA9554"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554BPW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554BPW.html","http://www.nxp.com/documents/data_sheet/PCA9554B_PCA9554C.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","","Totem pole","Y","100","400","33.66","TSSOP16","SOT403-1","-40~85","8","Sam address as PCA9554"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554CBS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554CBS.html","http://www.nxp.com/documents/data_sheet/PCA9554B_PCA9554C.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","","Totem pole","Y","100","400","9.61","HVQFN16","SOT758-1","-40~85","8","Sam address as PCA9554A"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9554CPW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9554CPW.html","http://www.nxp.com/documents/data_sheet/PCA9554B_PCA9554C.pdf","8","1.65","5.5","Y","1","0.5","25","100","10","Y","","Totem pole","Y","100","400","33.66","TSSOP16","SOT403-1","-40~85","8","Sam address as PCA9554A"
