"brand","Series","PartNo","DetailLink","dataSheet","Category","Product category","Supported standards","Package name","Package version","Low power modes","Supply voltage [min]","Supply voltage [max]","Data rate [min]","Data rate [max]","CAN channels","LIN channels","FlexRay Channels","Voltage on bus pins [min]","Voltage on bus pins [max]","VESD IEC61000-4-2 (kV)","VESD HBM on bus pins (+/- kV)","VIO option available","Tvj [max]","Rth(j-a)","SPLIT pin","Under-voltage detection","TX Dominant Time out","Over-temperature detection","INH / Wake Pin","Min High Input Levels (V)","No of pins","Application","Recommended Version"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1069TW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1069TW.html","http://www.nxp.com/documents/data_sheet/UJA1069.pdf","LIN; SBC","Fail-safe SBC; LIN Transceiver; SBC","compatible with LIN 1.3; LIN 2.0; SAE J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","5.5","33","1","20","0","1","0","-60.0","60.0","4","8","No","-40~150","","No","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","150mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1069TW24","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1069TW24.html","http://www.nxp.com/documents/data_sheet/UJA1069.pdf","LIN; SBC","Fail-safe SBC; LIN Transceiver; SBC","LIN 2.0 and SAE J2602, compatible with LIN 1.3","HTSSOP24","SOT864-1","Sleep Mode; Standby Mode","5.5","33","1","20","0","1","0","-60.0","60.0","4","8","No","-40~150","","No","Yes","Yes","Yes","Yes","0.7 x Vv1","24","Yes","150mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1075ATW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1075ATW.html","http://www.nxp.com/documents/data_sheet/UJA1075A.pdf","CAN; LIN; SBC","High-Speed CAN; LIN Transceiver; SBC","ISO-11898-2; ISO-11898-5; LIN-2.1; SAE-J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","4.5","40","15","1000","1","1","0","-58.0","58.0","6","8","No","-40~150","78","Yes","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","250mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1076ATW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1076ATW.html","http://www.nxp.com/documents/data_sheet/UJA1076A.pdf","CAN; SBC","High-Speed CAN; SBC","ISO-11898-2; ISO-11898-5","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","4.5","40","15","1000","1","0","0","-58.0","58.0","6","8","No","-40~150","78","Yes","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","250mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1078ATW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1078ATW.html","http://www.nxp.com/documents/data_sheet/UJA1078A.pdf","CAN; LIN; SBC","High-Speed CAN; LIN Transceiver; SBC","ISO-11898-2; ISO-11898-5; LIN-2.1; SAE-J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","4.5","40","15","1000","1","2","0","-58.0","58.0","6","8","No","-40~150","78","Yes","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","250mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1079ATW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1079ATW.html","http://www.nxp.com/documents/data_sheet/UJA1079A.pdf","LIN; SBC","LIN Transceiver; SBC","compatible with LIN 1.3; LIN 2.0; LIN 2.1; SAE J2602","HTSSOP32","SOT549-1","Sleep Mode; Standby Mode","4.5","40","1","20","0","1","0","-58.0","58.0","6","8","No","-40~150","78","No","Yes","Yes","Yes","Yes","0.7 x Vv1","32","Yes","250mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1163TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1163TK.html","http://www.nxp.com/documents/data_sheet/UJA1163.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","No","-40~150","60","No","Yes","Yes","Yes","No","0.75 x Vv1","14","Automotive; Industrial","100mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1164TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1164TK.html","http://www.nxp.com/documents/data_sheet/UJA1164.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","No","-40~150","60","No","Yes","Yes","Yes","No","0.75 x Vv1","14","Yes","100mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1167TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1167TK.html","http://www.nxp.com/documents/data_sheet/UJA1167.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Sleep Mode; Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","No","-40~150","60","No","Yes","Yes","Yes","Yes","0.75 x Vv1","14","Yes","100mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---System basis chips","UJA1168TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/system_basis_chips/UJA1168TK.html","http://www.nxp.com/documents/data_sheet/UJA1168.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; PN; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Partial Networking; Sleep Mode; Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","No","-40~150","60","No","Yes","Yes","Yes","Yes","0.75 x Vv1","14","Yes","100mA"
