"brand","Series","PartNo","DetailLink","dataSheet","package version","resolution","interface","VDD (interface)","watchdog timer","programmable alarm","countdown timer","stop-watch mode","VDD (clock)","leap year tracking","IDD","temperature compensation","Tamb","AEC-Q100 compliant"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8564AU","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8564AU.html","http://www.nxp.com/documents/data_sheet/PCF8564A.pdf","NAU000","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","250","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8564AUG","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8564AUG.html","http://www.nxp.com/documents/data_sheet/PCF8564A.pdf","","1 sec to year","I2C","1.8 to 5.5","yes","yes","yes","no","1.0 to 5.5","yes","250","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8583T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8583T.html","http://www.nxp.com/documents/data_sheet/PCF8583.pdf","SOT176-1","1/100th sec to year","I2C","2.5 to 6.0","no","yes","yes","no","1.0 to 6.0","no","10000","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF8593T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF8593T.html","http://www.nxp.com/documents/data_sheet/PCF8593.pdf","SOT96-1","1/100th sec to year","I2C","2.5 to 6.0","no","yes","yes","no","1.0 to 6.0","no","4000","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85063AT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85063AT.html","http://www.nxp.com/documents/data_sheet/PCF85063A.pdf","SOT96-1","1 sec to year","I2C","1.8 to 5.5","no","yes","yes","","0.9 to 5.5","yes","220","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85063ATL","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85063ATL.html","http://www.nxp.com/documents/data_sheet/PCF85063A.pdf","SOT1197-1","1 sec to year","I2C","1.8 to 5.5","no","yes","yes","no","0.9 to 5.5","yes","220","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85063ATT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85063ATT.html","http://www.nxp.com/documents/data_sheet/PCF85063A.pdf","SOT505-1","1 sec to year","I2C","1.8 to 5.5","no","yes","yes","","0.9 to 5.5","yes","220","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85063TP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85063TP.html","http://www.nxp.com/documents/data_sheet/PCF85063TP.pdf","SOT1069-2","1 sec to year","I2C","1.8 to 5.5","no","no","no","no","0.9 to 5.5","yes","220","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85263AT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85263AT.html","http://www.nxp.com/documents/data_sheet/PCF85263A.pdf","SOT96-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","yes","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85263ATL","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85263ATL.html","http://www.nxp.com/documents/data_sheet/PCF85263A.pdf","SOT1197-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","yes","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85263ATT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85263ATT.html","http://www.nxp.com/documents/data_sheet/PCF85263A.pdf","SOT505-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","yes","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85263ATT1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85263ATT1.html","http://www.nxp.com/documents/data_sheet/PCF85263A.pdf","SOT552-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","yes","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85363ATL","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85363ATL.html","http://www.nxp.com/documents/data_sheet/PCF85363A.pdf","SOT1197-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85363ATT","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85363ATT.html","http://www.nxp.com/documents/data_sheet/PCF85363A.pdf","SOT505-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","","0.9 to 5.5","yes","280","no","-40 to +85","no"
"nxp","Interface and connectivity---I²C---I²C Real-Time Clocks (RTC)","PCF85363ATT1","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_real_time_clocks_rtc/PCF85363ATT1.html","http://www.nxp.com/documents/data_sheet/PCF85363A.pdf","SOT552-1","1/100th sec to year","I2C","1.8 to 5.5","yes","yes","no","","0.9 to 5.5","yes","280","no","-40 to +85","no"
