"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT74D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT74D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","160","low","-40~125","108","20.1","66","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT74PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT74PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT74.pdf","Production","AHC(T)","dual D-type flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","160","low","-40~125","141","7.78845353982301","67.1874314159292","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC273BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC273BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","4.2","165","low","-40~125","78","9.1","50","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC273D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC273D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","4.2","165","low","-40~125","85","27.3","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC273PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC273PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","4.2","165","low","-40~125","100","4.59097572745888","44.6617078165147","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT273BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT273BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4","120","low","-40~125","78","9.1","50","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT273D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT273D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4","120","low","-40~125","85","27.3","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT273PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT273PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT273.pdf","Production","AHC(T)","octal D-type flip-flop with reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4","120","low","-40~125","100","4.59097572745888","44.6617078165147","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC374D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC374D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT374.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","2.0 - 5.5","CMOS","+/- 8","4.4","185","low","-40~125","84","27.0","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC374PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC374PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT374.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","2.0 - 5.5","CMOS","+/- 8","4.4","185","low","-40~125","100","4.5485809497724","44.4818164625478","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT374D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT374D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT374.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","4.5 - 5.5","TTL","+/- 8","4.3","140","low","-40~125","84","27.0","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT374PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT374PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT374.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","4.5 - 5.5","TTL","+/- 8","4.3","140","low","-40~125","100","4.5485809497724","44.4818164625478","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC377D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC377D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT377.pdf","Production","AHC(T)","octal D-type flip-flop with data enable; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","3.9","175","low","-40~125","85","27.4","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC377PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC377PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT377.pdf","Production","AHC(T)","octal D-type flip-flop with data enable; positive-edge trigger","2.0 - 5.5","CMOS","+/- 8","3.9","175","low","-40~125","100","4.61804854508223","44.7765843669706","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT377D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT377D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT377.pdf","Production","AHC(T)","octal D-type flip-flop with data enable; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4","140","low","-40~125","85","27.4","61","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT377PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT377PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT377.pdf","Production","AHC(T)","octal D-type flip-flop with data enable; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 8","4","140","low","-40~125","100","4.61804854508223","44.7765843669706","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC574BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC574BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","2.0 - 5.5","CMOS","+/- 8","4.4","130","low","-40~125","77","8.1","48","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC574D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC574D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","2.0 - 5.5","CMOS","+/- 8","4.4","130","low","-40~125","84","26.4","60","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHC574PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHC574PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger (3-state)","2.0 - 5.5","CMOS","+/- 8","4.4","130","low","-40~125","100","4.43847999895658","44.0146313469239","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT574BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT574BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","4.4","130","low","-40~125","77","8.1","48","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT574D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT574D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","4.4","130","low","-40~125","84","26.4","60","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AHCT574PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AHCT574PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT574.pdf","Production","AHC(T)","octal D-type flip-flop; positive-edge trigger; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","4.4","130","low","-40~125","100","4.43847999895658","44.0146313469239","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC74BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC74BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC74.pdf","Production","ALVC","dual D-type flip-flop with set and reset; positive-edge trigger","1.65 - 3.6","TTL","+/- 24","2.3","425","low","-40~85","103","18.3","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC74D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC74D.html","http://www.nxp.com/documents/data_sheet/74ALVC74.pdf","Production","ALVC","dual D-type flip-flop with set and reset; positive-edge trigger","1.65 - 3.6","TTL","+/- 24","2.3","425","low","-40~85","103","17.1","62","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC74PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC74PW.html","http://www.nxp.com/documents/data_sheet/74ALVC74.pdf","Production","ALVC","dual D-type flip-flop with set and reset; positive-edge trigger","1.65 - 3.6","TTL","+/- 24","2.3","425","low","-40~85","138","6.87359292035398","64.1246371681416","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC374BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC374BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC374.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","77","8.4","49","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC374D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC374D.html","http://www.nxp.com/documents/data_sheet/74ALVC374.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","84","26.7","60","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC374PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC374PW.html","http://www.nxp.com/documents/data_sheet/74ALVC374.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","100","4.48716281253668","44.2212043667097","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC574BQ","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC574BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC574.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","77","8.4","49","20","DHVQFN20","SOT764-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC574D","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC574D.html","http://www.nxp.com/documents/data_sheet/74ALVC574.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","84","26.7","60","20","SO20","SOT163-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVC574PW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVC574PW.html","http://www.nxp.com/documents/data_sheet/74ALVC574.pdf","Production","ALVC","octal D-type flip-flop; positive-edge trigger (3-state)","1.65 - 3.6","TTL","+/- 24","2.5","300","low","-40~85","100","4.48716281253668","44.2212043667097","20","TSSOP20","SOT360-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16374DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16374DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16374.pdf","Production","ALVC","16-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","1.2 - 3.6","TTL","+/- 24","2.3","350","low","-40~85","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16374DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16374DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH16374.pdf","Production","ALVC","16-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","1.2 - 3.6","TTL","+/- 24","2.3","350","low","-40~85","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16821DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16821DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16821.pdf","Production","ALVC","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","+/- 24","2.5","350","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16821DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16821DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH16821.pdf","Production","ALVC","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","+/- 24","2.5","350","low","-40~85","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16823DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16823DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16823.pdf","Production","ALVC","18-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","1.2 - 3.6","TTL","+/- 24","2.1","350","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVCH16823DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVCH16823DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH16823.pdf","Production","ALVC","18-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","1.2 - 3.6","TTL","+/- 24","2.1","350","low","-40~85","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT16821DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT16821DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16821.pdf","Production","ALVT","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","150","medium","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT16821DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT16821DL.html","http://www.nxp.com/documents/data_sheet/74ALVT16821.pdf","Production","ALVT","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","150","medium","-40~85","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT16823DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT16823DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16823.pdf","Production","ALVT","18-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.9","250","medium","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT16823DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT16823DL.html","http://www.nxp.com/documents/data_sheet/74ALVT16823.pdf","Production","ALVT","18-bit D-type flip-flop with bus hold; positive-edge trigger (3-state)","2.3 - 3.6","TTL","-32/+64","1.9","250","medium","-40~85","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT162821DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT162821DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT162821.pdf","Production","ALVT","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","+/- 12","3.2","150","medium","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT162821DL","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT162821DL.html","http://www.nxp.com/documents/data_sheet/74ALVT162821.pdf","Production","ALVT","20-bit D-type flip-flop; positive-edge trigger (3-state)","2.3 - 3.6","TTL","+/- 12","3.2","150","medium","-40~85","84","24.0","","56","SSOP56","SOT371-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74ALVT162823DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74ALVT162823DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT162823.pdf","Production","ALVT","18-bit buffer/line driver with bus hold and 30 Ohm termination resistors (3-state)","2.3 - 3.6","TTL","+/- 12","3","150","medium","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74DC","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74DC.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GD","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GD.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G74GT","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G74GT.html","http://www.nxp.com/documents/data_sheet/74AUP1G74.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop with set and reset","1.1 - 3.6","CMOS","+/- 1.9","9.2","400","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GV","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GV.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","268","62.1","167","5","TSOP5","SOT753"
