"brand","Series","PartNo","DetailLink","dataSheet","Category","Product category","Supported standards","Package name","Package version","Low power modes","Supply voltage [min]","Supply voltage [max]","Data rate [min]","Data rate [max]","CAN channels","LIN channels","FlexRay Channels","Voltage on bus pins [min]","Voltage on bus pins [max]","VESD IEC61000-4-2 (kV)","VESD HBM on bus pins (+/- kV)","VIO option available","Tvj [max]","Rth(j-a)","SPLIT pin","Under-voltage detection","TX Dominant Time out","Over-temperature detection","INH / Wake Pin","Min High Input Levels (V)","No of pins","Application","Recommended Version"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1042TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1042TK.html","http://www.nxp.com/documents/data_sheet/TJA1042.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","HVSON8","SOT782-1","Standby Mode","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","50","No","Yes","Yes","Yes","No","0.7 x Vio","8","Automotive; Industrial","TJA1042TK/3/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1043T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1043T.html","http://www.nxp.com/documents/data_sheet/TJA1043.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO14","SOT108-1","Sleep Mode; Standby Mode","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","68","Yes","Yes","Yes","Yes","Yes","0.7 x Vio","14","Automotive; Industrial","TJA1043T/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1043TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1043TK.html","http://www.nxp.com/documents/data_sheet/TJA1043.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","HVSON14","SOT1086-2","Sleep Mode; Standby Mode","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","44","Yes","Yes","Yes","Yes","Yes","0.7 x Vio","14","Automotive; Industrial","TJA1043TK/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1046TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1046TK.html","http://www.nxp.com/documents/data_sheet/TJA1046.pdf","CAN","High Speed CAN","ISO-11898-2; ISO-11898-5","HVSON14","SOT1086-2","Standby Mode","4.75","5.25","25","5000","2","0","0","-42.0","42.0","8","8","No","-40~150","46","No","Yes","Yes","Yes","No","2","14","Automotive; Industrial","TJA1046TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1048T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1048T.html","http://www.nxp.com/documents/data_sheet/TJA1048.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO14","SOT108-1","Standby Mode","4.5","5.5","40","2000","2","0","0","-58.0","58.0","6","6","Yes","-40~150","65","No","Yes","Yes","Yes","No","0.7 x Vio","14","Automotive; Industrial","TJA1048T - also consider TJA1059TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1048TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1048TK.html","http://www.nxp.com/documents/data_sheet/TJA1048.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","HVSON14","SOT1086-2","Standby Mode","4.5","5.5","40","2000","2","0","0","-58.0","58.0","6","6","Yes","-40~150","42","No","Yes","Yes","Yes","No","0.7 x Vio","14","Automotive; Industrial","TJA1048TK - also consider TJA1059TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1049T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1049T.html","http://www.nxp.com/documents/data_sheet/TJA1049.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO8","SOT96-1","Standby Mode","4.75","5.25","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","145","Yes","Yes","Yes","Yes","No","0.7 x Vcc","8","Automotive; Industrial","TJA1049T or TJA1049T/3"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1049TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1049TK.html","http://www.nxp.com/documents/data_sheet/TJA1049.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","HVSON8","SOT782-1","Standby Mode","4.75","5.25","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","145","Yes","Yes","Yes","Yes","No","0.7 x Vcc","8","Automotive; Industrial","TJA1049TK or TJA1049TK/3"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1050T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1050T.html","http://www.nxp.com/documents/data_sheet/TJA1050.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","","4.75","5.25","40","1000","1","0","0","-27.0","40.0","","4","No","-40~150","145","No","No","Yes","Yes","No","2","8","Automotive; Industrial","TJA1050T/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1051T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1051T.html","http://www.nxp.com/documents/data_sheet/TJA1051.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","155","No","Yes","Yes","Yes","No","0.7 x Vio","8","Automotive; Industrial","TJA1051T/1 or TJA1051T/3/1 or TJA1051T/E/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1051TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1051TK.html","http://www.nxp.com/documents/data_sheet/TJA1051.pdf","CAN","High-Speed CAN","ISO-11898-2","HVSON8","SOT782-1","","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","55","No","Yes","Yes","Yes","No","0.7 x Vio","8","Automotive; Industrial","TJA1051TK/3/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1052IT","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1052IT.html","http://www.nxp.com/documents/data_sheet/TJA1052I.pdf","CAN","High-Speed CAN; Isolated CAN","ISO-11898-2","SO16","SOT162-1","","3","5.25","40","2000","1","0","0","-58.0","58.0","8","8","No","-40~150","100","No","Yes","Yes","Yes","No","2","16","Automotive; Industrial","TJA1052iT/1 or TJA1052iT/2 or TJA1052iT/5"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1055T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1055T.html","http://www.nxp.com/documents/data_sheet/TJA1055.pdf","CAN","Fault Tolerant CAN","ISO-11898-3","SO14","SOT108-1","","5","40","40","125","1","0","0","-58.0","58.0","6","8","Yes","-40~150","120","No","No","Yes","Yes","Yes","2.2","14","Automotive; Industrial","TJA1055T/1 or TJA1055T/3/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1059TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1059TK.html","http://www.nxp.com/documents/data_sheet/TJA1059.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","HVSON14","SOT1086-2","Standby Mode","4.75","5.25","40","2000","2","0","0","-58.0","58.0","6","6","Yes","-40~150","73","No","Yes","Yes","Yes","No","0.7 x Vio","14","Automotive; Industrial","TJA1059TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1145T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1145T.html","http://www.nxp.com/documents/data_sheet/TJA1145.pdf","CAN","CAN FD; High-Speed CAN","ISO-11898-2; ISO-11898-5; ISO-11898-6","SO14","SOT108-1","Partial Networking; Sleep Mode; Standby Mode","4.5","5.5","15","2000","1","0","0","-58.0","58.0","6","8","Yes","-40~150","106","No","Yes","Yes","Yes","Yes","0.25 x Vio","14","Automotive; Industrial","TJA1145T or TJA1145T/FD"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1145TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1145TK.html","http://www.nxp.com/documents/data_sheet/TJA1145.pdf","CAN","CAN FD; High-Speed CAN","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Partial Networking; Sleep Mode; Standby Mode","4.5","5.5","15","2000","1","0","0","-58.0","58.0","6","8","Yes","-40~150","60","No","Yes","Yes","Yes","Yes","0.25 x Vio","14","Automotive; Industrial","TJA1145TK or TJA1145TK/FD"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJF1051T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJF1051T.html","http://www.nxp.com/documents/data_sheet/TJF1051.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","","4.5","5.5","40","2000","1","0","0","-58.0","58.0","","8","Yes","-40~125","120","No","Yes","Yes","Yes","No","0.7 x Vio","8","Industrial","TJF1051T/1 or TJF1051T/3/1"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJF1052IT","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJF1052IT.html","http://www.nxp.com/documents/data_sheet/TJF1052I.pdf","CAN","High-Speed CAN; Isolated CAN","ISO-11898-2","SO16","SOT162-1","","3","5.25","40","2000","1","0","0","-58.0","58.0","8","8","No","-40~125","100","No","Yes","Yes","Yes","No","2","16","Industrial","TJF1052iT/1 or TJF1052iT/2 or TJF1052iT/5"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","UJA1131HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/UJA1131HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","1","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","UJA1136HW","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/UJA1136HW.html","http://www.nxp.com/documents/data_sheet/UJA113X_SER.pdf","CAN; LIN; SBC","CAN FD; High-Speed CAN; LIN Transceiver; SBC","compatible with LIN 1.3; ISO-11898-2; ISO-11898-5; ISO-11898-6; LIN 2.0; LIN 2.1; SAE J2602","","","Sleep Mode; Standby Mode","2","40","15","2000","1","2","0","-58.0","58.0","6","6","No","-40~150","29","No","Yes","Yes","Yes","Yes","0.75 x Vv1","","Yes","500mA"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","UJA1161TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/UJA1161TK.html","http://www.nxp.com/documents/data_sheet/UJA1161.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","Yes","-40~150","60","No","Yes","Yes","Yes","No","0.75 x Vio","14","Automotive; Industrial","UJA1161TK"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","UJA1162TK","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/UJA1162TK.html","http://www.nxp.com/documents/data_sheet/UJA1162.pdf","CAN; SBC","CAN FD; High-Speed CAN; Mini SBC; SBC","ISO-11898-2; ISO-11898-5; ISO-11898-6","HVSON14","SOT1086-2","Sleep Mode; Standby Mode","3","40","15","2000","1","0","0","-58.0","58.0","6","8","Yes","-40~150","60","No","Yes","Yes","Yes","Yes","0.75 x Vio","14","Automotive; Industrial","UJA1162TK"
