"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","通信协议","数据传输速率 (Min) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Spec) (kbps) ","供电电压 (Min-Max) (V) ","接口和输入控制","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性-模拟","RoHS","PLC代码","Pin count","PLC描述","无铅","认证级别","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","其他特性 - 电源管理","线性/LDO稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","开关升压稳压器数量","SafeAssure 功能安全","支持的MCU","GPIOs","供电电压 (Typ) (V) ","内核：内核数量 (Spec)","内部RAM (KB) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) "
"FSL","模拟与电源管理---收发器","MM908E621","MM908E621ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E621&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-h-b-hss-lin-phy:MM908E621?&fpsp=1&tab=Documentation_Tab#MM908E621ACPEK","Integrated motor driver; 4x H-B, 3x HSS, VREG, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Rail","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.20 each","SOIC-EP 54","LIN","10","20","100","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","20","7.5","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E621","MM908E621ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E621&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-h-b-hss-lin-phy:MM908E621?&fpsp=1&tab=Documentation_Tab#MM908E621ACPEKR2","Integrated motor driver; 4x H-B, 3x HSS, VREG, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Reel","-","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.20 each","SOIC-EP 54","LIN","10","20","100","5 to 28","-","-40 to 85","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","SPI","PWM Capable, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","20","7.5","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E624","MM908E624ACPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","SOIC 54","LIN","10","20","100","9 to 16","-","-40 to 85","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E624","MM908E624ACPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Reel","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","SOIC 54","LIN","10","20","100","9 to 16","-","-40 to 85","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E624","MM908E624AYPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","SOIC 54","LIN","10","20","100","9 to 16","-","-40 to 125","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MM908E624","MM908E624AYPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54 , Reel","-","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","SOIC 54","LIN","10","20","100","9 to 16","-","-40 to 125","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","SPI","PWM Capable, Output Current Limiting, Internal Charge Pump","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","18","8","-","-","-","-","-","-","-","-","-","-","1","0.5","8","HC08","16","5"
"FSL","模拟与电源管理---收发器","MC34FS6407","MC34FS6407NAE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34FS6407&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/safe-sbc-with-buck-and-boost-dc-dc-up-to-800-ma-on-vcore:MC34FS6407?&fpsp=1&tab=Documentation_Tab#MC34FS6407NAE","System Basis Chip, CAN, 5V , 0.7A VCORE, QFP 48, Tray","-","-","-","System Basis Chip, Linear Regulators, SMPS","1000 @ CNY18.31 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Squib Short to Battery, Short Circuit, Overvoltage, Overtemperature, Overcurrent Protected Bus, Overcurrent","SPI","Sleep Mode, Wake, Watchdog Timer, Diagnostics Reporting","-","2","48","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5746R, MPC5744P, MPC5643L","-","24","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34FS6407","MC34FS6407NAER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34FS6407&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/safe-sbc-with-buck-and-boost-dc-dc-up-to-800-ma-on-vcore:MC34FS6407?&fpsp=1&tab=Documentation_Tab#MC34FS6407NAER2","System Basis Chip, CAN, 5V , 0.7A VCORE, QFP 48, Reel","-","-","-","System Basis Chip, Linear Regulators, SMPS","1000 @ CNY18.31 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Squib Short to Battery, Short Circuit, Overvoltage, Overtemperature, Overcurrent Protected Bus, Overcurrent","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5643L, MPC5744P, MPC5746R","-","24","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34FS6408","MC34FS6408NAE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34FS6408&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/safe-sbc-with-buck-and-boost-dc-dc-up-to-1.5-a-on-vcore:MC34FS6408?&fpsp=1&tab=Documentation_Tab#MC34FS6408NAE","System Basis Chip, CAN, 5V, 1.5A VCORE, QFP 48, Tray","-","-","-","System Basis Chip, Linear Regulators, SMPS","1000 @ CNY18.88 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Squib Short to Battery, Short Circuit, Overvoltage, Overtemperature, Overcurrent, Overcurrent Protected Bus","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5777C, MPC5777M","-","24","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34FS6408","MC34FS6408NAER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34FS6408&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/safe-sbc-with-buck-and-boost-dc-dc-up-to-1.5-a-on-vcore:MC34FS6408?&fpsp=1&tab=Documentation_Tab#MC34FS6408NAER2","System Basis Chip, CAN, 5V , 1.5A VCORE, QFP 48, Reel","-","-","-","System Basis Chip, Linear Regulators, SMPS","1000 @ CNY18.88 each","LQFP-EP 48","CAN","-","-","-","-1 to 40","-","-40 to 125","Undervoltage, Squib Short to Battery, Short Circuit, Overvoltage, Overtemperature, Overcurrent, Overcurrent Protected Bus","SPI","Diagnostics Reporting, Sleep Mode, Wake, Watchdog Timer","-","2","48","PRODUCT RAPID GROWTH(2)","-","10-YEARS APPLICATION LIFE","-","-","Interrupt Output, Reset, Watchdog","3","2","-","-","1","ISO 26262","MPC5777C, MPC5777M","-","24","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34901","MC34901SEF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34901&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/high-speed-can-transceiver-for-industrial-applications:MC34901?&fpsp=1&tab=Documentation_Tab#MC34901SEF","Transceiver, Physical Layer, Single CAN HS without wakeup,timeout,  SOIC 8, Rail","-","-","-","CAN Physical Interfaces, Comm Transceivers","1000 @ CNY4.39 each","SOIC 8","CAN","-","1000","-","4.5 to 5.5","-","-40 to 125","Overtemperature, Undervoltage Detection, Overcurrent Protected Bus","Status Reporting","3.3/5.0V SPI Interface, Vdd/Vio Monitoring","-","3","8","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34901","MC34901SEFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34901&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/high-speed-can-transceiver-for-industrial-applications:MC34901?&fpsp=1&tab=Documentation_Tab#MC34901SEFR2","Transceiver, Physical Layer ,Single CAN HS without wakeup, timeout,  SOIC 8, Reel","-","-","-","CAN Physical Interfaces, Comm Transceivers","1000 @ CNY4.39 each","SOIC 8","CAN","-","1000","-","4.5 to 5.5","-","-40 to 125","Overtemperature, Undervoltage Detection, Overcurrent Protected Bus","Status Reporting","3.3/5.0V SPI Interface, Vdd/Vio Monitoring","-","3","8","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34901","MC34901WEF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34901&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/high-speed-can-transceiver-for-industrial-applications:MC34901?&fpsp=1&tab=Documentation_Tab#MC34901WEF","Transceiver, Physical Layer ,Single CAN HS with  wakeup, timeout,  SOIC 8, Rail","-","-","-","CAN Physical Interfaces, Comm Transceivers","1000 @ CNY4.39 each","SOIC 8","CAN","-","1000","-","4.5 to 5.5","-","-40 to 125","Overtemperature, Undervoltage Detection, Overcurrent Protected Bus","Status Reporting","Standby with CAN Wake-Up, 3.3/5.0V SPI Interface, Vdd/Vio Monitoring","-","3","8","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34901","MC34901WEFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34901&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/high-speed-can-transceiver-for-industrial-applications:MC34901?&fpsp=1&tab=Documentation_Tab#MC34901WEFR2","Transceiver, Physical Layer, Single CAN HS with wakeup, timeout, SOIC 8, Reel","-","-","-","CAN Physical Interfaces, Comm Transceivers","1000 @ CNY4.39 each","SOIC 8","CAN","-","1000","-","4.5 to 5.5","-","-40 to 125","Overtemperature, Undervoltage Detection, Overcurrent Protected Bus","Status Reporting","Standby with CAN Wake-Up, 3.3/5.0V SPI Interface, Vdd/Vio Monitoring","-","3","8","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---收发器","MC34CM0902","MC34CM0902WEF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34CM0902&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/transceivers/can-physical-interfaces/dual-can-high-speed-transceiver:MC34CM0902?&fpsp=1&tab=Documentation_Tab#MC34CM0902WEF","Transceiver, Physical Layer ,Dual CAN HS with  wakeup, no timeout,  SOIC 14, Rail","-","-","-","CAN Physical Interfaces, Comm Transceivers","1000 @ CNY5.98 each","SOIC 14","CAN","-","1000","-","4.5 to 5.5","-","-40 to 85","Overcurrent Protected Bus, Overtemperature, Undervoltage Detection","-","3.3/5.0V SPI Interface, Standby with CAN Wake-Up, Vdd/Vio Monitoring","-","2","14","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
