"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","MW7IC2220N","MW7IC2220NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2220N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2220N?&fpsp=1&tab=Documentation_Tab#MW7IC2220NBR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 2 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2220NBR1');trackRFAnalytics('MW7IC2220NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","43","20","2 @ AVG","W-CDMA","31 @ 2170","13","1.5","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","20","31","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC2220N","MW7IC2220NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2220N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-2-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2220N?&fpsp=1&tab=Documentation_Tab#MW7IC2220NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 2 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2220NR1');trackRFAnalytics('MW7IC2220NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","43","20","2 @ AVG","W-CDMA","31 @ 2170","13","1.5","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","20","31","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW6S010N","MW6S010GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/450-1500-mhz-10-w-28-v-lateral-n-channel-broadband-rf-power-mosfets:MW6S010N?&fpsp=1&tab=Documentation_Tab#MW6S010GNR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S010GNR1');trackRFAnalytics('MW6S010GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","450","1500","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","450 to 1500","-","10-YEARS APPLICATION LIFE","-","-","-","-","-37","-","32","450 to 1500","-"
"FSL","射频---射频移动通信基础架构","MW6S010N","MW6S010NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S010N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/450-1500-mhz-10-w-28-v-lateral-n-channel-broadband-rf-power-mosfets:MW6S010N?&fpsp=1&tab=Documentation_Tab#MW6S010NR1","Lateral N-Channel Broadband RF Power MOSFET, 450-1500 MHz, 10 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S010NR1');trackRFAnalytics('MW6S010NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","450","1500","28","40","10","10 @ PEP","2-Tone","18 @ 960","32","2.85","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","450 to 1500","-","10-YEARS APPLICATION LIFE","-","-","-","-","-37","-","32","450 to 1500","-"
"FSL","射频---射频移动通信基础架构","MW7IC2240N","MW7IC2240GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2240N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-4-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2240N?&fpsp=1&tab=Documentation_Tab#MW7IC2240GNR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2240GNR1');trackRFAnalytics('MW7IC2240GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","46","40","4 @ AVG","W-CDMA","30 @ 2110","14","1.3","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","30","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC2240N","MW7IC2240NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2240N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-4-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2240N?&fpsp=1&tab=Documentation_Tab#MW7IC2240NR1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 2110-2170 MHz, 4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2240NR1');trackRFAnalytics('MW7IC2240NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","46","40","4 @ AVG","W-CDMA","30 @ 2110","14","1.3","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","30","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW6S004NT1","MW6S004NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW6S004NT1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/1-2000-mhz-4-w-28-v-lateral-n-channel-rf-power-mosfet:MW6S004NT1?&fpsp=1&tab=Documentation_Tab#MW6S004NT1","Lateral N-Channel RF Power MOSFET, 1-2000 MHz, 4 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW6S004NT1');trackRFAnalytics('MW6S004NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1","2000","28","36","4","4 @ PEP","2-Tone","18 @ 1960","33","8.8","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 4","4","PRODUCT MATURITY/SATURATION(4)","-","1 to 2000","-","10-YEARS APPLICATION LIFE","-","-","-","-","-34","-","33","1 to 2000","-"
"FSL","射频---射频移动通信基础架构","MW7IC2020N","MW7IC2020NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2020N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-2.4-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifier:MW7IC2020N?&fpsp=1&tab=Documentation_Tab#MW7IC2020NT1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 1805-2170 MHz, 2.4 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2020NT1');trackRFAnalytics('MW7IC2020NT1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","43","20","2.4 @ AVG","W-CDMA","32.6 @ 2140","17","1.9","I/O","AB","LDMOS","2","-","QFN-EP 24","24","PRODUCT RAPID GROWTH(2)","-","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","W-CDMA","20","32.6","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC2040N","MW7IC2040NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2040N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1990-mhz-1805-1880-mhz-4-w-avg.-28-v-single-w-cdma-gsm-edge-gsm-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2040N?&fpsp=1&tab=Documentation_Tab#MW7IC2040NBR1","Single W-CDMA, GSM/EDGE, RF LDMOS Wideband Integrated PA, 1930-1990 MHz, 1805-1880 MHz, 4 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2040NBR1');trackRFAnalytics('MW7IC2040NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1990","28","44.8","30","4 @ AVG","W-CDMA","32 @ 1930","17.5","1.5","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","1930 to 1990","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","32","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC2040N","MW7IC2040NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC2040N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1990-mhz-1805-1880-mhz-4-w-avg.-28-v-single-w-cdma-gsm-edge-gsm-rf-ldmos-wideband-integrated-power-amplifiers:MW7IC2040N?&fpsp=1&tab=Documentation_Tab#MW7IC2040NR1","Single W-CDMA, GSM/EDGE, RF LDMOS Wideband Integrated PA, 1930-1990 MHz, 1805-1880 MHz, 4 W, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MW7IC2040NR1');trackRFAnalytics('MW7IC2040NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1990","28","44.8","30","4 @ AVG","W-CDMA","32 @ 1930","17.5","1.5","I/O","AB","LDMOS","4","-","High Pwr RF SMT 16","16","PRODUCT MATURITY/SATURATION(4)","-","1930 to 1990","-","10-YEARS APPLICATION LIFE","-","W-CDMA","40","32","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MW7IC915N","MW7IC915NT1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MW7IC915N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-960-mhz-1.6-w-avg.-28-v-rf-ldmos-wideband-integrated-power-amplifier:MW7IC915N?&fpsp=1&tab=Documentation_Tab#MW7IC915NT1","Single W-CDMA RF LDMOS Wideband Integrated Power Amplifier, 728-960 MHz, 1.6 W Avg., 28 V","-","865","895","28","41.9","15.5","1.6 @ AVG","W-CDMA","38 @ 880","17.4","3.2","Input","AB","LDMOS","4","-","QFN-EP 24","24","PRODUCT MATURITY/SATURATION(4)","-","865 to 895","-","10-YEARS APPLICATION LIFE","-","W-CDMA","15.5","38","-","-","17.4","700 to 1000","-"
"FSL","射频---射频移动通信基础架构","MRFE6S9160H","MRFE6S9160HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9160H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-35-w-avg.-28-v-single-n-cdma-lateral-n-channel-rf-power-mosfets:MRFE6S9160H?&fpsp=1&tab=Documentation_Tab#MRFE6S9160HSR3","Single N-CDMA Lateral N-Channel RF Power MOSFET, 880 MHz, 35 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9160HSR3');trackRFAnalytics('MRFE6S9160HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","52","160","35 @ AVG","N-CDMA","21 @ 880","31","0.33","Input","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRFE6S9046N","MRFE6S9046GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9046N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-35.5-w-cw-28-v-gsm-gsm-edge-lateral-n-channel-rf-power-mosfets:MRFE6S9046N?&fpsp=1&tab=Documentation_Tab#MRFE6S9046GNR1","GSM, GSM EDGE Lateral N-Channel RF Power MOSFET, 920-960 MHz, 35.5 W CW, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9046GNR1');trackRFAnalytics('MRFE6S9046GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","46.5","45","35.5 @ CW","1-Tone","19 @ 960","57","1.3","I/O","AB","LDMOS","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
