"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","替代部件","器件功能","预算报价（不含税）(CNY)","SafeAssure 功能安全","封装类型和焊端数","工作环境温度 (Min-Max) (°C) ","其他特性-模拟","CAN Type","通信协议","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","RoHS","接口和输入控制","PLC代码","Pin count","PLC描述","诊断","Sleep Current (Max) (mA) ","认证级别","保护","通道数","每路输出电流限值 (Min) (A) (ILIM)","无铅","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","其他特性 - 电源管理","线性/LDO稳压器数量","开关升压稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","开关监控电压 (Min-Max) (V) (VSENSE)","负载电流 (Max) (A) (IL)","PWM Frquency (Hz) ","内核：内核数量 (Spec)","内部RAM (KB) ","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) ","ADC (ch)","PWM (bit)","ADC (bit)","PWM (ch)","定时器特性","定时器","PWM","ADC","MCU内部用户闪存 (Spec) (kByte) "
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV1AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV1AER2","MagniV S12 Relay Driver, 2x HS/LS , I sense, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY14.50 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV2AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV2AE","MagniV S12 Relay Driver, 2x HS/LS , VReg, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY9.92 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV2AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV2AER2","MagniV S12 Relay Driver, 2x HS/LS , VReg, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY9.92 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV2AP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV2AP","MagniV S12 Relay Driver, 2x HS/LS , VReg, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY14.24 each","-","LQFP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","16","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912F634DV2APR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912F634DV2APR2","MagniV S12 Relay Driver, 2x HS/LS , VReg, 16-bit MCU, 6KB RAM, 32KB Flash, LIN, QFP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY14.24 each","-","LQFP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","100","20","16","HCS12","32","2.5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DM1AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DM1AE","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY27.02 each","-","LQFP-EP 48","-40 to 125","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DM1AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DM1AER2","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY27.02 each","-","LQFP-EP 48","-40 to 125","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DV1AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DV1AE","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY9.79 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DV1AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DV1AER2","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY9.79 each","-","LQFP-EP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","20","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DV2AP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DV2AP","MagniV S12 Relay Driver, 2x HS/ LS, VReg, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY25.12 each","-","LQFP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","16","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912G634DV2APR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912G634DV2APR2","MagniV S12 Relay Driver, 2x HS/ LS, VReg, 16-bit MCU, 6KB RAM, 48KB Flash, LIN,  QFP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY25.12 each","-","LQFP 48","-40 to 105","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.25, 0.38","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","2","-","100","20","16","HCS12","48","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912H634DM1AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912H634DM1AE","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 64KB Flash, LIN,  QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY12.78 each","-","LQFP-EP 48","-40 to 125","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.11, 0.28","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","6","-","100","20","20","HCS12","64","1.8","-","-","-","-","-","-","-","-","-"
