"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","EEPROM (KB) ","内核：类型","工作频率 (Max) (MHz) ","总线频率 (Max) (MHz) ","CAN","I2C","LIN","SPI","供电电压 (Min-Max) (V) ","GPIOs","工作环境温度 (Min-Max) (°C) ","其他特性","ADC (ch)","PWM (bit)","SCI","ADC (bit)","PWM (ch)","PLC代码","Pin count","PLC描述","定时器特性","定时器","Debug &amp; Trace","PWM","内核：性能(MIPS)","ADC","无铅","RoHS","内核：工作电压 (Spec) (V) ","DAC (bit)","QSPI","CAN Type","其他模拟功能","5v VREG","SENT","SafeAssure 功能安全"," 物理层接口"," 高压输入"," 电机","定时器类型","DAC (ch)","DMA通道总数","PWM分辨率 (ps) ","独立的PWM模块","ADC转换时间 (ns) ","QSCI","模拟比较器","独立ADC模块","FlexMemory (kB) ","负载供电电压 (Max) (V) ","负载供电电压 (Min) (V) ","其他特性-模拟","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","通道数","诊断","通信协议","每路输出电流限值 (Min) (A) (ILIM)","器件功能","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","保护","接口和输入控制","负载电流 (Max) (A) (IL)","内核：内核数量 (Spec)","J1850","视频/显示功能","协处理器类型","协处理器频率 (Max) (MHz) ","器件","LCD分辨率"," 高电流GPIO / EVDD","状态","替代部件"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256MAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256MAL","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY55.00 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","91","-40 to 125","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","4","10","8","4","112","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256VAA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256VAA","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 80","-","QFP 80","10000 @ CNY51.82 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","59","-40 to 105","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","8","8","2","10","7","4","80","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","7-ch. 8-bit","-","8-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XD256VAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XD256VAL","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY52.52 each","10-YEARS APPLICATION LIFE","256","14","4","HCS12X","80","40","1","1","-","3","3.15 to 5.5","91","-40 to 105","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","4","10","8","4","112","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512CAG","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512CAG","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 144","-","LQFP 144","10000 @ CNY69.63 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","2","-","3","3.15 to 5.5","119","-40 to 85","POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP","24","8","6","10","8","3","144","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","8-ch. 8-bit","-","24-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512CAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512CAL","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY68.61 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","1","-","3","3.15 to 5.5","91","-40 to 85","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","6","10","8","3","112","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512MAG","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512MAG","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 144","-","LQFP 144","10000 @ CNY76.56 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","2","-","3","3.15 to 5.5","119","-40 to 125","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","24","8","6","10","8","3","144","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","8-ch. 8-bit","-","24-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512MAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512MAL","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY75.54 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","1","-","3","3.15 to 5.5","91","-40 to 125","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","6","10","8","3","112","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512VAG","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512VAG","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 144","-","LQFP 144","10000 @ CNY73.12 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","2","-","3","3.15 to 5.5","119","-40 to 105","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","24","8","6","10","8","3","144","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","8-ch. 8-bit","-","24-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDP512VAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDP512VAL","S12XD 16-bit MCU, HCS12X core, 512KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY72.11 each","10-YEARS APPLICATION LIFE","512","32","4","HCS12X","80","40","5","1","-","3","3.15 to 5.5","91","-40 to 105","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","6","10","8","3","112","PRODUCT STABLE GROWTH/MATURITY(3)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDT256CAA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDT256CAA","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 80","-","QFP 80","10000 @ CNY52.01 each","10-YEARS APPLICATION LIFE","256","16","4","HCS12X","80","40","3","1","-","3","3.15 to 5.5","59","-40 to 85","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","8","8","2","10","7","4","80","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","8-ch. 16 bit, 8-ch. 24 bit","-","7-ch. 8-bit","-","8-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
"FSL","其他处理器---16位微控制器","S12XD","MC9S12XDT256CAL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=S12XD&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xd-automotive-and-industrial-microcontrollers-mcus:S12XD?&fpsp=1&tab=Documentation_Tab#MC9S12XDT256CAL","S12XD 16-bit MCU, HCS12X core, 256KB Flash, 80MHz, QFP 112","-","LQFP 112","10000 @ CNY52.65 each","10-YEARS APPLICATION LIFE","256","16","4","HCS12X","80","40","3","1","-","3","3.15 to 5.5","91","-40 to 85","COP, Internal Clock Generator, Internal Voltage Regulator, Low Voltage Detect, PLL, POR","16","8","4","10","8","4","112","PRODUCT MATURITY/SATURATION(4)","Input Capture, Output Compare, Pulse Accumulator, Realtime Interrupts","4-ch. 16-bit, 4-ch. 24 bit","-","8-ch. 8-bit","-","16-ch. 10-bit","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","XGATE","-","-","-","-","-","-"
