"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","预算报价（不含税）(CNY)","认证级别","内部闪存 (KB) ","内部RAM (KB) ","缓存 (KB) ","工作频率 (Max) (MHz) ","内核：性能(MIPS)","总线频率 (Max) (MHz) ","支持外部存储器","其他特性","片选","外部中断","DMA通道总数","供电电压 (Min-Max) (V) ","定时器特性","外部总线接口","GPIOs","ADC (ch)","Junction Temperature (Max) (&#186;C)","SCI","ADC (bit)","PLC代码","Pin count","PLC描述","SPI","定时器","Debug &amp; Trace","I/O 工作电压 (Max) (V) ","ADC","待机功能","CAN","I2C","内核：类型","工作环境温度 (Min-Max) (°C) ","无铅","RoHS","DAC (ch)","DAC (bit)","定时器类型","Ethernet Type","以太网","视频/显示功能","USB","USB features","I2S","UART","QSPI","CAN Type","状态","替代部件"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54452CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54452CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY69.56 each","10-YEARS APPLICATION LIFE","-","32","32","200","410","100","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54452VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54452VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY69.56 each","10-YEARS APPLICATION LIFE","-","32","32","266","410","133","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54453CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54453CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY76.56 each","10-YEARS APPLICATION LIFE","-","32","32","200","410","100","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54453VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54453VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY76.56 each","10-YEARS APPLICATION LIFE","-","32","32","266","410","133","DDR","PLL, Random Number Generator, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54454CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54454CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY90.55 each","10-YEARS APPLICATION LIFE","-","32","32","200","410","100","DDR","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54454VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54454VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY90.55 each","10-YEARS APPLICATION LIFE","-","32","32","266","410","133","DDR","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54455CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54455CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY97.54 each","10-YEARS APPLICATION LIFE","-","32","32","200","410","100","DDR","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","-40 to 85","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5445X","MCF54455VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54455VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","10000 @ CNY97.54 each","10-YEARS APPLICATION LIFE","-","32","32","266","410","133","DDR","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","9","4","16","-","Reference Compare, Input Capture","PCI, Flexbus","132","-","-","-","-","4","360","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","-","WAIT, STOP, DOZE","-","1","-","0 to 70","-","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","-","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF530X","MCF5307CAI66B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF530X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v3-mpu/integrated-coldfire-v3-microprocessor:MCF530X?&fpsp=1&tab=Documentation_Tab#MCF5307CAI66B","MCF530X 32-bit MPU, ColdFire V3 core, 66MHz, QFP 208","-","QFP 208","10000 @ CNY88.38 each","10-YEARS APPLICATION LIFE","-","4","16","66","55","-","SDRAM","PLL","8","4","4","-","Output Compare, Input Capture","-","16","-","-","-","-","4","208","PRODUCT MATURITY/SATURATION(4)","-","2-ch. 16 bit","JTAG","3.3","-","-","-","1","-","-40 to 85","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF525X","MCF5251VM140","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF525X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/integrated-coldfire-v2-microprocessor:MCF525X?&fpsp=1&tab=Documentation_Tab#MCF5251VM140","ColdFire 32-bit MPU, ColdFire core, 140MHz, MAPBGA 225","-","MAPBGA 225","1000 @ CNY57.74 each","5-YEARS APPLICATION LIFE","-","128","8","140","125","-","SDRAM","PLL","3","7","4","-","-","DSI","-","-","-","-","-","4","225","PRODUCT MATURITY/SATURATION(4)","-","-","JTAG","3.6","-","-","2","2","-","-20 to 70","-","-","-","-","Real Time Clock","-","-","-","1","USB 2.0, USB OTG","1","3","2","FlexCAN, CAN 2.0 B","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF527X","MCF5272VM66R2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF527X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/coldfire-v2-integrated-microprocessor:MCF527X?&fpsp=1&tab=Documentation_Tab#MCF5272VM66R2","MCF527x 32-bit MPU, ColdFire V2 core, 66MHz, MAPBGA 196","-","MAPBGA 196","10000 @ CNY64.86 each","10-YEARS APPLICATION LIFE","-","4","1","66","-","66","SDRAM","-","8","-","4","-","Watchdog","-","32","-","-","-","-","4","196","PRODUCT MATURITY/SATURATION(4)","-","-","JTAG","3.3","-","-","-","-","-","0 to 70","-","-","-","-","-","-","-","-","-","USB 2.0","-","-","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5227X","MCF52274CLU120","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5227X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/v2-microprocessor-with-touchscreen-lcd-controller-and-usb:MCF5227X?&fpsp=1&tab=Documentation_Tab#MCF52274CLU120","MCF5227X 32-bit MPU, ColdFire V2 core, 120MHz, QFP 176","-","LQFP 176","10000 @ CNY44.45 each","10-YEARS APPLICATION LIFE","-","128","8","120","114","60","SDRAM, SDR, DDR2","TouchScreen, PLL","9","3","16","3 to 3.6","Watchdog, Reference Compare, Input Capture","-","47","8","-","-","12","4","176","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 8 bit","JTAG","-","8-ch. 12-bit","DOZE, WAIT, STOP","1","1","-","-40 to 85","-","-","-","-","Periodic Interrupt Timer","-","-","LCD Controller","1","USB 2.0, USB OTG","1","3","-","-","-","-"
"FSL","其他处理器---ColdFire+/ColdFire MCU和处理器","MCF5227X","MCF52277CVM160","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5227X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/v2-microprocessor-with-touchscreen-lcd-controller-and-usb:MCF5227X?&fpsp=1&tab=Documentation_Tab#MCF52277CVM160","MCF5227X 32-bit MPU, ColdFire V2 core, 166MHz, MAPBGA 196","-","MAPBGA 196","10000 @ CNY38.09 each","10-YEARS APPLICATION LIFE","-","128","8","166","152","80","SRAM, DDR2, SDR","PLL, TouchScreen","9","3","16","3 to 3.6","Watchdog, Input Capture, Reference Compare","-","55","8","-","-","12","4","196","PRODUCT MATURITY/SATURATION(4)","1","1-ch. 16 bit, 1-ch. 8 bit","JTAG","-","8-ch. 12-bit","WAIT, STOP, DOZE","1","1","-","-40 to 85","-","-","-","-","Periodic Interrupt Timer","-","-","LCD Controller","1","USB 2.0, USB OTG","1","3","-","-","-","-"
