"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","内部闪存 (KB) ","内部RAM (KB) ","工作频率 (Max) (MHz) ","DMA通道总数","PWM","ADC","I2C","PWM分辨率 (ps) ","QSCI","CAN","ADC (ch)","PWM (bit)","SCI","ADC (bit)","PWM (ch)","PLC代码","预算报价（不含税）(CNY)","Pin count","PLC描述","其他特性","SPI","定时器特性","定时器","Debug &amp; Trace","GPIOs","内核：性能(MIPS)","LIN","工作环境温度 (Min-Max) (°C) ","无铅","供电电压 (Min-Max) (V) ","认证级别","RoHS","内核：工作电压 (Spec) (V) ","DAC (bit)","QSPI","CAN Type","定时器类型","DAC (ch)","独立的PWM模块","ADC转换时间 (ns) ","模拟比较器","内核：类型","独立ADC模块","FlexMemory (kB) ","EEPROM (KB) ","内核：内核数量 (Spec)","L2缓存 (Max) (KB) ","UART","支持外部存储器","缓存 (KB) ","外部总线接口","Ethernet Type","TDM"
"FSL","其他处理器---数字信号处理器/控制器","MSC8156","MSC8156ESAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8156&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8156?&fpsp=1&tab=Documentation_Tab#MSC8156ESAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, SEC, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY909.46 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","32","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","32","1","DDR2, DDR3, SDRAM","32","-","1GBaseT","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8156","MSC8156ETAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8156&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8156?&fpsp=1&tab=Documentation_Tab#MSC8156ETAG1000B","StarCore DSP, 6x1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, SEC, -40-105C","-","FCPBGA 783","-","1000","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY1,000.38 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","32","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","32","1","DDR2, DDR3, SDRAM","32","-","1GBaseT","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8156","MSC8156SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8156&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8156?&fpsp=1&tab=Documentation_Tab#MSC8156SAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","1000","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY866.22 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","32","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","32","1","DDR2, DDR3, SDRAM","32","-","1GBaseT","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8156","MSC8156TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8156&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-six-core-dsp:MSC8156?&fpsp=1&tab=Documentation_Tab#MSC8156TAG1000B","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, SEC, -40-105C","-","FCPBGA 783","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","1000 @ CNY952.76 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8157","MSC8157ESAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157ESAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, SEC, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY956.13 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","512","1","DDR, SDRAM","32","-","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8157","MSC8157ETAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157ETAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, SEC, -40-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY1,025.31 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-45 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","512","1","DDR, SDRAM","32","-","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8157","MSC8157SAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157SAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, GbE, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY902.21 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","512","1","DDR, SDRAM","32","-","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8157","MSC8157TAG1000A","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8157&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/msc8157-broadband-wireless-access-dsp:MSC8157?&fpsp=1&tab=Documentation_Tab#MSC8157TAG1000A","StarCore DSP, 6x 1GHz SC3850 cores, MAPLE-B2 accelerator, DDR2/3, SRIO, PCIe, CIPRI, GbE, -40-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY1,011.13 each","783","PRODUCT MATURITY/SATURATION(4)","-","-","-","-","-","-","-","-","-45 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","6","512","1","DDR, SDRAM","32","-","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8152","MSC8152SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8152&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-dual-core-dsp:MSC8152?&fpsp=1&tab=Documentation_Tab#MSC8152SAG1000B","StarCore DSP, 2x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","1000","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY554.33 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","2","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8152","MSC8152TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8152&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-dual-core-dsp:MSC8152?&fpsp=1&tab=Documentation_Tab#MSC8152TAG1000B","StarCore DSP, 2x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","1000","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY609.84 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","2","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8154","MSC8154ESAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8154&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8154?&fpsp=1&tab=Documentation_Tab#MSC8154ESAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, SEC, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY727.60 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR2, DDR3","32","PCI-Express, RapidIO-Serial","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8154","MSC8154ETAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8154&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8154?&fpsp=1&tab=Documentation_Tab#MSC8154ETAG1000B","StarCore DSP, 4x1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, SEC, -40-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY800.41 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR2, DDR3","32","PCI-Express, RapidIO-Serial","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8154","MSC8154SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8154&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8154?&fpsp=1&tab=Documentation_Tab#MSC8154SAG1000B","StarCore DSP, 4x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY692.89 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR2, DDR3","32","PCI-Express, RapidIO-Serial","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8154","MSC8154TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8154&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/multicore-dsps/high-performance-quad-core-dsp:MSC8154?&fpsp=1&tab=Documentation_Tab#MSC8154TAG1000B","StarCore DSP, 4x1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","-","1000","16","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY762.32 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","1","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","4","512","1","DDR2, DDR3","32","PCI-Express, RapidIO-Serial","1GBaseT, SGMII","-"
"FSL","其他处理器---数字信号处理器/控制器","MSC8151","MSC8151SAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8151&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/single-core-dsps/high-performance-single-core-dsp:MSC8151?&fpsp=1&tab=Documentation_Tab#MSC8151SAG1000B","StarCore DSP, 1x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, 0-105C","-","FCPBGA 783","-","-","1000","-","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY482.04 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","0 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","1","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MSC8151","MSC8151TAG1000B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MSC8151&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/starcore-dsp/single-core-dsps/high-performance-single-core-dsp:MSC8151?&fpsp=1&tab=Documentation_Tab#MSC8151TAG1000B","StarCore DSP, 1x 1GHz SC3850 cores, MAPLE-B accelerator, DDR2/3, SRIO, PCIe, QE, GbE, -40-105C","-","FCPBGA 783","-","-","1000","-","-","-","1","-","-","-","-","-","-","-","-","4","1000 @ CNY530.24 each","783","PRODUCT MATURITY/SATURATION(4)","Memory Management Unit (MMU), PLL","-","-","-","-","-","-","-","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","SC3850","-","-","-","1","512","1","DDR, SDRAM","32","Memory Controller, PCI-Express, RapidIO","1GBaseT, SGMII","4"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8002VWL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8002VWL","16-bit DSC, 56800E core, 12KB Flash, 32MHz, SOIC 28","-","SOIC 28","12","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY9.54 each","28","PRODUCT STABLE GROWTH/MATURITY(3)","Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP, PGA","1","Input Capture, PWM, PDB","2-ch. 16 bit","JTAG, On-Chip Emulation","9","32","1","-40 to 105","-","-","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
