"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态"," 硬件开发工具","内核：类型","浮点单元","工作频率 (Max) (MHz) "," 片上SRAM (KB)","Total Flash (KB) ","UART","SPI","I2C","I2S","USB OTG","CAN","Ethernet w/ 1588","人机接口","VDD (min)","VDD (max) (V) ","Package type","Kinetis SDK","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","DMA (ch)","PWM Types","Debug &amp; Trace","16-bit Timer (ch)","32-bit Timer (ch)","16-bit PWM (ch)","DAC","ADC"," 其他模拟模块","Qty | Package carrier","GPIOs","Programming for Kinetis MCUs  (KB)","工作环境温度 (Min-Max) (°C) ","安全","无铅","封装尺寸(宽x长x高) (mm3)"," 引脚间距","认证级别","RoHS","External memory &amp; connectivity interfaces","EEPROM (KB) ","缓存 (KB) ","USB features","引导ROM (KB) "," 段式LCD分辨率","Quad Encoder","ADC Conversion Speed (MSPS)","FlexCan","Enhanced PWM (ch)","High Resolution Timer (pSec)","集成无线电台","发射电流 (mA)","接收电流 (mA)","Radio Protocol Supported","Datarate","DC/DC Converter","RX灵敏度"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV42F256VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV42F256VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 256KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","32","256","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY18.31 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","-","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV42F256VLL16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV42F256VLL16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 256KB Flash, 168 MHz, LQFP 100","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","32","256","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY19.27 each","LQFP 100","100","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","-","12-bit (Cyclic) x 2","Comparator, PGA, VREF","90 | TRAY","74","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV42F64VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV42F64VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 64KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","16","64","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY14.56 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","-","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","-","-","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV44F128VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV44F128VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY18.88 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","-","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","8","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV44F128VLL16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV44F128VLL16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 100","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY19.84 each","LQFP 100","100","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","-","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","90 | TRAY","74","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","12","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV44F256VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV44F256VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 256KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","32","256","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY20.73 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","-","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","8","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV44F256VLL16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV44F256VLL16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 256KB Flash, 168 MHz, LQFP 100","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","32","256","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY21.68 each","LQFP 100","100","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","-","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","90 | TRAY","74","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","12","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV44F64VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV44F64VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 64KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","16","64","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY16.98 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","-","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","8","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV46F128VLH16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV46F128VLH16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 64","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY19.20 each","QFP 64","64","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","160 | TRAY","48","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","8","312","-","-","-","-","-","-","-"
"FSL","ARM 处理器---Kinetis ARM Cortex-M微控制器","KV4x","MKV46F128VLL16","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=KV4x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/kinetis-cortex-m/v-series/kinetis-kv4x-168-mhz-arm-cortex-m4-real-time-control-motor-and-power-control-high-performance-microcontrollers-mcus:KV4x?&fpsp=1&tab=Documentation_Tab#MKV46F128VLL16","Kinetis V 32-bit MCU, ARM Cortex-M4 core, 128KB Flash, 168 MHz, LQFP 100","-","-","http://www.freescale.com/zh-Hans/tools/software-and-tools/hardware-development-tools/tower-development-boards/mcu-and-processor-modules/kinetis-modules/kinetis-kv4x-family-tower-system-module:TWR-KV46F150M","ARM Cortex-M4","Single Precision","168","24","128","2","1","1","-","-","-","-","-","1.71","3.6","LQFP","-","2","10000 @ CNY20.16 each","LQFP 100","100","PRODUCT RAPID GROWTH(2)","16","Motor Control PWM","DWT, FPB, ITM, JTAG, SWD, TPIU","18","4","18","12-bit x 1","12-bit (Cyclic) x 2","Comparator, PGA, VREF","90 | TRAY","74","-","-40 to 105","CRC, FAC","-","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","1","4.1","2","12","312","-","-","-","-","-","-","-"
