"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","内核：内核数量 (Spec)","内核：类型","工作频率 (Max) (MHz) ","工作环境温度 (Min-Max) (°C) ","L2缓存 (Max) (KB) ","L3缓存 (Max) (KB) ","Data Path","安全","PCIe","USB features","支持外部存储器","CAN","Typical Power","Junction Temperature (Max) (&#186;C)","PLC代码","封装类型和焊端数","Pin count","硬件加密","PLC描述","SPI","Ethernet Type","GPIOs","I2C","缓存 (KB) ","外部总线接口","总线频率 (Max) (MHz) ","无铅","认证级别","RoHS","DUART","其他特性","视频/显示功能","I2S","sRIO","加速度传感器数量","eSPI"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSN7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSN7QTB","QorIQ, 64b Power Arch, 16x 1.67GHz threads, 1.87GT/s DDR3L, 2x10GE, crypto disabled, 0-105C, Rev 2.","-","1000 @ CNY2,649.52 each","16","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NSN7TTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NSN7TTB","QorIQ, 64b Power Arch, 16x 1.8GHz threads, 1.8GT/s DDR3L, 4x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY2,943.92 each","16","e6500","1800","0 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NXE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NXE7PQB","QorIQ, 64b Power Arch, 16x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto enabled, -40-105C, Rev 2.0","-","1000 @ CNY2,498.95 each","16","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4160NXN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4160NXN7PQB","QorIQ, 64b Power Arch, 16x 1.5GHz threads, 1.6GT/s DDR3L, 2x10GE, crypto disabled, -40-105C, Rev 2.0","-","1000 @ CNY2,374.01 each","16","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","3x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","29.6","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSE7PQB","QorIQ, 64b Power Arch, 24x 1.5GHz threads, 1.6GT/s DDR3L, 4x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY2,754.57 each","24","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSE7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSE7QTB","QorIQ, 64b Power Arch, 24x 1.67GHz threads, 1.87GT/s DDR3L, 4x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY3,443.19 each","24","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSE7TTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSE7TTB","QorIQ, 64b Power Arch, 24x 1.8GHz threads, 1.8GT/s DDR3L, 4x10GE, crypto enabled, 0-105C, Rev 2.0","-","1000 @ CNY3,825.78 each","24","e6500","1800","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSN7PQB","QorIQ, 64b Power Arch, 24x 1.5GHz threads, 1.6GT/s DDR3L, 4x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY2,616.84 each","24","e6500","1500","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSN7QTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSN7QTB","QorIQ, 64b Power Arch, 24x 1.67GHz threads, 1.87GT/s DDR3L, 4x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY3,271.00 each","24","e6500","1667","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NSN7TTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NSN7TTB","QorIQ, 64b Power Arch, 24x 1.8GHz threads, 1.8GT/s DDR3L, 4x10GE, crypto disabled, 0-105C, Rev 2.0","-","1000 @ CNY3,634.52 each","24","e6500","1800","0 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NXE7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NXE7PQB","QorIQ, 64b Power Arch, 24x 1.5GHz threads, 1.6GT/s DDR3L, 4x10GE, crypto enabled, -40-105C, Rev 2.0","-","1000 @ CNY3,085.14 each","24","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","Yes","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA, SEC 5.0","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T4240","T4240NXN7PQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T4240&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t4240-t4160-t4080-24-16-8-virtual-core:T4240?&fpsp=1&tab=Documentation_Tab#T4240NXN7PQB","QorIQ, 64b Power Arch, 24x 1.5GHz threads, 1.6GT/s DDR3L, 4x10GE, crypto disabled, -40-105C, Rev 2.0","-","1000 @ CNY2,930.82 each","24","e6500","1500","-40 to 105","2048","-","Hardware Accelerators","5","4x Gen 2.0/3.0","2 x USB 2.0","DDR3, DDR3L","-","35.7","-","3","FCPBGA 1932","1932","No","PRODUCT STABLE GROWTH/MATURITY(3)","1","10GBaseT, SGMII","-","4","32","PCI-Express","-","-","10-YEARS APPLICATION LIFE","-","4","-","-","-","2","DPAA","1"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T2080","T2080NSE8MQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T2080&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t2080-t2081-eight-virtual-core-communications-processors:T2080?&fpsp=1&tab=Documentation_Tab#T2080NSE8MQB","QorIQ, 64b Power Arch, 8x 1.2GHz threads, 1.6GT/s DDR3/3L, 4x10GE, crypto enabled, 0-105C, Rev 1.1","-","1000 @ CNY612.39 each","8","e6500","1200","0 to 105","2000","512","-","-","4x Gen 2.0/3.0","2 x USB 2.0 w Phy","DDR3, DDR3L, SDRAM","-","-","-","2","FCPBGA 896","896","-","PRODUCT RAPID GROWTH(2)","-","RGMII, SGMII, XAUI","32","4","-","-","-","-","10-YEARS APPLICATION LIFE","-","2","SATA 2.0","-","-","-","-","-"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T2080","T2080NSE8PTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T2080&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t2080-t2081-eight-virtual-core-communications-processors:T2080?&fpsp=1&tab=Documentation_Tab#T2080NSE8PTB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.87GT/s DDR3/3L, 4x10GE, crypto enabled, 0-105C, Rev 1.1","-","1000 @ CNY703.89 each","8","e6500","1533","0 to 105","2000","512","-","-","4x Gen 2.0/3.0","2 x USB 2.0 w Phy","DDR3, DDR3L, SDRAM","-","-","-","2","FCPBGA 896","896","-","PRODUCT RAPID GROWTH(2)","-","RGMII, SGMII, XAUI","32","4","-","-","-","-","10-YEARS APPLICATION LIFE","-","2","SATA 2.0","-","-","-","-","-"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T2080","T2080NSE8TTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T2080&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t2080-t2081-eight-virtual-core-communications-processors:T2080?&fpsp=1&tab=Documentation_Tab#T2080NSE8TTB","QorIQ, 64b Power Arch, 8x 1.8GHz threads, 1.87GT/s DDR3/3L, 4x10GE, crypto enabled, 0-105C, Rev 1.1","-","1000 @ CNY915.05 each","8","e6500","1800","0 to 105","2000","512","-","-","4x Gen 2.0/3.0","2 x USB 2.0 w Phy","DDR3, DDR3L, SDRAM","-","-","-","2","FCPBGA 896","896","-","PRODUCT RAPID GROWTH(2)","-","RGMII, SGMII, XAUI","32","4","-","-","-","-","10-YEARS APPLICATION LIFE","-","2","SATA 2.0","-","-","-","-","-"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T2080","T2080NSN8MQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T2080&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t2080-t2081-eight-virtual-core-communications-processors:T2080?&fpsp=1&tab=Documentation_Tab#T2080NSN8MQB","QorIQ, 64b Power Arch, 8x 1.2GHz threads, 1.6GT/s DDR3/3L, 4x10GE, crypto disabled, 0-105C, Rev 1.1","-","1000 @ CNY594.01 each","8","e6500","1200","0 to 105","2000","512","-","-","4x Gen 2.0/3.0","2 x USB 2.0 w Phy","DDR3, DDR3L, SDRAM","-","-","-","2","FCPBGA 896","896","-","PRODUCT RAPID GROWTH(2)","-","RGMII, SGMII, XAUI","32","4","-","-","-","-","10-YEARS APPLICATION LIFE","-","2","SATA 2.0","-","-","-","-","-"
"FSL","Power Architecture 处理器---基于Power Architecture技术的QorIQ处理器","T2080","T2080NSN8PTB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=T2080&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/power-architecture-processors/qoriq-power-architecture-processors/qoriq-t-series-t2080-t2081-eight-virtual-core-communications-processors:T2080?&fpsp=1&tab=Documentation_Tab#T2080NSN8PTB","QorIQ, 64b Power Arch, 8x 1.5GHz threads, 1.87GT/s DDR3/3L, 4x10GE, crypto disabled, 0-105C, Rev 1.1","-","1000 @ CNY682.78 each","8","e6500","1533","0 to 105","2000","512","-","-","4x Gen 2.0/3.0","2 x USB 2.0 w Phy","DDR3, DDR3L, SDRAM","-","-","-","2","FCPBGA 896","896","-","PRODUCT RAPID GROWTH(2)","-","RGMII, SGMII, XAUI","32","4","-","-","-","-","10-YEARS APPLICATION LIFE","-","2","SATA 2.0","-","-","-","-","-"
