"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","预算报价（不含税）(CNY)","加速度 (g) ","加速度传感器输出","感应轴","灵敏度 (Typ) (mV/g) ","灵敏度 - 数字 (Typ) (Cnts/g) ","衰减频率 (Typ) (Hz) ","加速度特性","工作环境温度 (Min-Max) (°C) ","供电电压 (Min-Max) (V) ","分辨率 (Spec) (bit) ","SafeAssure 功能安全","零G输出 (Typ) (V) ","供电电压 (Typ) (V) ","PLC代码","封装类型和焊端数","Pin count","PLC描述","无铅","启动响应时间 (Typ) (ms) ","认证级别","RoHS","接口供电电压 (Min-Max) (V) ","接口供电电压 (Typ) (V) ","编程电压 (Typ) (V) ","灵敏度 - 数字 (Typ) (LSB/g) ","睡眠模式响应时间 (Typ) (ms) ","替代部件"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6901KQR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6901KQR2","Digital Low g Accelerometer, 5V, XY, 5g, QFN 16, Reel","-","-","1000 @ CNY29.76 each","5","SPI","XY","-","4.9","400","Self Test","-40 to 125","4.75 to 5.25","-","Quality Managed","2.5","5","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","10","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","0.84","-"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6910KQ","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6910KQ","Digital Low g Accelerometer, QFN 16, Rail","-","-","-","-","-","-","-","-","-","-","-","-","-","Quality Managed","-","-","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-"
"FSL","传感器---加速度传感器","MMA69xxKQ","MMA6910KQR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA69xxKQ&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/2-axis-accelerometers/spi-3.5g-or-5.0g-xy-axis-low-g-digital-inertial-sensor:MMA69xxKQ?&fpsp=1&tab=Documentation_Tab#MMA6910KQR2","Digital Low g Accelerometer, QFN 16, Reel","-","-","-","-","-","-","-","-","-","-","-","-","-","Quality Managed","-","-","3","QFN 16","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","-","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6851BKW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6851BKW","10 bits SPI Accelerometer, 3.3/5V, X, 25g, QFN 16, Rail","-","-","1000 @ CNY19.01 each","25","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","1","QFN-EP 16","16","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6851BKWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6851BKWR2","10 bits SPI Accelerometer, 3.3/5V, X, 25g, QFN 16, Reel","-","-","1000 @ CNY19.01 each","25","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","1","QFN-EP 16","16","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6853BKW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6853BKW","10 bits SPI Accelerometer, 3.3/5V, X, 50g, QFN 16, Rail","-","-","1000 @ CNY19.01 each","50","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6853BKWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6853BKWR2","10 bits SPI Accelerometer, 3.3/5V, X, 50g, QFN 16, Reel","-","-","1000 @ CNY19.01 each","50","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6855BKW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6855BKW","10 bits SPI Accelerometer, 3.3/5V, X, 120g, QFN 16, Rail","-","-","1000 @ CNY19.01 each","120","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","1","QFN-EP 16","16","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA685x","MMA6855BKWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA685x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/spi-20g-120g-medium-g-inertial-sensor:MMA685x?&fpsp=1&tab=Documentation_Tab#MMA6855BKWR2","10 bits SPI Accelerometer, 3.3/5V, X, 120g, QFN 16, Reel","-","-","1000 @ CNY19.01 each","120","SPI","X","-","-","400","Self Test","-40 to 105","3.15 to 5.25","10","-","0","3.3, 5","1","QFN-EP 16","16","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","-","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5206KW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5206KW","PSI5 Accelerometer, 12V, X, 60g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","60","PSI5","X","-","0.1","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5206KWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5206KWR2","PSI5 Accelerometer, 12V, X, 60g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","60","PSI5","X","-","0.1","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5212AKW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5212AKW","PSI5 Accelerometer, 12V, X, 120g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","120","PSI5","X","-","0.2","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5212AKWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5212AKWR2","PSI5 Accelerometer, 12V, X, 120g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","120","PSI5","X","-","0.2","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5212KW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5212KW","PSI5 Accelerometer, 12V, X, 120g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","120","PSI5","X","-","0.2","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5212KWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5212KWR2","PSI5 Accelerometer, 12V, X, 120g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","120","PSI5","X","-","0.2","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224AKW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224AKW","PSI5 Accelerometer, 12V, X, 240g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224AKWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224AKWR2","PSI5 Accelerometer, 12V, X, 240g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224KW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224KW","PSI5 Accelerometer, 12V, X, 240g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224KWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224KWR2","PSI5 Accelerometer, 12V, X, 240g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224LW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224LW","PSI5 Accelerometer, QFN 16, Rail","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","-","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5224LWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5224LWR2","PSI5 Accelerometer, QFN 16, Reel","-","-","1000 @ CNY20.67 each","240","PSI5","X","-","0.5","400","Self Test","-40 to 125","4.2 to 17","-","-","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5248KW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5248KW","PSI5 Accelerometer, 12V, X, 480g, QFN 16, Rail","-","-","1000 @ CNY20.67 each","480","PSI5","X","-","1","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5248KWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5248KWR2","PSI5 Accelerometer, 12V, X, 480g, QFN 16, Reel","-","-","1000 @ CNY20.67 each","480","PSI5","X","-","1","400","Self Test","-40 to 125","4.2 to 17","-","Quality Managed","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
"FSL","传感器---加速度传感器","MMA52xx","MMA5248LW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MMA52xx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/sensors/accelerometers/1-axis-accelerometers/psi5-60g-to-480g-x-axis-medium-or-high-g-digital-inertial-sensor:MMA52xx?&fpsp=1&tab=Documentation_Tab#MMA5248LW","PSI5 Accelerometer, QFN 16, Rail","-","-","1000 @ CNY20.67 each","480","PSI5","X","-","1","400","Self Test","-40 to 125","4.2 to 17","-","-","0","12","4","QFN-EP 16","16","PRODUCT MATURITY/SATURATION(4)","-","5","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-","14","-","10","-"
