"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","UART","I2C","SPI","ADC (bit)","GPIOs","ADC (ch)","Junction Temperature (Max) (&#186;C)","SCI","内部RAM (KB) ","PLC代码","预算报价（不含税）(CNY)","Pin count","PLC描述","其他特性","外部中断","定时器特性","定时器","Debug &amp; Trace","I/O 工作电压 (Max) (V) ","内核：性能(MIPS)","ADC","待机功能","CAN","总线频率 (Max) (MHz) ","工作环境温度 (Min-Max) (°C) ","无铅","供电电压 (Min-Max) (V) ","认证级别","RoHS","DAC (ch)","DAC (bit)","定时器类型","Ethernet Type","以太网","外部总线接口","视频/显示功能","USB","USB features","DMA通道总数","I2S","支持外部存储器","缓存 (KB) ","QSPI","片选","CAN Type","PWM (ch)","支持外部存储","LCD分辨率","内核：工作电压 (Spec) (V) "
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54450VM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54450VM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","240","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY55.57 each","256","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","STOP, WAIT, DOZE","-","120","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54451CVM180","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54451CVM180","MCF5445x 32-bit MPU, ColdFire V4 core, 180MHz, MAPBGA 256","-","MAPBGA 256","180","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY62.63 each","256","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","WAIT, STOP, DOZE","-","90","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54451VM240","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54451VM240","MCF5445x 32-bit MPU, ColdFire V4 core, 240MHz, MAPBGA 256","-","MAPBGA 256","240","-","-","3","1","1","-","93","-","-","-","32","4","10000 @ CNY62.63 each","256","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","370","-","WAIT, STOP, DOZE","-","120","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","1","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54452CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54452CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","200","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY69.56 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","100","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54452VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54452VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","266","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY69.56 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","133","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54453CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54453CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","200","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY76.56 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","100","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54453VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54453VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","266","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY76.56 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","133","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54454CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54454CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","200","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY90.55 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","100","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54454VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54454VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","266","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY90.55 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","133","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54455CVR200","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54455CVR200","MCF5445x 32-bit MPU, ColdFire V4 core, 200MHz, PBGA 360","-","TEPBGA 360","200","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY97.54 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","100","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5445X","MCF54455VR266","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5445X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v4-mpu/32-bit-microprocessor-with-usb-on-the-go-ethernet-pci-ddr2-ddr-controller-and-encryption:MCF5445X?&fpsp=1&tab=Documentation_Tab#MCF54455VR266","MCF5445x 32-bit MPU, ColdFire V4 core, 266MHz, PBGA 360","-","TEPBGA 360","266","-","-","3","1","1","-","132","-","-","-","32","4","10000 @ CNY97.54 each","360","PRODUCT MATURITY/SATURATION(4)","PLL, Random Number Generator, ATA Controller, Memory Management Unit (MMU)","4","Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 32 bit","JTAG","3.3","410","-","WAIT, STOP, DOZE","-","133","0 to 70","-","-","10-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","MAC (FEC) 10/100 Ethernet","2","PCI, Flexbus","-","1","USB 2.0, USB OTG","16","1","DDR","32","-","9","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF530X","MCF5307CAI66B","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF530X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v3-mpu/integrated-coldfire-v3-microprocessor:MCF530X?&fpsp=1&tab=Documentation_Tab#MCF5307CAI66B","MCF530X 32-bit MPU, ColdFire V3 core, 66MHz, QFP 208","-","QFP 208","66","-","-","2","1","-","-","16","-","-","-","4","4","10000 @ CNY88.38 each","208","PRODUCT MATURITY/SATURATION(4)","PLL","4","Output Compare, Input Capture","2-ch. 16 bit","JTAG","3.3","55","-","-","-","-","-40 to 85","-","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-","-","4","-","SDRAM","16","-","8","-","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF525X","MCF5251VM140","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF525X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/integrated-coldfire-v2-microprocessor:MCF525X?&fpsp=1&tab=Documentation_Tab#MCF5251VM140","ColdFire 32-bit MPU, ColdFire core, 140MHz, MAPBGA 225","-","MAPBGA 225","140","-","-","3","2","-","-","-","-","-","-","128","4","1000 @ CNY57.74 each","225","PRODUCT MATURITY/SATURATION(4)","PLL","7","-","-","JTAG","3.6","125","-","-","2","-","-20 to 70","-","-","5-YEARS APPLICATION LIFE","-","-","-","Real Time Clock","-","-","DSI","-","1","USB 2.0, USB OTG","4","1","SDRAM","8","2","3","FlexCAN, CAN 2.0 B","-","-","-","-"
"FSL","其他处理器---32位MCU/MPU","MCF5227X","MCF52274CLU120","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MCF5227X&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/32-bit-mcu-and-mcp/coldfire-plus-coldfire-mcus-mpus/coldfire-mpus/v2-mpu/v2-microprocessor-with-touchscreen-lcd-controller-and-usb:MCF5227X?&fpsp=1&tab=Documentation_Tab#MCF52274CLU120","MCF5227X 32-bit MPU, ColdFire V2 core, 120MHz, QFP 176","-","LQFP 176","120","-","-","3","1","1","12","47","8","-","-","128","4","10000 @ CNY44.45 each","176","PRODUCT MATURITY/SATURATION(4)","TouchScreen, PLL","3","Watchdog, Reference Compare, Input Capture","1-ch. 16 bit, 1-ch. 8 bit","JTAG","-","114","8-ch. 12-bit","DOZE, WAIT, STOP","1","60","-40 to 85","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","Periodic Interrupt Timer","-","-","-","LCD Controller","1","USB 2.0, USB OTG","16","1","SDRAM, SDR, DDR2","8","-","9","-","-","-","-","-"
