"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","预算报价（不含税）(CNY)","内核：类型","内核：内核数量 (Spec)","工作频率 (Max) (MHz) ","L2缓存 (Max) (KB) ","L3缓存 (Max) (KB) ","Data Path","PCIe","USB features","支持外部存储器","CAN","工作环境温度 (Min-Max) (°C) ","封装类型和焊端数","加速度传感器数量","PLC代码","Pin count","PLC描述","I2C","缓存 (KB) ","其他特性","外部总线接口","SPI","协处理器类型","Ethernet Type","无铅","认证级别","RoHS","DUART","视频/显示功能","Typical Power"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021ASE7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021ASE7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, 0 to 105C, Rev2.0","-","1000 @ CNY127.11 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","SEC 5.4","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021ASE7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021ASE7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, 0 to 105C, Rev2.0","-","1000 @ CNY132.83 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","SEC 5.4","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021ASN7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021ASN7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, 0 to 105C, Rev2.0","-","1000 @ CNY123.29 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021ASN7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021ASN7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, 0 to 105C, Rev2.0","-","1000 @ CNY128.89 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021AXE7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021AXE7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, -40 to105C, Rev2.0","-","1000 @ CNY138.93 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021AXE7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021AXE7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, -40 to 105C, Rev2.0","-","1000 @ CNY146.05 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021AXN7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021AXN7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN,-40 to 105C, Rev2.0","-","1000 @ CNY135.63 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","LS1021AXN7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#LS1021AXN7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, -40 to 105C, Rev2.0","-","1000 @ CNY141.73 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","10-YEARS APPLICATION LIFE","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021ASE7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021ASE7HNB","LS1 32Bit ARM SoC, 800MHz, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, 0 to 105C, Rev2.0 Proto","-","1000 @ CNY127.11 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","SEC 5.4","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021ASE7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021ASE7KQB","LS1 32Bit ARM SoC, 1GHz, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, 0 to 105C, Rev2.0 Proto","-","1000 @ CNY132.83 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","SEC 5.4","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021ASN7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021ASN7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, 0 to 105C, Rev2.0 Proto","-","1000 @ CNY123.29 each","ARM Cortex-A7","2","800","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","-","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021ASN7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021ASN7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, 0 to 105C, Rev2.0 Proto","-","1000 @ CNY128.89 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","0 to 105","FCPBGA 525","-","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","PCI-Express, IFC","2","uQE","1GBaseT, SGMII, VeTSEC, RGMII","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021AXE7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021AXE7KQB","LS1 32Bit ARM SoC, 1GHz, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, SEC, -40 to 105C, Rev2.0 Proto","-","1000 @ CNY146.05 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1021A","PS1021AXN7KQB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1021A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1021a-dual-core-processor-with-lcd-controller:LS1021A?&fpsp=1&tab=Documentation_Tab#PS1021AXN7KQB","LS1 32Bit ARM SoC, 1GHz, DDR3/4, LCDC, vTSEC, PCIe, USB3, SATA3, uQE, CAN, -40 to 105C, Rev2.0 Proto","-","1000 @ CNY141.79 each","ARM Cortex-A7","2","1000","512","-","-","-","-","DDR3, DDR4","4","-40 to 105","FCPBGA 525","-","1","525","PRODUCT NEWLY INTRO D/RAMP-UP(1)","3","32","ASRC, RS485, SPDIF Transmitter","IFC, PCI-Express","2","uQE","VeTSEC, SGMII, RGMII, 1GBaseT","-","-","-","2","2D-ACE","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS2080A","PLS2080ASE7QQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS2080A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls2080a-40a-multicore-communications-processors:LS2080A?&fpsp=1&tab=Documentation_Tab#PLS2080ASE7QQA","LS2080A - Std Temp, w/Encrypt, 1600/1600, with Accelerated Packet Processing and L2 Switch","-","1000 @ CNY1,337.45 each","ARM Cortex-A57","8","1600","1000","1000","-","-","1 x USB 2.0, 1 x USB 3.0","DDR4","-","0 to 105","FCPBGA 1292","SEC 5.4","1","1292","PRODUCT NEWLY INTRO D/RAMP-UP(1)","4","32","-","IFC, PCI-Express","1","-","10GBaseT, 1GBaseT, QSGMII","-","-","-","2","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS2080A","PLS2080ASE7TTA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS2080A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls2080a-40a-multicore-communications-processors:LS2080A?&fpsp=1&tab=Documentation_Tab#PLS2080ASE7TTA","LS2080A - Std Temp, w/Encrypt, 1800/1800, with Accelerated Packet Processing and L2 Switch","-","1000 @ CNY1,407.84 each","ARM Cortex-A57","8","1600","1000","1000","-","-","1 x USB 2.0, 1 x USB 3.0","DDR4","-","0 to 105","FCPBGA 1292","SEC 5.4","1","1292","PRODUCT NEWLY INTRO D/RAMP-UP(1)","4","32","-","IFC, PCI-Express","1","-","10GBaseT, 1GBaseT, QSGMII","-","-","-","2","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS2080A","PLS2080ASN7QQA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS2080A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls2080a-40a-multicore-communications-processors:LS2080A?&fpsp=1&tab=Documentation_Tab#PLS2080ASN7QQA","LS2080A - Std Temp, w/o Encrypt, 1600/1600, with Accelerated Packet Processing and L2 Switch","-","1000 @ CNY1,273.73 each","ARM Cortex-A57","8","1600","1000","1000","-","-","1 x USB 2.0, 1 x USB 3.0","DDR4","-","0 to 105","FCPBGA 1292","-","1","1292","PRODUCT NEWLY INTRO D/RAMP-UP(1)","4","32","-","IFC, PCI-Express","1","-","10GBaseT, 1GBaseT, QSGMII","-","-","-","2","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS2080A","PLS2080ASN7TTA","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS2080A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls2080a-40a-multicore-communications-processors:LS2080A?&fpsp=1&tab=Documentation_Tab#PLS2080ASN7TTA","LS2080A - Std Temp, w/o Encrypt, 1800/1800, with Accelerated Packet Processing and L2 Switch","-","1000 @ CNY1,340.82 each","ARM Cortex-A57","8","1600","1000","1000","-","-","1 x USB 2.0, 1 x USB 3.0","DDR4","-","0 to 105","FCPBGA 1292","-","1","1292","PRODUCT NEWLY INTRO D/RAMP-UP(1)","4","32","-","IFC, PCI-Express","1","-","10GBaseT, 1GBaseT, QSGMII","-","-","-","2","-","-"
"FSL","ARM 处理器---基于ARM技术的QorIQ处理器","LS1020A","LS1020ASE7HNB","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=LS1020A&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/arm-processors/qoriq-arm-processors/qoriq-ls1020a-and-ls1022a-dual-core-processors:LS1020A?&fpsp=1&tab=Documentation_Tab#LS1020ASE7HNB","LS1 32Bit ARM SoC, 800MHz, DDR3/4, vTSEC, PCIe, USB3, SATA3, uQE, SEC, 0 to 105C, Rev2.0","-","1000 @ CNY120.18 each","ARM Cortex-A7","2","800","512","-","-","-","1 x USB 3.0, 1 x USB 2.0","DDR3L, DDR4","-","0 to 105","FCPBGA 525","SEC 5.4","2","525","PRODUCT RAPID GROWTH(2)","3","32","ASRC, SPDIF Transmitter","IFC, PCI-Express","1","uQE","1GBaseT, RGMII, SGMII, VeTSEC","-","10-YEARS APPLICATION LIFE","-","2","-","-"
