"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","状态","替代部件","器件功能","预算报价（不含税）(CNY)","封装类型和焊端数","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","接口和输入控制","开关监控电压 (Min-Max) (V) (VSENSE)","工作环境温度 (Min-Max) (°C) ","保护","诊断","其他特性-模拟","ADC动态范围 (dB) ","ADC SNR (dB) ","DAC动态范围 (dB) ","DAC SNR (dB) ","频率 (Min-Max) (MHz) ","RoHS","PLC代码","Pin count","PLC描述","无铅","认证级别","供电电压 (Typ) (V) ","模拟电源电压 (Min) (V) ","模拟电源电压 (Max) (V) "
"FSL","模拟与电源管理---接口","MC34827","MC34827A1EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34827&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/mini-or-micro-usb-interface-ic:MC34827?&fpsp=1&tab=Documentation_Tab#MC34827A1EPR2","Micro/Mini USB Interface IC, 28V over-voltage protection, QFN 20, Reel","-","-","-","Signal Conditioning","1000 @ CNY4.32 each","QFN-EP 20","2.8","28","2.7 to 5.5","I2C","-","-40 to 85","Overvoltage Protect, Overcurrent, Overtemperature","Parallel","A/D Converter and Digital I/O","-","-","-","-","-","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34827","MC34827A2EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34827&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/mini-or-micro-usb-interface-ic:MC34827?&fpsp=1&tab=Documentation_Tab#MC34827A2EPR2","Micro/Mini USB Interface IC, 28V over-voltage protection, QFN 20, Reel","-","-","-","Signal Conditioning","1000 @ CNY4.32 each","QFN-EP 20","2.8","28","2.7 to 5.5","I2C","-","-40 to 85","Overvoltage Protect, Overcurrent, Overtemperature","Parallel","A/D Converter and Digital I/O","-","-","-","-","-","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34825","MC34825EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34825&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/microusb-interface-ic:MC34825?&fpsp=1&tab=Documentation_Tab#MC34825EPR2","Micro USB Interface IC, 28V over-voltage protection, QFN 20, Reel","-","-","-","Signal Conditioning","1000 @ CNY5.79 each","QFN-EP 20","2.8","28","2.7 to 5.5","I2C","-","-40 to 85","Overcurrent, Overvoltage Protect","Parallel","A/D Converter and Digital I/O","-","-","-","-","-","-","4","20","PRODUCT MATURITY/SATURATION(4)","-","5-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33975","MC33975ATEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-32-ma-suppressed-wakeup:MC33975?&fpsp=1&tab=Documentation_Tab#MC33975ATEK","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY10.87 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33975","MC33975ATEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-32-ma-suppressed-wakeup:MC33975?&fpsp=1&tab=Documentation_Tab#MC33975ATEKR2","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY10.87 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33975","MC33975TEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-32-ma-suppressed-wakeup:MC33975?&fpsp=1&tab=Documentation_Tab#MC33975TEK","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY10.87 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 38","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33975","MC33975TEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33975&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-32-ma-suppressed-wakeup:MC33975?&fpsp=1&tab=Documentation_Tab#MC33975TEKR2","Switch Detection Interface, 22-switches, 32mA Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY10.87 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 38","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33811","MCZ33811EG","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33811&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/solenoid-monitor-integrated-circuit:MC33811?&fpsp=1&tab=Documentation_Tab#MCZ33811EG","Solenoid Current Monitor IC, 5 Channel, SPI,  SOIC 16, Rail","-","-","-","Powertrain Control, Signal Conditioning","1000 @ CNY7.76 each","SOIC 16","7","17","3 to 5.5","SPI","0 to 64","-40 to 125","-","SPI","-","-","-","-","-","-","-","3","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33811","MCZ33811EGR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33811&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/solenoid-monitor-integrated-circuit:MC33811?&fpsp=1&tab=Documentation_Tab#MCZ33811EGR2","Solenoid Current Monitor IC, 5 Channel, SPI,  SOIC 16, Reel","-","-","-","Powertrain Control, Signal Conditioning","1000 @ CNY7.76 each","SOIC 16","7","17","3 to 5.5","SPI","0 to 64","-40 to 125","-","SPI","-","-","-","-","-","-","-","3","16","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972ATEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972ATEK","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY9.79 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972ATEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972ATEKR2","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Powertrain Control, Signal Conditioning, Switch Monitoring","1000 @ CNY9.79 each","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972ATEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972ATEW","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Signal Conditioning, Switch Monitoring","1000 @ CNY9.79 each","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972ATEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972ATEWR2","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Signal Conditioning, Switch Monitoring","1000 @ CNY9.79 each","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972TEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972TEW","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI, SOIC 32, Tray","-","-","-","Signal Conditioning, Switch Monitoring","1000 @ CNY9.16 each","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 38","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33972","MC33972TEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/powertrain-engine-control/msdi-with-suppressed-wakeup:MC33972?&fpsp=1&tab=Documentation_Tab#MC33972TEWR2","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Signal Conditioning, Switch Monitoring","1000 @ CNY9.16 each","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 38","-40 to 125","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","AUTO; >=10 YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34972","MC34972ATEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up:MC34972?&fpsp=1&tab=Documentation_Tab#MC34972ATEK","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Tray","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34972","MC34972ATEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up:MC34972?&fpsp=1&tab=Documentation_Tab#MC34972ATEKR2","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI , SOIC 32, Reel","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC-EP 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34972","MC34972ATEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up:MC34972?&fpsp=1&tab=Documentation_Tab#MC34972ATEW","Switch Detection Interface, 22-switches with Suppressed Wakeup, 3.3 V / 5.0 V SPI, SOIC 32, Tray","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC34972","MC34972ATEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34972&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/msdi-with-suppressed-wake-up:MC34972?&fpsp=1&tab=Documentation_Tab#MC34972ATEWR2","MULT SW DET SUP-WKUP","-","-","-","Signal Conditioning, Switch Monitoring","-","SOIC 32","5.5","26","3.1 to 5.25","SPI","-14 to 40","-40 to 85","N/A","SPI","Pulse wetting current","-","-","-","-","-","-","3","32","PRODUCT STABLE GROWTH/MATURITY(3)","-","10-YEARS APPLICATION LIFE","-","-","-"
"FSL","模拟与电源管理---接口","MC33978","MC33978AEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/22-i-o-msdi-programmable-current-analog-mux:MC33978?&fpsp=1&tab=Documentation_Tab#MC33978AEK","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , SOICW-EP 32, Rail","-","-","-","Switch Monitoring","1000 @ CNY13.67 each","SOIC-EP 32","4.5","36","-","SPI","-","-40 to 125","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","3.3, 5","-","-"
"FSL","模拟与电源管理---接口","MC33978","MC33978AEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/22-i-o-msdi-programmable-current-analog-mux:MC33978?&fpsp=1&tab=Documentation_Tab#MC33978AEKR2","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , SOICW-EP 32, Reel","-","-","-","Switch Monitoring","1000 @ CNY13.67 each","SOIC-EP 32","4.5","36","-","SPI","-","-40 to 125","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","3.3, 5","-","-"
"FSL","模拟与电源管理---接口","MC33978","MC33978AES","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/22-i-o-msdi-programmable-current-analog-mux:MC33978?&fpsp=1&tab=Documentation_Tab#MC33978AES","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , QFN32, Tray","-","-","-","Switch Monitoring","1000 @ CNY14.56 each","QFN-EP 32","4.5","36","-","SPI","-","-40 to 125","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","3.3, 5","-","-"
"FSL","模拟与电源管理---接口","MC33978","MC33978AESR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC33978&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/interface/22-i-o-msdi-programmable-current-analog-mux:MC33978?&fpsp=1&tab=Documentation_Tab#MC33978AESR2","Switch Detection Interface, 22-switches, 3.3 V / 5.0 V SPI , QFN32, Reel","-","-","-","Switch Monitoring","1000 @ CNY14.56 each","QFN-EP 32","4.5","36","-","SPI","-","-40 to 125","Overtemperature, Overvoltage, Undervoltage Detection","-","Pulse wetting current, Wake","-","-","-","-","-","-","2","32","PRODUCT RAPID GROWTH(2)","-","AUTO; >=10 YEARS APPLICATION LIFE","3.3, 5","-","-"
