"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","Input / Output Ratio","Input Level","Output Level","VCC Typ (V)","tJitterRMS Typ (ps)","tskew(o-o) Max (ps)","tpd Typ (ns)","tR & tF Max (ps)","fmaxClock Typ (MHz)","fmaxData Typ (Mbps)","Package Type"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL13","MC100EL13DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL13DWG","http://www.onsemi.com/pub/Collateral/MC100EL13-D.PDF","Clock / Data Fanout Buffer, 1:3 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:3 Differential, ECL, 5.0 V","Buffer","2","1:3","ECL","ECL","5","0.2","50","0.525","500","1000",,"SOIC-20W"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL13","MC100EL13DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL13DWR2G","http://www.onsemi.com/pub/Collateral/MC100EL13-D.PDF","Clock / Data Fanout Buffer, 1:3 Differential, ECL, 5.0 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:3 Differential, ECL, 5.0 V","Buffer","2","1:3","ECL","ECL","5","0.2","50","0.525","500","1000",,"SOIC-20W"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL15","MC100EL15DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL15DG","http://www.onsemi.com/pub/Collateral/MC10EL15-D.PDF","Clock Fanout Buffer, 1:4 ECL, 5.0 V","Pb-free
Halide free","Active","Clock Fanout Buffer, 1:4 ECL, 5.0 V","Buffer","1","2:1:4","ECL","ECL","5","2.6","50","0.57","575","1250",,"SOIC-16"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL15","MC100EL15DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL15DR2G","http://www.onsemi.com/pub/Collateral/MC10EL15-D.PDF","Clock Fanout Buffer, 1:4 ECL, 5.0 V","Pb-free
Halide free","Active","Clock Fanout Buffer, 1:4 ECL, 5.0 V","Buffer","1","2:1:4","ECL","ECL","5","2.6","50","0.57","575","1250",,"SOIC-16"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL17","MC100EL17DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL17DWG","http://www.onsemi.com/pub/Collateral/MC100EL17-D.PDF","ECL Quad Differential Receiver","Pb-free
Halide free","Active","ECL Quad Differential Receiver","Signal Driver","4","1:1","ECL
LVDS","ECL","5","0.7","75","0.45","550","1000",,"SOIC-20W"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EL17","MC100EL17DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EL17DWR2G","http://www.onsemi.com/pub/Collateral/MC100EL17-D.PDF","ECL Quad Differential Receiver","Pb-free
Halide free","Active","ECL Quad Differential Receiver","Signal Driver","4","1:1","ECL
LVDS","ECL","5","0.7","75","0.45","550","1000",,"SOIC-20W"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP116","MC100EP116FAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP116FAG","http://www.onsemi.com/pub/Collateral/MC10EP116-D.PDF","Differential Line Receiver / Driver","Pb-free
Halide free","Active","Differential Line Receiver / Driver","Signal Driver","6","1:1","ECL","ECL","3.3
5","0.2","20","0.26","220","3000",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP116","MC100EP116FAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP116FAR2G","http://www.onsemi.com/pub/Collateral/MC10EP116-D.PDF","Differential Line Receiver / Driver","Pb-free
Halide free","Active","Differential Line Receiver / Driver","Signal Driver","6","1:1","ECL","ECL","3.3
5","0.2","20","0.26","220","3000",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP116","MC100EP116MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP116MNG","http://www.onsemi.com/pub/Collateral/MC10EP116-D.PDF","Differential Line Receiver / Driver","Pb-free
Halide free","Active","Differential Line Receiver / Driver","Signal Driver","6","1:1","ECL","ECL","3.3
5","0.2","20","0.26","220","3000",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP116","MC100EP116MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP116MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP116-D.PDF","Differential Line Receiver / Driver","Pb-free
Halide free","Active","Differential Line Receiver / Driver","Signal Driver","6","1:1","ECL","ECL","3.3
5","0.2","20","0.26","220","3000",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16","MC100EP16DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16DG","http://www.onsemi.com/pub/Collateral/MC10EP16-D.PDF","Differential  Driver / Receiver","Pb-free
Halide free","Active","Differential  Driver / Receiver","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16","MC100EP16DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16DR2G","http://www.onsemi.com/pub/Collateral/MC10EP16-D.PDF","Differential  Driver / Receiver","Pb-free
Halide free","Active","Differential  Driver / Receiver","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16","MC100EP16DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16DTG","http://www.onsemi.com/pub/Collateral/MC10EP16-D.PDF","Differential  Driver / Receiver","Pb-free
Halide free","Active","Differential  Driver / Receiver","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16","MC100EP16DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP16-D.PDF","Differential  Driver / Receiver","Pb-free
Halide free","Active","Differential  Driver / Receiver","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16","MC100EP16MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP16-D.PDF","Differential  Driver / Receiver","Pb-free
Halide free","Active","Differential  Driver / Receiver","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16T","MC100EP16TDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16TDG","http://www.onsemi.com/pub/Collateral/MC10EP16T-D.PDF","Differential Driver / Receiver with Internal Termination","Pb-free
Halide free","Active","Differential Driver / Receiver with Internal Termination","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.24","170","3000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16T","MC100EP16TDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16TDR2G","http://www.onsemi.com/pub/Collateral/MC10EP16T-D.PDF","Differential Driver / Receiver with Internal Termination","Pb-free
Halide free","Active","Differential Driver / Receiver with Internal Termination","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.24","170","3000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16T","MC100EP16TDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16TDTG","http://www.onsemi.com/pub/Collateral/MC10EP16T-D.PDF","Differential Driver / Receiver with Internal Termination","Pb-free
Halide free","Active","Differential Driver / Receiver with Internal Termination","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.24","170","3000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16T","MC100EP16TDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16TDTR2G","http://www.onsemi.com/pub/Collateral/MC10EP16T-D.PDF","Differential Driver / Receiver with Internal Termination","Pb-free
Halide free","Active","Differential Driver / Receiver with Internal Termination","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.24","170","3000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16T","MC100EP16TMNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16TMNR4G","http://www.onsemi.com/pub/Collateral/MC10EP16T-D.PDF","Differential Driver / Receiver with Internal Termination","Pb-free
Halide free","Active","Differential Driver / Receiver with Internal Termination","Signal Driver","1","1:1","CML
ECL","ECL","3.3
5","0.2","20","0.24","170","3000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VB","MC100EP16VBDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VBDG","http://www.onsemi.com/pub/Collateral/MC100EP16VB-D.PDF","Differential Driver / Receiver with High and Low Gain","Pb-free
Halide free","Active","Differential Driver / Receiver with High and Low Gain","Signal Driver","1","1:2","CML
ECL","ECL","3.3
5","0.2","20","0.3","400","3000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VB","MC100EP16VBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VBDR2G","http://www.onsemi.com/pub/Collateral/MC100EP16VB-D.PDF","Differential Driver / Receiver with High and Low Gain","Pb-free
Halide free","Active","Differential Driver / Receiver with High and Low Gain","Signal Driver","1","1:2","CML
ECL","ECL","3.3
5","0.2","20","0.3","400","3000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VB","MC100EP16VBDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VBDTG","http://www.onsemi.com/pub/Collateral/MC100EP16VB-D.PDF","Differential Driver / Receiver with High and Low Gain","Pb-free
Halide free","Active","Differential Driver / Receiver with High and Low Gain","Signal Driver","1","1:2","CML
ECL","ECL","3.3
5","0.2","20","0.3","400","3000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VB","MC100EP16VBDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VBDTR2G","http://www.onsemi.com/pub/Collateral/MC100EP16VB-D.PDF","Differential Driver / Receiver with High and Low Gain","Pb-free
Halide free","Active","Differential Driver / Receiver with High and Low Gain","Signal Driver","1","1:2","CML
ECL","ECL","3.3
5","0.2","20","0.3","400","3000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VS","MC100EP16VSDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VSDG","http://www.onsemi.com/pub/Collateral/MC100EP16VS-D.PDF","Differential Driver / Receiver with Variable Output Swing","Pb-free
Halide free","Active","Differential Driver / Receiver with Variable Output Swing","Signal Driver","1","1:1","ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VS","MC100EP16VSDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VSDR2G","http://www.onsemi.com/pub/Collateral/MC100EP16VS-D.PDF","Differential Driver / Receiver with Variable Output Swing","Pb-free
Halide free","Active","Differential Driver / Receiver with Variable Output Swing","Signal Driver","1","1:1","ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VS","MC100EP16VSDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VSDTG","http://www.onsemi.com/pub/Collateral/MC100EP16VS-D.PDF","Differential Driver / Receiver with Variable Output Swing","Pb-free
Halide free","Active","Differential Driver / Receiver with Variable Output Swing","Signal Driver","1","1:1","ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP16VS","MC100EP16VSDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP16VSDTR2G","http://www.onsemi.com/pub/Collateral/MC100EP16VS-D.PDF","Differential Driver / Receiver with Variable Output Swing","Pb-free
Halide free","Active","Differential Driver / Receiver with Variable Output Swing","Signal Driver","1","1:1","ECL","ECL","3.3
5","0.2","20","0.22","170","4000",,"SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17DTG","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17DWG","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17DWR2G","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17MNG","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP17","MC100EP17MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP17MNTXG","http://www.onsemi.com/pub/Collateral/MC10EP17-D.PDF","Quad Differential Driver / Receiver","Pb-free
Halide free","Active","Quad Differential Driver / Receiver","Signal Driver","4","1:1","CML
ECL","ECL","3.3
5","0.147",,"0.22","220","3000",,"QFN-20
SOIC-20W
TSSOP-20"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP809","MC100EP809FAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP809FAG","http://www.onsemi.com/pub/Collateral/MC100EP809-D.PDF","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Pb-free
Halide free","Active","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Buffer","1","2:1:9","CML
ECL
HSTL
LVDS","HSTL","3.3","1.4","50","0.82
0.85","600","750",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP809","MC100EP809FAR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP809FAR2G","http://www.onsemi.com/pub/Collateral/MC100EP809-D.PDF","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Pb-free
Halide free","Active","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Buffer","1","2:1:9","CML
ECL
HSTL
LVDS","HSTL","3.3","1.4","50","0.82
0.85","600","750",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP809","MC100EP809MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP809MNG","http://www.onsemi.com/pub/Collateral/MC100EP809-D.PDF","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Pb-free
Halide free","Active","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Buffer","1","2:1:9","CML
ECL
HSTL
LVDS","HSTL","3.3","1.4","50","0.82
0.85","600","750",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100EP809","MC100EP809MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP809MNR4G","http://www.onsemi.com/pub/Collateral/MC100EP809-D.PDF","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Pb-free
Halide free","Active","Clock Driver, 2:1:9 Differential HSTL / PECL to HSTL, 3.3 V","Buffer","1","2:1:9","CML
ECL
HSTL
LVDS","HSTL","3.3","1.4","50","0.82
0.85","600","750",,"LQFP-32
QFN-32"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100H643","MC100H643FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100H643FNG","http://www.onsemi.com/pub/Collateral/MC10H643-D.PDF","1:8 Clock Driver","Pb-free
Halide free","Active","1:8 Clock Driver","Buffer","1","1:8","ECL","TTL","5",,"500","4.6","1200","80",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100H643","MC100H643FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100H643FNR2G","http://www.onsemi.com/pub/Collateral/MC10H643-D.PDF","1:8 Clock Driver","Pb-free
Halide free","Active","1:8 Clock Driver","Buffer","1","1:8","ECL","TTL","5",,"500","4.6","1200","80",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100H680","MC100H680FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100H680FNG","http://www.onsemi.com/pub/Collateral/MC10H680-D.PDF","4-Bit Differential ECL Bus/TTL Bus Transceiver","Pb-free
Halide free","Active","4-Bit Differential ECL Bus/TTL Bus Transceiver","Signal Driver","4","1:1","ECL","TTL","5",,,"3.2","3400",,,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100LVE210","MC100LVE210FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVE210FNG","http://www.onsemi.com/pub/Collateral/MC100LVE210-D.PDF","Clock / Data Fanout Buffer, 1:4 / 1:5 Differential, Dual ECL, 3.3 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:4 / 1:5 Differential, Dual ECL, 3.3 V","Buffer","1","1:4
1:5","ECL","ECL","3.3","<1","75","0.7","600","700",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100LVE210","MC100LVE210FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVE210FNR2G","http://www.onsemi.com/pub/Collateral/MC100LVE210-D.PDF","Clock / Data Fanout Buffer, 1:4 / 1:5 Differential, Dual ECL, 3.3 V","Pb-free
Halide free","Active","Clock / Data Fanout Buffer, 1:4 / 1:5 Differential, Dual ECL, 3.3 V","Buffer","1","1:4
1:5","ECL","ECL","3.3","<1","75","0.7","600","700",,"PLCC-28"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100LVEL11","MC100LVEL11DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL11DG","http://www.onsemi.com/pub/Collateral/MC100LVEL11-D.PDF","ECL 1:2 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","ECL 1:2 Differential Clock/Data Fanout Buffer","Buffer","1","1:2","ECL
LVDS","ECL","3.3","0.6","20","0.33","320","1000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100LVEL11","MC100LVEL11DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL11DR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL11-D.PDF","ECL 1:2 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","ECL 1:2 Differential Clock/Data Fanout Buffer","Buffer","1","1:2","ECL
LVDS","ECL","3.3","0.6","20","0.33","320","1000",,"DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---驱动器和扇出缓冲器","MC100LVEL11","MC100LVEL11DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL11DTG","http://www.onsemi.com/pub/Collateral/MC100LVEL11-D.PDF","ECL 1:2 Differential Clock/Data Fanout Buffer","Pb-free
Halide free","Active","ECL 1:2 Differential Clock/Data Fanout Buffer","Buffer","1","1:2","ECL
LVDS","ECL","3.3","0.6","20","0.33","320","1000",,"DFN-8
SOIC-8
TSSOP-8"
