"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VM Min (V)","VM Max (V)","VCC Min (V)","VCC Max (V)","IO Max (A)","IO Peak Max (A)","Step Resolution","Control Type","Feedback Method","Current Sense","Regulator Output","Fault Detection","Flyback Protection","RDS(on) Typ (Ω)","Package Type"
"on","驱动器---电机驱动器","CS3351","CS3351YDR14G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS3351YDR14G","http://www.onsemi.com/pub/Collateral/CS3341-D.PDF","Alternator Voltage Regulator Darlington Driver","Pb-free
Halide free","Active","Alternator Voltage Regulator Darlington Driver","Regulator",,"27","9","27",,,,,,"None","No",,,,"SOIC-14"
"on","驱动器---电机驱动器","CS8190","CS8190EDWFR20G","http://www.onsemi.cn/PowerSolutions/product.do?id=CS8190EDWFR20G","http://www.onsemi.com/pub/Collateral/CS8190-D.PDF","Motor Driver, Precision Air-Core, Tachometer / Speedometer, with Return to Zero","Pb-free
Halide free","Active","Motor Driver, Precision Air-Core, Tachometer / Speedometer, with Return to Zero",,"8.5","24","8.5","15","0.01","0.042",,,"None","None","Yes",,,,"SOIC-20W"
"on","驱动器---电机驱动器","LA6581MC","LA6581MC-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6581MC-BH","http://www.onsemi.com/pub/Collateral/ENA2028-D.PDF","Single-Phase Full-Wave BTL Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave BTL Fan Motor Driver","Single-Phase Fan Motor","2.2","16","2.2","16","0.4","0.5",,"DC",,"None",,"Thermal",,,"SOIC-8"
"on","驱动器---电机驱动器","LA6584JA","LA6584JA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6584JA-AH","http://www.onsemi.com/pub/Collateral/ENA2125-D.PDF","BTL Driver Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","BTL Driver Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","2.8","14","2.8","14","1.2",,,"DC",,"None",,"Lock
Thermal",,,"SSOP-20"
"on","驱动器---电机驱动器","LA6584JA","LA6584JA-ZH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6584JA-ZH","http://www.onsemi.com/pub/Collateral/ENA2125-D.PDF","BTL Driver Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","BTL Driver Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","2.8","14","2.8","14","1.2",,,"DC",,"None",,"Lock
Thermal",,,"SSOP-20"
"on","驱动器---电机驱动器","LA6585FA","LA6585FA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6585FA-BH","http://www.onsemi.com/pub/Collateral/ENA2088-D.PDF","Single-Phase Full-Wave BTL Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave BTL Fan Motor Driver","Single-Phase Fan Motor","2.2","14","2.2","14",,"0.5",,"DC",,"None",,"Lock
Thermal",,,"Micro8™"
"on","驱动器---电机驱动器","LA6586FA","LA6586FA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6586FA-BH","http://www.onsemi.com/pub/Collateral/ENA2043-D.PDF","Single-Phase Full-Wave BTL Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave BTL Fan Motor Driver","Single-Phase Fan Motor","2.2","14","2.2","14","0.6",,,"DC",,"None",,"Lock
Thermal",,,"Micro10"
"on","驱动器---电机驱动器","LA6588MC","LA6588MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6588MC-AH","http://www.onsemi.com/pub/Collateral/ENA2020-D.PDF","Single-Phase Full-Wave BTL Fan Motor Driver for 24V Power Supply","Pb-free
Halide free","Active","Single-Phase Full-Wave BTL Fan Motor Driver for 24V Power Supply","Single-Phase Fan Motor","8","26.4","8","26.4","0.8",,,"DC",,"None",,"Lock
Thermal",,,"SOIC-10 W / MFP-10SK"
"on","驱动器---电机驱动器","LA6597FMC","LA6597FMC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LA6597FMC-AH","http://www.onsemi.com/pub/Collateral/ENA2073-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","2.2","14","2.2","14",,"1",,"DC",,"None",,"Lock
Thermal",,,"SOIC-10 NB"
"on","驱动器---电机驱动器","LB11600JV","LB11600JV-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11600JV-MPB-E","http://www.onsemi.com/pub/Collateral/EN8321-D.PDF","Brushless Motor Predriver for Automotive","Pb-free","Active","Brushless Motor Predriver for Automotive","Brushless DC",,,"4.5","14","0.04",,,"DC
PWM",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,,"SSOP-30"
"on","驱动器---电机驱动器","LB11600JV","LB11600JV-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11600JV-TLM-E","http://www.onsemi.com/pub/Collateral/EN8321-D.PDF","Brushless Motor Predriver for Automotive","Pb-free","Active","Brushless Motor Predriver for Automotive","Brushless DC",,,"4.5","14","0.04",,,"DC
PWM",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,,"SSOP-30"
"on","驱动器---电机驱动器","LB11620T","LB11620T-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11620T-TLM-H","http://www.onsemi.com/pub/Collateral/ENA0662-D.PDF","Three-Phase Direct PWM Brushless Motor Driver","Pb-free
Halide free","Active","Three-Phase Direct PWM Brushless Motor Driver","Brushless DC",,,"8","17","0.025","0.03",,"PWM",,"External Resistor",,"Lock
Over-Current
UVLO",,,"TSSOP-24"
"on","驱动器---电机驱动器","LB11651","LB11651-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11651-E","http://www.onsemi.com/pub/Collateral/ENN7391-D.PDF","PWM Inuput Forward/Reverse Brush Motor Driver","Pb-free","Active","PWM Inuput Forward/Reverse Brush Motor Driver","Brush DC","8","30","3","7","3","4",,"Parallel",,"External Resistor","No","Over-Current
Thermal
UVLO","Integrated Active",,"SIP-14"
"on","驱动器---电机驱动器","LB11660RV","LB11660RV-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11660RV-MPB-H","http://www.onsemi.com/pub/Collateral/LB11660RV-D.PDF","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Pb-free
Halide free","ActiveNEW","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Single-Phase Fan Motor","3","15","4","15","1.5",,,"DC",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11660RV","LB11660RV-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11660RV-TLM-H","http://www.onsemi.com/pub/Collateral/LB11660RV-D.PDF","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Pb-free
Halide free","ActiveNEW","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Single-Phase Fan Motor","3","15","4","15","1.5",,,"DC",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11660RV","LB11660RV-W-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11660RV-W-AH","http://www.onsemi.com/pub/Collateral/LB11660RV-D.PDF","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Pb-free
Halide free","ActiveNEW","Half-pre Motor Driver, Single-Phase Full-Wave Drive, for Fan Motor","Single-Phase Fan Motor","3","15","4","15","1.5",,,"DC",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11669MC","LB11669MC-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11669MC-BH","http://www.onsemi.com/pub/Collateral/ENA2075-D.PDF","Two-Phase Half-Wave Fan Motor Driver","Pb-free
Halide free","Active","Two-Phase Half-Wave Fan Motor Driver","Two-Phase Fan Motor",,"30","5.95","6.65","0.4","0.8",,"DC",,"None",,"Lock
Thermal",,,"SOIC-10 NB"
"on","驱动器---电机驱动器","LB11685AV","LB11685AV-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11685AV-MPB-H","http://www.onsemi.com/pub/Collateral/ENA1772-D.PDF","Motor Driver, 3-Phase, Sensor Less","Pb-free
Halide free","Active","Motor Driver, 3-Phase, Sensor Less","Brushless DC","4.5","18","4.5","18",,"1.2",,"DC",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-24J"
"on","驱动器---电机驱动器","LB11685AV","LB11685AV-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11685AV-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1772-D.PDF","Motor Driver, 3-Phase, Sensor Less","Pb-free
Halide free","Active","Motor Driver, 3-Phase, Sensor Less","Brushless DC","4.5","18","4.5","18",,"1.2",,"DC",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-24J"
"on","驱动器---电机驱动器","LB11693H","LB11693H-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11693H-MPB-E","http://www.onsemi.com/pub/Collateral/ENA0287-D.PDF","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Pb-free","Active","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Three-Phase Fan Motor","9.5","28","9.5","28",,"1.8",,"DC
PWM",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"HSOP-36B"
"on","驱动器---电机驱动器","LB11693H","LB11693H-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11693H-TLM-E","http://www.onsemi.com/pub/Collateral/ENA0287-D.PDF","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Pb-free","Active","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Three-Phase Fan Motor","9.5","28","9.5","28",,"1.8",,"DC
PWM",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"HSOP-36B"
"on","驱动器---电机驱动器","LB11693H","LB11693H-TRM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11693H-TRM-E","http://www.onsemi.com/pub/Collateral/ENA0287-D.PDF","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Pb-free","Active","Direct PWM Drive 3-Phase Brushless Motor Driver for Driving 24V Fan Motors","Three-Phase Fan Motor","9.5","28","9.5","28",,"1.8",,"DC
PWM",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"HSOP-36B"
"on","驱动器---电机驱动器","LB11696V","LB11696V-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11696V-MPB-E","http://www.onsemi.com/pub/Collateral/LB11696V-D.PDF","Direct PWM Drive Brushless Motor Predriver","Pb-free","Active","Direct PWM Drive Brushless Motor Predriver","Brushless DC",,,"4.5","17","0.03",,,"DC
PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-30"
"on","驱动器---电机驱动器","LB11696V","LB11696V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11696V-TLM-E","http://www.onsemi.com/pub/Collateral/LB11696V-D.PDF","Direct PWM Drive Brushless Motor Predriver","Pb-free","Active","Direct PWM Drive Brushless Motor Predriver","Brushless DC",,,"4.5","17","0.03",,,"DC
PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-30"
"on","驱动器---电机驱动器","LB11696V","LB11696V-TRM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11696V-TRM-E","http://www.onsemi.com/pub/Collateral/LB11696V-D.PDF","Direct PWM Drive Brushless Motor Predriver","Pb-free","Active","Direct PWM Drive Brushless Motor Predriver","Brushless DC",,,"4.5","17","0.03",,,"DC
PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-30"
"on","驱动器---电机驱动器","LB11822","LB11822-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11822-E","-","Three-Phase Brushless Motor Driver","Pb-free","Active","Three-Phase Brushless Motor Driver","Brushless DC",,,"9.5","30","3.1",,,"Clock","PLL+Discriminator","External Resistor","Yes","Lock
Thermal","External",,"PDIP-30"
"on","驱动器---电机驱动器","LB11847","LB11847-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11847-E","http://www.onsemi.com/pub/Collateral/LB11847-D.PDF","PWM Current Control Type Stepping Motor Driver","Pb-free","Active","PWM Current Control Type Stepping Motor Driver","Stepper","10","45","4.75","7","1.5","1.75","1/16
1/8
¼
½","Parallel",,"External Resistor",,"Thermal
UVLO",,,"PDIP-30"
"on","驱动器---电机驱动器","LB11851FA","LB11851FA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11851FA-BH","http://www.onsemi.com/pub/Collateral/ENA2092-D.PDF","Microprocessor Fan Motor Interface Driver","Pb-free
Halide free","Active","Microprocessor Fan Motor Interface Driver","Brushless DC",,,"6","16",,"0.02",,"PWM",,"External Resistor",,"Over-Current",,,"Micro10"
"on","驱动器---电机驱动器","LB11852FV","LB11852FV-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11852FV-MPB-H","http://www.onsemi.com/pub/Collateral/ENA1112-D.PDF","Single-Phase Full-Wave Fan Motor Pre-Driver with Speed Control Function","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Pre-Driver with Speed Control Function","Single-Phase Fan Motor",,,"5.5","16","0.02",,,"DC
PWM",,"External Resistor","Yes","Lock
Over-Current",,,"SSOP-20J"
"on","驱动器---电机驱动器","LB11852FV","LB11852FV-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11852FV-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1112-D.PDF","Single-Phase Full-Wave Fan Motor Pre-Driver with Speed Control Function","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Pre-Driver with Speed Control Function","Single-Phase Fan Motor",,,"5.5","16","0.02",,,"DC
PWM",,"External Resistor","Yes","Lock
Over-Current",,,"SSOP-20J"
"on","驱动器---电机驱动器","LB11861MC","LB11861MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11861MC-AH","http://www.onsemi.com/pub/Collateral/ENA2023-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","4.5","16","4.5","16",,"1.2",,"PWM",,"None",,"Lock
Thermal",,,"SOIC-10 W / MFP-10SK"
"on","驱动器---电机驱动器","LB11867FV","LB11867FV-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11867FV-MPB-H","http://www.onsemi.com/pub/Collateral/LB11867FV-D.PDF","Variable Speed Single-Phase Full-Wave Pre-Driver","Pb-free
Halide free","Active","Variable Speed Single-Phase Full-Wave Pre-Driver","Single-Phase Fan Motor",,,"5.5","16","0.02",,,"PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11867FV","LB11867FV-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11867FV-TLM-H","http://www.onsemi.com/pub/Collateral/LB11867FV-D.PDF","Variable Speed Single-Phase Full-Wave Pre-Driver","Pb-free
Halide free","Active","Variable Speed Single-Phase Full-Wave Pre-Driver","Single-Phase Fan Motor",,,"5.5","16","0.02",,,"PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11868V","LB11868V-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11868V-MPB-H","http://www.onsemi.com/pub/Collateral/ENA1915-D.PDF","Fan Motor Pre-Driver, Single-Phase, Full-Wave, Variable Speed","Pb-free
Halide free","Active","Fan Motor Pre-Driver, Single-Phase, Full-Wave, Variable Speed","Single-Phase Fan Motor",,,"4","16","0.03",,,"PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-20J"
"on","驱动器---电机驱动器","LB11868V","LB11868V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11868V-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1915-D.PDF","Fan Motor Pre-Driver, Single-Phase, Full-Wave, Variable Speed","Pb-free
Halide free","Active","Fan Motor Pre-Driver, Single-Phase, Full-Wave, Variable Speed","Single-Phase Fan Motor",,,"4","16","0.03",,,"PWM",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"SSOP-20J"
"on","驱动器---电机驱动器","LB11872H","LB11872H-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11872H-MPB-E","http://www.onsemi.com/pub/Collateral/EN7257-D.PDF","Motor Driver, 3-Phase, Brushless","Pb-free","Active","Motor Driver, 3-Phase, Brushless","Brushless DC","10","28","10","28",,"1.2",,"Clock",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB11872H","LB11872H-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11872H-TLM-E","http://www.onsemi.com/pub/Collateral/EN7257-D.PDF","Motor Driver, 3-Phase, Brushless","Pb-free","Active","Motor Driver, 3-Phase, Brushless","Brushless DC","10","28","10","28",,"1.2",,"Clock",,"External Resistor","Yes","Lock
Over-Current
Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB11876","LB11876-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11876-MPB-E","http://www.onsemi.com/pub/Collateral/EN8317-D.PDF","Three-Phase Brushless Motor Driver","Pb-free","Active","Three-Phase Brushless Motor Driver","Brushless DC",,,"8","17","0.03",,,"Clock",,"External Resistor","Yes","Lock
Over-Current
Thermal
UVLO",,,"SSOP-36"
"on","驱动器---电机驱动器","LB11876","LB11876-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11876-TLM-E","http://www.onsemi.com/pub/Collateral/EN8317-D.PDF","Three-Phase Brushless Motor Driver","Pb-free","Active","Three-Phase Brushless Motor Driver","Brushless DC",,,"8","17","0.03",,,"Clock",,"External Resistor","Yes","Lock
Over-Current
Thermal
UVLO",,,"SSOP-36"
"on","驱动器---电机驱动器","LB11921T","LB11921T-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11921T-TLM-E","http://www.onsemi.com/pub/Collateral/ENA0604-D.PDF","3-Phase Brushless Motor Driver","Pb-free","Active","3-Phase Brushless Motor Driver","Brushless DC",,,"4.4","8","0.01",,,"Clock",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,,"TSSOP-36"
"on","驱动器---电机驱动器","LB11923V","LB11923V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11923V-TLM-E","http://www.onsemi.com/pub/Collateral/ENN7498-D.PDF","3-Phase Brushless Motor Driver","Pb-free","Active","3-Phase Brushless Motor Driver","Brushless DC",,,"4.4","8","0.03",,,"Clock",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,,"SSOP-44"
"on","驱动器---电机驱动器","LB11948T","LB11948T-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11948T-MPB-E","http://www.onsemi.com/pub/Collateral/EN7947-D.PDF","PWM Current Control Stepping Motor Driver","Pb-free","Active","PWM Current Control Stepping Motor Driver","Stepper","3","15","3","15","0.4","0.5","1
½","Parallel",,"External Resistor",,"Over-Current
Thermal",,,"TSSOP-30"
"on","驱动器---电机驱动器","LB11948T","LB11948T-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11948T-TLM-E","http://www.onsemi.com/pub/Collateral/EN7947-D.PDF","PWM Current Control Stepping Motor Driver","Pb-free","Active","PWM Current Control Stepping Motor Driver","Stepper","3","15","3","15","0.4","0.5","1
½","Parallel",,"External Resistor",,"Over-Current
Thermal",,,"TSSOP-30"
"on","驱动器---电机驱动器","LB11961V","LB11961V-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11961V-MPB-H","http://www.onsemi.com/pub/Collateral/EN8794-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","4.5","16","4.5","16","1","1",,"DC",,"External Resistor",,"Lock
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11961V","LB11961V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11961V-TLM-H","http://www.onsemi.com/pub/Collateral/EN8794-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","4.5","16","4.5","16","1","1",,"DC",,"External Resistor",,"Lock
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB11967V","LB11967V-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11967V-MPB-H","http://www.onsemi.com/pub/Collateral/EN8362-D.PDF","Single-Phase Variable Speed Fan Motor Pre-Driver","Pb-free
Halide free","Active","Single-Phase Variable Speed Fan Motor Pre-Driver","Single-Phase Fan Motor","6","16","6","16","0.05",,,"PWM",,"External Resistor",,"Lock
Over-Current",,,"SSOP-20"
"on","驱动器---电机驱动器","LB11967V","LB11967V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11967V-TLM-H","http://www.onsemi.com/pub/Collateral/EN8362-D.PDF","Single-Phase Variable Speed Fan Motor Pre-Driver","Pb-free
Halide free","Active","Single-Phase Variable Speed Fan Motor Pre-Driver","Single-Phase Fan Motor","6","16","6","16","0.05",,,"PWM",,"External Resistor",,"Lock
Over-Current",,,"SSOP-20"
