"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","VCC Min (V)","VCC Max (V)","VO Typ (V)","IO Typ (A)","Efficiency (%)","fSW Typ (kHz)","Package Type"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1093","NCP1093MNRG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1093MNRG","http://www.onsemi.com/pub/Collateral/NCP1093-D.PDF","IEEE802.3at PoE-PD Interface Controller","Pb-free
Halide free","Active","IEEE802.3at PoE-PD Interface Controller",,,,,,,,,"DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN19T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN19T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 1.9 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN22T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN22T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 2.2 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN25T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN25T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 2.5 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN27T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN27T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 2.7 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN30T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN30T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 3.0 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN33T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN33T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 3.3 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN38T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN38T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 3.8 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN45T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN45T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 4.5 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1400A","NCP1400ASN50T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1400ASN50T1G","http://www.onsemi.com/pub/Collateral/NCP1400A-D.PDF","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz, 5.0 V","Pb-free
Halide free","Active","Boost Converter, Fixed Frequency, PWM, Micropower, 100 mA, 180 kHz","Step-Up","Voltage Mode","0.8","5.5","1.9
2.2
2.5
2.7
3
3.3
3.8
4.5
5","Up to 0.1","88","180","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1403","NCP1403SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1403SNT1G","http://www.onsemi.com/pub/Collateral/NCP1403-D.PDF","Boost Converter, PFM, DC-DC, 15 V, 50 mA","Pb-free
Halide free","Active","Boost Converter, PFM, DC-DC, 15 V, 50 mA","Step-Up",,"1.2","5.5","Up to 15","0.05","72",,"TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1421","NCP1421DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1421DMR2G","http://www.onsemi.com/pub/Collateral/NCP1421-D.PDF","Boost Converter, Sync-Rect, PFM, DC-DC, 600 mA, with True-Cutoff and Ring-Killer","Pb-free
Halide free","Active","Boost Converter, Sync-Rect, PFM, DC-DC, 600 mA, with True-Cutoff and Ring-Killer","Step-Up","Current/Voltage Mode","1","5.5","1.5 to 5.0","0.6","Up to 94","Up to 1200","Micro8™"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1423","NCP1423DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1423DMR2G","http://www.onsemi.com/pub/Collateral/NCP1423-D.PDF","Boost Converter, Sync-Rect, PFM, DC-DC, 400 mA, with True-Cutoff and Ring-Killer","Pb-free
Halide free","Active","Boost Converter, Sync-Rect, PFM, DC-DC, 400 mA, with True-Cutoff and Ring-Killer","Step-Up","Current/Voltage Mode","0.8","6","1.8 to 3.3","0.4","92","Up to 600","Micro10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1522B","NCP1522BMUTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1522BMUTBG","http://www.onsemi.com/pub/Collateral/NCP1522B-D.PDF","Buck Converter, DC-DC, 3 MHz, 600 mA","Pb-free
Halide free","Active","Buck Converter, DC-DC, 3 MHz, 600 mA","Step-Down","Voltage Mode","2.7","5.5","0.9 to 3.3","0.6","95","3000","TSOP-5 / SOT-23-5
UDFN-6"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1522B","NCP1522BSNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1522BSNT1G","http://www.onsemi.com/pub/Collateral/NCP1522B-D.PDF","Buck Converter, DC-DC, 3 MHz, 600 mA","Pb-free
Halide free","Active","Buck Converter, DC-DC, 3 MHz, 600 mA","Step-Down","Voltage Mode","2.7","5.5","0.9 to 3.3","0.6","95","3000","TSOP-5 / SOT-23-5
UDFN-6"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1532","NCP1532MUAATXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1532MUAATXG","http://www.onsemi.com/pub/Collateral/NCP1532-D.PDF","Buck Converter, DC-DC, Dual, Low Iq, High Efficiency, 2.25 MHz, 1.6 A","Pb-free
Halide free","Active","Buck Converter, DC-DC, Dual, Low Iq, High Efficiency, 2.25 MHz, 1.6 A","Step-Down","Current Mode","2.7","5.5","0.9 to 3.3","1.6","97","2250","UDFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1593","NCP1593AMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1593AMNTWG","http://www.onsemi.com/pub/Collateral/NCP1593-D.PDF","Synchronous Buck Regulator, 1 MHz, 3.0 A","Pb-free
Halide free","Active","Synchronous Buck Regulator, 1 MHz, 3.0 A","Step-Down","Current Mode","4","5.5","0.6 to 5.0","3","90","1000","DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1593","NCP1593BMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1593BMNTWG","http://www.onsemi.com/pub/Collateral/NCP1593-D.PDF","Synchronous Buck Regulator, 1 MHz, 3.0 A","Pb-free
Halide free","Active","Synchronous Buck Regulator, 1 MHz, 3.0 A","Step-Down","Current Mode","4","5.5","0.6 to 5.0","3","90","1000","DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1597","NCP1597AMNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1597AMNTWG","http://www.onsemi.com/pub/Collateral/NCP1597-D.PDF","Synchronous Buck Converter, 1 MHz, 2.0 A","Pb-free","Active","Synchronous Buck Converter, 1 MHz, 2.0 A","Step-Down","Voltage Mode","4","5.5",,"2",,"1000","DFN-6"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP1599","NCP1599MNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1599MNTWG","http://www.onsemi.com/pub/Collateral/NCP1599-D.PDF","Synchronous Buck Converter, 1 MHz, 3.0 A","Pb-free","Active","Synchronous Buck Converter, 1 MHz, 3.0 A","Step-Down","Voltage Mode","3","5.5",,"3",,"1000","DFN-6"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3064","NCP3064BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3064BDR2G","http://www.onsemi.com/pub/Collateral/NCP3064-D.PDF","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function, T","Pb-free
Halide free","Active","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","150","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3064","NCP3064BMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3064BMNTXG","http://www.onsemi.com/pub/Collateral/NCP3064-D.PDF","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function, T","Pb-free
Halide free","Active","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","150","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3064","NCP3064DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3064DR2G","http://www.onsemi.com/pub/Collateral/NCP3064-D.PDF","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function, T","Pb-free
Halide free","Active","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","150","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3064","NCP3064MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3064MNTXG","http://www.onsemi.com/pub/Collateral/NCP3064-D.PDF","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function, T","Pb-free
Halide free","Active","Boost / Buck / Inverting Converter, Switching Regulator, 1.5 A, with On / Off Function","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","150","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3066","NCP3066DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3066DR2G","http://www.onsemi.com/pub/Collateral/NCP3066-D.PDF","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","250
Up to 300","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3066","NCP3066MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3066MNTXG","http://www.onsemi.com/pub/Collateral/NCP3066-D.PDF","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","250
Up to 300","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3066","NCV3066DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3066DR2G","http://www.onsemi.com/pub/Collateral/NCP3066-D.PDF","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","250
Up to 300","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3066","NCV3066MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3066MNTXG","http://www.onsemi.com/pub/Collateral/NCP3066-D.PDF","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Buck / Boost / Inverting Regulator, Switching, Constant Current, 1.5 A, for HB-LEDs with Enable","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","250
Up to 300","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3121","NCP3121MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3121MNTXG","http://www.onsemi.com/pub/Collateral/NCP3121-D.PDF","Non-Synchronous Buck Regulator, Dual, PWM, 3.0 A (200-750 kHz)","Pb-free
Halide free","Active","Non-Synchronous Buck Regulator, Dual, PWM, 3.0 A (200-750 kHz)","Step-Down","Voltage Mode","4.5","15","0.8 to 5.0","3","80","Up to 1000","QFN-32"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3133A","NCP3133AMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3133AMNTXG","http://www.onsemi.com/pub/Collateral/NCP3133A-D.PDF","3 A Integrated Synchronous Buck Converter","Pb-free
Halide free","Active","3 A Integrated Synchronous Buck Converter","Step-Down","Voltage Mode","2.9","5.5","1.2","3","91%","1000","QFN-16"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3163","NCP3163BMNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3163BMNR2G","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","85","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3163","NCP3163BPWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3163BPWG","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","85","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3163","NCP3163BPWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3163BPWR2G","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","85","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3163","NCP3163PWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3163PWG","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","85","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3163","NCP3163PWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3163PWR2G","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Pb-free
Halide free","Active","Buck / Boost / Inverting Regulator, Switching, 3.4 A, 300 kHz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","85","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3231","NCP3231MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3231MNTXG","http://www.onsemi.com/pub/Collateral/NCP3231-D.PDF","High Current Synchronous Buck Converter, High Current Synchronous Buck Converter","Pb-free
Halide free","Active","High Current Synchronous Buck Converter","Step-Down","Voltage Mode","4.5","18","3.3","25","94","500","QFN-40"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP3232N","NCP3232NMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP3232NMNTXG","http://www.onsemi.com/pub/Collateral/NCP3232N-D.PDF","High Current Synchronous Buck Converter, High Current Synchronous Buck Converter","Pb-free
Halide free","Active","High Current Synchronous Buck Converter","Step-Down","Voltage Mode","4.5","21","1.5","15","90","500","QFN-40"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP5005","NCP5005SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP5005SNT1G","http://www.onsemi.com/pub/Collateral/NCP5005-D.PDF","LED Driver, Boost, Compact Backlight","Pb-free
Halide free","Active","LED Driver, Boost, Compact Backlight","Step-Up","Current Mode","2.7","5.5","22","0.05","90","1200","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP5007","NCP5007SNT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP5007SNT1G","http://www.onsemi.com/pub/Collateral/NCP5007-D.PDF","LED Driver, Boost, Compact Backlight","Pb-free
Halide free","Active","LED Driver, Boost, Compact Backlight","Step-Up","Current Mode","2.7","5.5","22","0.05","90","1200","TSOP-5 / SOT-23-5"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6324","NCP6324BMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6324BMTAATBG","http://www.onsemi.com/pub/Collateral/NCP6324-D.PDF","Synchronous Buck Converter, 3 MHz, 2.0 A","Pb-free
Halide free","Active","Synchronous Buck Converter, 3 MHz, 2.0 A","Step-Down","Voltage Mode","2.5","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6324","NCP6324CMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6324CMTAATBG","http://www.onsemi.com/pub/Collateral/NCP6324-D.PDF","Synchronous Buck Converter, 3 MHz, 2.0 A","Pb-free
Halide free","Active","Synchronous Buck Converter, 3 MHz, 2.0 A","Step-Down","Voltage Mode","2.5","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6334","NCP6334BMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6334BMTAATBG","http://www.onsemi.com/pub/Collateral/NCP6334B-D.PDF","Synchronous Buck Converter, 3 MHz, 2.0 A","Pb-free
Halide free","Active","Synchronous Buck Converter, 3 MHz, 2.0 A","Step-Down","Voltage Mode","2.3","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6334","NCP6334CMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6334CMTAATBG","http://www.onsemi.com/pub/Collateral/NCP6334B-D.PDF","Synchronous Buck Converter, 3 MHz, 2.0 A","Pb-free
Halide free","Active","Synchronous Buck Converter, 3 MHz, 2.0 A","Step-Down","Voltage Mode","2.3","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6338","NCP6338FCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6338FCT1G","-","Synchronous Buck Converter, Processor Supply, I2C Programming, Remote Sense, 6.0 A","Pb-free
Halide free","Active","Synchronous Buck Converter, Processor Supply, I2C Programming, Remote Sense, 6.0 A","Step-Down","Voltage Mode","2.3","5.5","1.2","6","95","3000","WLCSP-30"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6354","NCP6354BMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6354BMTAATBG","http://www.onsemi.com/pub/Collateral/NCP6354-D.PDF","Sychronous Buck Converter, PWM, 3.0 MHz, 2.0 A, with Power Good","Pb-free
Halide free","Active","Sychronous Buck Converter, PWM, 3.0 MHz, 2.0 A, with Power Good","Step-Down","Voltage Mode","2.3","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6361","NCP6361AFCCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6361AFCCT1G","http://www.onsemi.com/pub/Collateral/NCP6361-D.PDF","RF PA 1A Buck DCDC converter","Pb-free
Halide free","Active","RF PA 1A Buck DCDC converter","Step-Down","Voltage Mode","2.5","5.5","0.4 to 3.5","0.8","95","3429 or 6000","WLCSP-9"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6361","NCP6361BFCCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6361BFCCT1G","http://www.onsemi.com/pub/Collateral/NCP6361-D.PDF","RF PA 1A Buck DCDC converter","Pb-free
Halide free","Active","RF PA 1A Buck DCDC converter","Step-Down","Voltage Mode","2.5","5.5","0.4 to 3.5","0.8","95","3429 or 6000","WLCSP-9"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6915","NCP6915AFCCLT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6915AFCCLT1G","http://www.onsemi.com/pub/Collateral/NCP6915-D.PDF","Power Management IC (PMIC), 6 Channels, with 1 DC-DC Converter and 5 LDOs","Pb-free
Halide free","Active","Power Management IC (PMIC), 6 Channels, with 1 DC-DC Converter and 5 LDOs","Step-Down","Voltage Mode","2.5 V","5.5 V","1.2 V","0.6 A","96","3000","WLCSP-16"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6925","NCP6925AFCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6925AFCT1G","http://www.onsemi.com/pub/Collateral/NCP6925-D.PDF","Power Management IC (PMIC), 7 Channels, with 2 DC-DC Converters and 5 LDOs","Pb-free
Halide free","Active","Power Management IC (PMIC), 7 Channels, with 2 DC-DC Converters and 5 LDOs","Step-Down","Voltage Mode","2.5","5.5","1.2","1","95","3000","WLCSP-36"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP6925","NCP6925AFCT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6925AFCT2G","http://www.onsemi.com/pub/Collateral/NCP6925-D.PDF","Power Management IC (PMIC), 7 Channels, with 2 DC-DC Converters and 5 LDOs, Different T&R orientation","Pb-free
Halide free","Active","Power Management IC (PMIC), 7 Channels, with 2 DC-DC Converters and 5 LDOs","Step-Down","Voltage Mode","2.5","5.5","1.2","1","95","3000","WLCSP-36"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP81242","NCP81242MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP81242MNTXG","http://www.onsemi.com/pub/Collateral/NCP81242-D.PDF","Single−Phase Synchronous Buck Regulator with Integrated Power MOSFETs for VR12 Embedded CPUs, Single-Phase Voltage Regulator w SVID Interface for Computing Apps","Pb-free
Halide free","ActiveNEW","Single−Phase Synchronous Buck Regulator with Integrated Power MOSFETs for VR12 Embedded CPUs",,,,,,,,,"QFN-48"
"on","DC-DC控制器、转换器和稳压器---转换器","NCP81250","NCP81250MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP81250MNTXG","http://www.onsemi.com/pub/Collateral/NCP81250-D.PDF","Single−Phase Synchronous Buck Regulator with Integrated Power MOSFETs for VR12 Embedded CPUs, Single-Phase Voltage Regulator w SVID Interface for Computing Apps","Pb-free
Halide free","ActiveNEW","Single−Phase Synchronous Buck Regulator with Integrated Power MOSFETs for VR12 Embedded CPUs","Step-Down","Voltage Mode","4.75","5.75",,,,"500-1200","QFN-48"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV3063","NCV3063DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3063DR2G","http://www.onsemi.com/pub/Collateral/NCP3063-D.PDF","Buck / Boost / Inverting Converter, Switching Regulator, 1.5 A","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck / Boost / Inverting Converter, Switching Regulator, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","Up to 200","DFN-8
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV3063","NCV3063MNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3063MNTXG","http://www.onsemi.com/pub/Collateral/NCP3063-D.PDF","Buck / Boost / Inverting Converter, Switching Regulator, 1.5 A","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck / Boost / Inverting Converter, Switching Regulator, 1.5 A","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","3","40","1.25 to 40","1.5","85","Up to 200","DFN-8
SOIC-8"
