"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","V(BR)DSS Min (V)","ID Typ (A)","rDS(on) Max (mOhms)","PD Max (W)","Package Type"
"on","IGBT 和 FET---保护 MOSFETs","NCV8403A","NCV8403ADTRKG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8403ADTRKG","http://www.onsemi.com/pub/Collateral/NCV8403-D.PDF","Self-Protected Low Side Driver with Temperature and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","ActiveNEW","Self-Protected Low Side Driver with Temperature and Current Limit","N-Channel","42","15","53","1.9","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8403A","NCV8403ASTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8403ASTT1G","http://www.onsemi.com/pub/Collateral/NCV8403-D.PDF","Self-Protected Low Side Driver with Temperature and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","ActiveNEW","Self-Protected Low Side Driver with Temperature and Current Limit","N-Channel","42","15","53","1.9","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8403A","NCV8403ASTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8403ASTT3G","http://www.onsemi.com/pub/Collateral/NCV8403-D.PDF","Self-Protected Low Side Driver with Temperature and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","ActiveNEW","Self-Protected Low Side Driver with Temperature and Current Limit","N-Channel","42","15","53","1.9","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8406A","NCV8406ADTRKG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8406ADTRKG","http://www.onsemi.com/pub/Collateral/NCV8406-D.PDF","Self-Protected Low Side Driver","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected Low Side Driver","N-Channel","65","7","210","1.31","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8406A","NCV8406ASTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8406ASTT1G","http://www.onsemi.com/pub/Collateral/NCV8406-D.PDF","Self-Protected Low Side Driver","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected Low Side Driver","N-Channel","65","7","210","1.31","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8406A","NCV8406ASTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8406ASTT3G","http://www.onsemi.com/pub/Collateral/NCV8406-D.PDF","Self-Protected Low Side Driver","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected Low Side Driver","N-Channel","65","7","210","1.31","DPAK-3
SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8440A","NCV8440ASTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8440ASTT1G","http://www.onsemi.com/pub/Collateral/NCV8440-D.PDF","Clamped MOSFET, N-Channel, with ESD Protection","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Clamped MOSFET, N-Channel, with ESD Protection","N-Channel","52","2.6","95","1.69","SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8440A","NCV8440ASTT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8440ASTT3G","http://www.onsemi.com/pub/Collateral/NCV8440-D.PDF","Clamped MOSFET, N-Channel, with ESD Protection","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Clamped MOSFET, N-Channel, with ESD Protection","N-Channel","52","2.6","95","1.69","SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8452","NCV8452STT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8452STT1G","http://www.onsemi.com/pub/Collateral/NCV8452-D.PDF","Self-Protected High Side Driver with Temperature Shutdown and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected High Side Driver with Temperature Shutdown and Current Limit",,"41","1.5","200","1.1","SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8452","NCV8452STT3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8452STT3G","http://www.onsemi.com/pub/Collateral/NCV8452-D.PDF","Self-Protected High Side Driver with Temperature Shutdown and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected High Side Driver with Temperature Shutdown and Current Limit",,"41","1.5","200","1.1","SOT-223-4 / TO-261-4"
"on","IGBT 和 FET---保护 MOSFETs","NCV8461","NCV8461DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8461DR2G","http://www.onsemi.com/pub/Collateral/NCV8461-D.PDF","Self-Protected High Side Driver with Temperature Shutdown and Current Limit","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Self-Protected High Side Driver with Temperature Shutdown and Current Limit",,"41","1.2","350","1.5","SOIC-8"
"on","IGBT 和 FET---保护 MOSFETs","NIMD6001A","NIMD6001ANR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NIMD6001ANR2G","http://www.onsemi.com/pub/Collateral/NIMD6001N-D.PDF","Dual N-Channel MOSFET Driver with Diagnostic Output","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Dual N-Channel MOSFET Driver with Diagnostic Output","N-Channel","60","3","130",,"SOIC-8"
"on","IGBT 和 FET---保护 MOSFETs","TND027MP","TND027MP-AZ","http://www.onsemi.cn/PowerSolutions/product.do?id=TND027MP-AZ","http://www.onsemi.com/pub/Collateral/TND027MP-D.PDF","Excellent Power Device, Lowside Power Switch Lamp / Solenoid / Motor Driving, Single MP","Pb-free","Active","Excellent Power Device, Lowside Power Switch Lamp / Solenoid / Motor Driving, Single MP","N-Channel","60","1.5","400","1","TO-92 / MP"
