"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tpd Typ (ns)","tR & tF Max (ps)","Package Type"
"on","时钟及数据分配---转换器","MC100LVELT23","MC100LVELT23DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT23DR2G","http://www.onsemi.com/pub/Collateral/MC100LVELT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","ECL","TTL","3.3","180","1.7","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100LVELT23","MC100LVELT23DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT23DTG","http://www.onsemi.com/pub/Collateral/MC100LVELT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","ECL","TTL","3.3","180","1.7","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100LVELT23","MC100LVELT23DTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT23DTRG","http://www.onsemi.com/pub/Collateral/MC100LVELT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","ECL","TTL","3.3","180","1.7","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC100LVELT23","MC100LVELT23MNRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVELT23MNRG","http://www.onsemi.com/pub/Collateral/MC100LVELT23-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL","2","ECL","TTL","3.3","180","1.7","900","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT21","MC10ELT21DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT21DG","http://www.onsemi.com/pub/Collateral/MC10ELT21-D.PDF","Translator, Differential PECL to TTL","Pb-free
Halide free","Active","Translator, Differential PECL to TTL","1","ECL","TTL","5","100","3.5","750","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT21","MC10ELT21DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT21DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT21-D.PDF","Translator, Differential PECL to TTL","Pb-free
Halide free","Active","Translator, Differential PECL to TTL","1","ECL","TTL","5","100","3.5","750","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT21","MC10ELT21DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT21DTG","http://www.onsemi.com/pub/Collateral/MC10ELT21-D.PDF","Translator, Differential PECL to TTL","Pb-free
Halide free","Active","Translator, Differential PECL to TTL","1","ECL","TTL","5","100","3.5","750","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT21","MC10ELT21DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT21DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT21-D.PDF","Translator, Differential PECL to TTL","Pb-free
Halide free","Active","Translator, Differential PECL to TTL","1","ECL","TTL","5","100","3.5","750","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT24","MC10ELT24DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT24DG","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","TTL to Differential ECL Translator","Pb-free
Halide free","Active","TTL to Differential ECL Translator","1","TTL","ECL","5","400","0.95","1250","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT24","MC10ELT24DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT24DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","TTL to Differential ECL Translator","Pb-free
Halide free","Active","TTL to Differential ECL Translator","1","TTL","ECL","5","400","0.95","1250","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT24","MC10ELT24DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT24DTG","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","TTL to Differential ECL Translator","Pb-free
Halide free","Active","TTL to Differential ECL Translator","1","TTL","ECL","5","400","0.95","1250","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT24","MC10ELT24DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT24DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT24-D.PDF","TTL to Differential ECL Translator","Pb-free
Halide free","Active","TTL to Differential ECL Translator","1","TTL","ECL","5","400","0.95","1250","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT28","MC10ELT28DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT28DG","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT28","MC10ELT28DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT28DR2G","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT28","MC10ELT28DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT28DTG","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10ELT28","MC10ELT28DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10ELT28DTR2G","http://www.onsemi.com/pub/Collateral/MC10ELT28-D.PDF","Translator, TTL to Differential PECL and Differential PECL to TTL","Pb-free
Halide free","Active","Translator, TTL to Differential PECL and Differential PECL to TTL","2","ECL
TTL","ECL
TTL","5","100","1.2","1600","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10EPT20","MC10EPT20DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EPT20DG","http://www.onsemi.com/pub/Collateral/MC10EPT20-D.PDF","Translator, LVTTL / LVCMOS to Differential LVPECL","Pb-free
Halide free","Active","Translator, LVTTL / LVCMOS to Differential LVPECL","1","CMOS
TTL","ECL","3.3","1000","0.37","170","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10EPT20","MC10EPT20DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EPT20DR2G","http://www.onsemi.com/pub/Collateral/MC10EPT20-D.PDF","Translator, LVTTL / LVCMOS to Differential LVPECL","Pb-free
Halide free","Active","Translator, LVTTL / LVCMOS to Differential LVPECL","1","CMOS
TTL","ECL","3.3","1000","0.37","170","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10EPT20","MC10EPT20DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EPT20DTG","http://www.onsemi.com/pub/Collateral/MC10EPT20-D.PDF","Translator, LVTTL / LVCMOS to Differential LVPECL","Pb-free
Halide free","Active","Translator, LVTTL / LVCMOS to Differential LVPECL","1","CMOS
TTL","ECL","3.3","1000","0.37","170","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10EPT20","MC10EPT20DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EPT20DTR2G","http://www.onsemi.com/pub/Collateral/MC10EPT20-D.PDF","Translator, LVTTL / LVCMOS to Differential LVPECL","Pb-free
Halide free","Active","Translator, LVTTL / LVCMOS to Differential LVPECL","1","CMOS
TTL","ECL","3.3","1000","0.37","170","DFN-8
SOIC-8
TSSOP-8"
