"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Segments","Key Detection","VDD Min (V)","VDD Max (V)","VLCD Min (V)","VLCD Max (V)","VI for Interface (V)","Operating Temperature (°C)","Output Ports","PWM Outputs","Character Generator","Reset","Contrast Adjustment","Control Command","Package Type"
"on","音频/视频的ASSP---LCD驱动器","LC75852W","LC75852W-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75852W-E","http://www.onsemi.com/pub/Collateral/EN4828-D.PDF","LCD Driver, 1/2 Duty, with Key Input","Pb-free","Active","LCD Driver, 1/2 Duty, with Key Input","1/2 Duty: 86 (78) to 90 (82)","20 to 30","4.5","6","VDD","VDD","VDD","-40 to  85","4",,,,,,"SPQFP-64 / SQFP-64"
"on","音频/视频的ASSP---LCD驱动器","LC75852W","LC75852W-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75852W-TLM-E","http://www.onsemi.com/pub/Collateral/EN4828-D.PDF","LCD Driver, 1/2 Duty, with Key Input","Pb-free","Active","LCD Driver, 1/2 Duty, with Key Input","1/2 Duty: 86 (78) to 90 (82)","20 to 30","4.5","6","VDD","VDD","VDD","-40 to  85","4",,,,,,"SPQFP-64 / SQFP-64"
"on","音频/视频的ASSP---LCD驱动器","LC75863W","LC75863WS-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75863WS-E","http://www.onsemi.com/pub/Collateral/ENN7135-D.PDF","LCD Driver, 1/3 Duty, with Key Input","Pb-free","Active","LCD Driver, 1/3 Duty, with Key Input","1/3 Duty: 69 (57) to 75 (63)","20 to 30","4.5","6","VDD-0.5","6","VDD","-40 to  85","4",,,"Yes",,,"SPQFP-48 / SQFP-48"
"on","音频/视频的ASSP---LCD驱动器","LC75879PT","LC75879PT-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75879PT-H","http://www.onsemi.com/pub/Collateral/ENA1687-D.PDF","LCD Driver, 1/4, 1/3 Duty, General-Purpose","Pb-free
Halide free","Active","LCD Driver, 1/4, 1/3 Duty, General-Purpose","1/3 Duty: 207 (183)
1/4 Duty: 272 (240)",,"4.5","6.3","VDD","VDD","3.3 or 5.0","-40 to  85","8","3",,,"Yes",,"TQFP-80 / TQFP-80J"
"on","音频/视频的ASSP---LCD驱动器","LC75879PT","LC75879PTS-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75879PTS-H","http://www.onsemi.com/pub/Collateral/ENA1687-D.PDF","LCD Driver, 1/4, 1/3 Duty, General-Purpose","Pb-free
Halide free","Active","LCD Driver, 1/4, 1/3 Duty, General-Purpose","1/3 Duty: 207 (183)
1/4 Duty: 272 (240)",,"4.5","6.3","VDD","VDD","3.3 or 5.0","-40 to  85","8","3",,,"Yes",,"TQFP-80 / TQFP-80J"
"on","音频/视频的ASSP---LCD驱动器","LC75886PW","LC75886PW-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75886PW-H","http://www.onsemi.com/pub/Collateral/ENA1391-D.PDF","LCD Driver, 1/4 Duty, 1/3 Duty, with Key Input","Pb-free
Halide free","Active","LCD Driver, 1/4 Duty, 1/3 Duty, with Key Input","1/3 Duty: 165 (150) to 171 (156)
1/4 Duty: 216 (196) to 224 (204)","20 to 30","4.5","6","VDD","VDD","3.3 or 5.0","-40 to  85","5",,,"Yes",,,"SPQFP-80 / SQFP-80"
"on","音频/视频的ASSP---LCD驱动器","LC75886PW","LC75886PWH-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75886PWH-H","http://www.onsemi.com/pub/Collateral/ENA1391-D.PDF","LCD Driver, 1/4 Duty, 1/3 Duty, with Key Input","Pb-free
Halide free","Active","LCD Driver, 1/4 Duty, 1/3 Duty, with Key Input","1/3 Duty: 165 (150) to 171 (156)
1/4 Duty: 216 (196) to 224 (204)","20 to 30","4.5","6","VDD","VDD","3.3 or 5.0","-40 to  85","5",,,"Yes",,,"SPQFP-80 / SQFP-80"
"on","音频/视频的ASSP---LCD驱动器","LC75897PW","LC75897PW-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75897PW-E","http://www.onsemi.com/pub/Collateral/LC75897PW-D.PDF","LCD Driver, 1/4, 1/3 Duty, General-Purpose","Pb-free","Active","LCD Driver, 1/4, 1/3 Duty, General-Purpose","1/3 Duty: 387 (363)
1/4 Duty: 512 (480)",,"2.7","6","2.7","6","VDD","-40 to  85","8","3",,,"Yes",,"SPQFP-144 / SQFP-144"
"on","音频/视频的ASSP---LCD驱动器","LC79401KNE","LC79401KNE-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC79401KNE-E","http://www.onsemi.com/pub/Collateral/ENA1419-D.PDF","Dot-Matrix LCD Driver","Pb-free","Active","Dot-Matrix LCD Driver",,,"2.7","5.5","12","32",,"-20 to  85",,,,,,,"PQFP-100 / QIP-100E"
"on","音频/视频的ASSP---LCD驱动器","LC79431KNE","LC79431KNE-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC79431KNE-E","http://www.onsemi.com/pub/Collateral/ENA2124-D.PDF","Dot-Matrix LCD Driver","Pb-free","Active","Dot-Matrix LCD Driver",,,"2.7","5.5","12","32",,"-20 to  85",,,,,,,"PQFP-100 / QIP-100E"
