"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (uA)","PPK Max (W)","Package Type"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4016","NUP4016P5T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4016P5T5G","http://www.onsemi.com/pub/Collateral/NUP4016P5-D.PDF","ESD Protection Array, Ultra Low Capacitance, for High Speed Data Lines","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Ultra Low Capacitance, for High Speed Data Lines","Ethernet (10/100, Gigabit)
HDMI 1.2
MIPI
USB 2.0","4","Unidirectional","0.8","6","5","1","13.5","SOT-953"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4016","SZNUP4016P5T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP4016P5T5G","http://www.onsemi.com/pub/Collateral/NUP4016P5-D.PDF","ESD Protection Array, Ultra Low Capacitance, for High Speed Data Lines","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","ESD Protection Array, Ultra Low Capacitance, for High Speed Data Lines","Ethernet (10/100, Gigabit)
HDMI 1.2
MIPI
USB 2.0","4","Unidirectional","0.8","6","5","1","13.5","SOT-953"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","NUP4114HMR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4114HMR6T1G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","NUP4114UCLW1T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4114UCLW1T2G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","NUP4114UCW1T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4114UCW1T2G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","NUP4114UPXV6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4114UPXV6T1G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","SZNUP4114HMR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP4114HMR6T1G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4114","SZNUP4114UCLW1T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP4114UCLW1T2G","http://www.onsemi.com/pub/Collateral/NUP4114-D.PDF","Sub-1.0 pF ESD Array","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Sub-1.0 pF ESD Array","DVI
HDMI 1.2
HDMI 1.3/1.4
USB 2.0","4","Unidirectional","0.3
1","6","5
5.5","1","-","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4201","NUP4201DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4201DR2G","http://www.onsemi.com/pub/Collateral/NUP4201DR2-D.PDF","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Interfaces","Pb-free","Active","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Interfaces","USB 2.0","4","Unidirectional","10","6","5","10","500","SOIC-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4202W1","NUP4202W1T2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4202W1T2G","http://www.onsemi.com/pub/Collateral/NUP4202W1-D.PDF","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Lines","Pb-free","Active","Transient Voltage Suppressor, Low Capacitance, for High Speed Data Lines","DVI
HDMI 1.2
USB 2.0","4","Bidirectional","3","6","5","5","500","SC-88-6 / SC-70-6 / SOT-363-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4301","NUP4301MR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4301MR6T1G","http://www.onsemi.com/pub/Collateral/NUP4301MR6T1-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","USB 2.0","4","Bidirectional","3","70","-","2.5","-","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4301","SZNUP4301MR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP4301MR6T1G","http://www.onsemi.com/pub/Collateral/NUP4301MR6T1-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","USB 2.0","4","Bidirectional","3","70","-","2.5","-","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4304MR6","NUP4304MR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP4304MR6T1G","http://www.onsemi.com/pub/Collateral/NUP4304M6-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","USB 2.0","4","Bidirectional","1.5","70","2.5","2.5","-","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP4304MR6","SZNUP4304MR6T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNUP4304MR6T1G","http://www.onsemi.com/pub/Collateral/NUP4304M6-D.PDF","Low Capacitance Diode Array for ESD Protection","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Low Capacitance Diode Array for ESD Protection","USB 2.0","4","Bidirectional","1.5","70","2.5","2.5","-","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NUP46V8","NUP46V8P5T5G","http://www.onsemi.cn/PowerSolutions/product.do?id=NUP46V8P5T5G","http://www.onsemi.com/pub/Collateral/NUP46V8P5-D.PDF","Low Capacitance 6.8 V Array for ESD Protection","AEC Qualified
Pb-free
Halide free","Active","Low Capacitance 6.8 V Array for ESD Protection","General I/O","4","Unidirectional","9.5","6.47","4.3","1","30","SOT-953"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZL5V6AXV3","NZL5V6AXV3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NZL5V6AXV3T1G","http://www.onsemi.com/pub/Collateral/NZL5V6AXV3T1-D.PDF","ESD Protection Common Anode Diodes","AEC Qualified
Pb-free
Halide free","Active","ESD Protection Common Anode Diodes","General I/O","2","Unidirectional","-","5.32","3","5","50","SC-89-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZL7V5AXV3","NZL7V5AXV3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NZL7V5AXV3T1G","http://www.onsemi.com/pub/Collateral/NZL5V6AXV3T1-D.PDF","ESD Protection Common Anode Diodes","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Common Anode Diodes","General I/O","2","Unidirectional","32.6","7.12","5","1","75","SC-89-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZL7V5AXV3","SZNZL7V5AXV3T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZNZL7V5AXV3T1G","http://www.onsemi.com/pub/Collateral/NZL5V6AXV3T1-D.PDF","ESD Protection Common Anode Diodes","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Common Anode Diodes","General I/O","2","Unidirectional","32.6","7.12","5","1","75","SC-89-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZQA5V6A","NZQA5V6AXV5T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NZQA5V6AXV5T1G","http://www.onsemi.com/pub/Collateral/NZQA5V6AXV5 SERIES-D.PDF","Low Capacitance Transient Voltage Suppressor Array","AEC Qualified
Pb-free
Halide free","Active","Low Capacitance Transient Voltage Suppressor Array","General I/O","4","Unidirectional","11.5","5.3","3","1","20","SOT-553"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZQA6V8","NZQA6V8XV5T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NZQA6V8XV5T1G","http://www.onsemi.com/pub/Collateral/NZQA5V6XV5T1-D.PDF","Transient Voltage Suppressor, Quad Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Quad Array","General I/O","4","Unidirectional","70","6.46","4.3","0.1","100","SOT-553"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","NZQA6V8","SZQA6V8XV5T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZQA6V8XV5T1G","http://www.onsemi.com/pub/Collateral/NZQA5V6XV5T1-D.PDF","Transient Voltage Suppressor, Quad Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor, Quad Array","General I/O","4","Unidirectional","70","6.46","4.3","0.1","100","SOT-553"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACDN004","PACDN004SR","http://www.onsemi.cn/PowerSolutions/product.do?id=PACDN004SR","http://www.onsemi.com/pub/Collateral/PACDN004-D.PDF","ESD Protection Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Array","VGA","2","Unidirectional","5","-","5.5","1","0.225","SOT-123-4
SOT-143-4"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACDN004","SZPACDN004SR","http://www.onsemi.cn/PowerSolutions/product.do?id=SZPACDN004SR","http://www.onsemi.com/pub/Collateral/PACDN004-D.PDF","ESD Protection Array","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","ESD Protection Array","VGA","2","Unidirectional","5","-","5.5","1","0.225","SOT-123-4
SOT-143-4"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACDN009","PACDN009MR","http://www.onsemi.cn/PowerSolutions/product.do?id=PACDN009MR","http://www.onsemi.com/pub/Collateral/PACDN009-D.PDF","ESD Protection Array","Pb-free
Halide free","Active","ESD Protection Array","VGA","5","Unidirectional","5","-","5.5","1","0.2","Micro8™"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACDN1404","PACDN1404CG","http://www.onsemi.cn/PowerSolutions/product.do?id=PACDN1404CG","http://www.onsemi.com/pub/Collateral/PACDN1404-D.PDF","ESD Protection Array","Pb-free
Halide free","Active","ESD Protection Array","General I/O","4","Unidirectional","47","5.6","3.3","0.1","-","WLCSP-6"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACVGA105","PACVGA105QR","http://www.onsemi.cn/PowerSolutions/product.do?id=PACVGA105QR","http://www.onsemi.com/pub/Collateral/PACVGA105-D.PDF","ESD Protection Diodes, VGA Port Companion Circuit","Pb-free
Halide free","Active","ESD Protection Diodes, VGA Port Companion Circuit","VGA","7","Unidirectional","10","1.7","5.5","10","0.75","QSOP-16"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","PACVGA201","PACVGA201QR","http://www.onsemi.cn/PowerSolutions/product.do?id=PACVGA201QR","http://www.onsemi.com/pub/Collateral/PACVGA201-D.PDF","ESD Protection Diodes, VGA Port Companion Circuit","Pb-free
Halide free","Active","ESD Protection Diodes, VGA Port Companion Circuit","VGA","7","Unidirectional","4.5","6","5.5","10","0.75","QSOP-16"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SL12","SL12T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SL12T1G","http://www.onsemi.com/pub/Collateral/SL05T1-D.PDF","Transient Voltage Suppressor Low Capacitance, 12 V","AEC Qualified
Pb-free
Halide free","Active","Transient Voltage Suppressor Low Capacitance, 12 V","General I/O","1","Unidirectional","5","13.3","12","1","300","SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SL24","SL24T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SL24T1G","http://www.onsemi.com/pub/Collateral/SL05T1-D.PDF","Transient Voltage Suppressor Low Capacitance, 24 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor Low Capacitance, 24 V","General I/O","1","Unidirectional","5","26.7","24","1","300","SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SL24","SZSL24T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZSL24T1G","http://www.onsemi.com/pub/Collateral/SL05T1-D.PDF","Transient Voltage Suppressor Low Capacitance, 24 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","Transient Voltage Suppressor Low Capacitance, 24 V","General I/O","1","Unidirectional","5","26.7","24","1","300","SOT-23-3"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMDA12CDR","SMDA12CDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMDA12CDR2G","http://www.onsemi.com/pub/Collateral/SMDA05C-D.PDF","Bi-directional TVS Array for High Speed Data Line Protection 12V, 4 CHANNEL BIDIRECTIONAL","Pb-free
Halide free","Active","Bi-directional TVS Array for High Speed Data Line Protection 12V","General I/O","8","Bidirectional","120","13.3","12","1","300","SOIC-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMDA24","SMDA24CDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMDA24CDR2G","http://www.onsemi.com/pub/Collateral/SMDA05C-D.PDF","Bi-Directional Transient Voltage Suppressor Array for High Speed Data Line Protection, 4 CHANNEL BIDIRECTIONAL","Pb-free
Halide free","Active","Bi-Directional Transient Voltage Suppressor Array for High Speed Data Line Protection","General I/O","8","Bidirectional","50","26.7","24","1","300","SOIC-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SMS05T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMS05T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor, 5.0 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SMS12T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMS12T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor, 12 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SMS15T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMS15T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor, 15 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SMS24T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SMS24T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor, 24 V","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SZSMS05T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZSMS05T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SZSMS15T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZSMS15T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SMS05","SZSMS24T1G","http://www.onsemi.cn/PowerSolutions/product.do?id=SZSMS24T1G","http://www.onsemi.com/pub/Collateral/SMS05T1-D.PDF","SC-74 Transient Voltage Suppressor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","SC-74 Transient Voltage Suppressor","General I/O","4","Unidirectional","75
125
150
400","6
13.3
16.7
26.7","5
12
15
24","1
20","350","SC-74"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SRDA05-4","SRDA05-4R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=SRDA05-4R2G","http://www.onsemi.com/pub/Collateral/SRDA05-4R2-D.PDF","Low Capacitance Surface Mount Transient Voltage Suppressor for High Speed Data Interfaces","Pb-free","Active","Low Capacitance Surface Mount Transient Voltage Suppressor for High Speed Data Interfaces","T1/E1, T3/E3","4","Bidirectional","8","6","5","10","500","SOIC-8"
"on","ESD及EMI保护二极管及滤波器---ESD保护二极管及阵列","SSESD11B","SSESD11B5.0ST5G","http://www.onsemi.cn/PowerSolutions/product.do?id=SSESD11B5.0ST5G","http://www.onsemi.com/pub/Collateral/SSESD11B-D.PDF","Bi-Directional TVS in 0201-CSP, Mid-Capacitance Bi-Directional TVS Diode with Laminate","Pb-free
Halide free","Active","Bi-Directional TVS in 0201-CSP","General I/O","1","Bidirectional","13.5","5.8","5","1","52.5","DSN-2"
