"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Bits","Input Level","Output Level","VCC Typ (V)","tJitter Typ (ps)","tpd Typ (ns)","tsu Min (ns)","th Min (ns)","trec Typ (ns)","tR & tF Max (ps)","fToggle Typ (MHz)","Package Type"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP52","MC10EP52DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP52DG","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","1","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP52","MC10EP52DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP52DR2G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","1","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP52","MC10EP52DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP52DTG","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","1","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP52","MC10EP52DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP52DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","1","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP52","MC10EP52MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP52MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","1","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H135","MC10H135FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H135FNG","http://www.onsemi.com/pub/Collateral/MC10H135-D.PDF","Dual  Master-Slave JK Flip-Flop","Pb-free
Halide free","Active","Dual  Master-Slave JK Flip-Flop","JK-Type","2","ECL","ECL","-5.2",,"1.65","1.5","1",,"2200","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H135","MC10H135FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H135FNR2G","http://www.onsemi.com/pub/Collateral/MC10H135-D.PDF","Dual  Master-Slave JK Flip-Flop","Pb-free
Halide free","Active","Dual  Master-Slave JK Flip-Flop","JK-Type","2","ECL","ECL","-5.2",,"1.65","1.5","1",,"2200","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H135","MC10H135PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H135PG","http://www.onsemi.com/pub/Collateral/MC10H135-D.PDF","Dual  Master-Slave JK Flip-Flop","Pb-free
Halide free","Active","Dual  Master-Slave JK Flip-Flop","JK-Type","2","ECL","ECL","-5.2",,"1.65","1.5","1",,"2200","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H176","MC10H176FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H176FNG","http://www.onsemi.com/pub/Collateral/MC10H176-D.PDF","Hex Master-Slave D Flip-Flop","Pb-free
Halide free","Active","Hex Master-Slave D Flip-Flop","D-Type","6","ECL","ECL","-5.2",,"1.55","1.5","0.9",,"1900","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H176","MC10H176FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H176FNR2G","http://www.onsemi.com/pub/Collateral/MC10H176-D.PDF","Hex Master-Slave D Flip-Flop","Pb-free
Halide free","Active","Hex Master-Slave D Flip-Flop","D-Type","6","ECL","ECL","-5.2",,"1.55","1.5","0.9",,"1900","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10H176","MC10H176PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H176PG","http://www.onsemi.com/pub/Collateral/MC10H176-D.PDF","Hex Master-Slave D Flip-Flop","Pb-free
Halide free","Active","Hex Master-Slave D Flip-Flop","D-Type","6","ECL","ECL","-5.2",,"1.55","1.5","0.9",,"1900","250","PDIP-16
PLLC-20"
"on","时钟及数据分配---触发器、锁存器及寄存器","NB7V52M","NB7V52MMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7V52MMNG","http://www.onsemi.com/pub/Collateral/NB7V52M-D.PDF","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","Pb-free
Halide free","Active","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","D-Type","1","CML
ECL
LVDS","CML","1.8
2.5","0.2","0.2","0.04","0.05","0.2","50","12000","QFN-16"
"on","时钟及数据分配---触发器、锁存器及寄存器","NB7V52M","NB7V52MMNHTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7V52MMNHTBG","http://www.onsemi.com/pub/Collateral/NB7V52M-D.PDF","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","Pb-free
Halide free","Active","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","D-Type","1","CML
ECL
LVDS","CML","1.8
2.5","0.2","0.2","0.04","0.05","0.2","50","12000","QFN-16"
"on","时钟及数据分配---触发器、锁存器及寄存器","NB7V52M","NB7V52MMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7V52MMNTXG","http://www.onsemi.com/pub/Collateral/NB7V52M-D.PDF","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","Pb-free
Halide free","Active","D Flip Flop, 1.8 V / 2.5 V Differential, with Reset and CML Outputs","D-Type","1","CML
ECL
LVDS","CML","1.8
2.5","0.2","0.2","0.04","0.05","0.2","50","12000","QFN-16"
