"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---逻辑门","MC14011B","MC14011BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14011BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14011B","MC14011BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14011BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14011B","MC14011BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14011BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14011B","NLV14011BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14011BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14011B","NLV14011BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14011BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14011B","NLV14011BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14011BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate","NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14012B","MC14012BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14012BDG","http://www.onsemi.com/pub/Collateral/MC14012B-D.PDF","Dual 4-Input NAND Gates","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual 4-Input NAND Gates","NAND","2","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14012B","MC14012BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14012BDR2G","http://www.onsemi.com/pub/Collateral/MC14012B-D.PDF","Dual 4-Input NAND Gates","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual 4-Input NAND Gates","NAND","2","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14012B","NLV14012BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14012BDG","http://www.onsemi.com/pub/Collateral/MC14012B-D.PDF","Dual 4-Input NAND Gates","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual 4-Input NAND Gates","NAND","2","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14012B","NLV14012BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14012BDR2G","http://www.onsemi.com/pub/Collateral/MC14012B-D.PDF","Dual 4-Input NAND Gates","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual 4-Input NAND Gates","NAND","2","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14025B","MC14025BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14025BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Triple 3-Input NOR Gate","NOR","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14025B","MC14025BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14025BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Triple 3-Input NOR Gate","NOR","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14025B","NLV14025BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14025BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Triple 3-Input NOR Gate","NOR","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14025B","NLV14025BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14025BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input NOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Triple 3-Input NOR Gate","NOR","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14070B","MC14070BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14070BDG","http://www.onsemi.com/pub/Collateral/MC14070B-D.PDF","Quad XOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad XOR Gate","XOR
XOR/XNOR","4","3","18","150","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14070B","MC14070BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14070BDR2G","http://www.onsemi.com/pub/Collateral/MC14070B-D.PDF","Quad XOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad XOR Gate","XOR
XOR/XNOR","4","3","18","150","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14070B","NLV14070BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14070BDR2G","http://www.onsemi.com/pub/Collateral/MC14070B-D.PDF","Quad XOR Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad XOR Gate","XOR
XOR/XNOR","4","3","18","150","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14073B","MC14073BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14073BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input AND Gate","Pb-free
Halide free","Active","Triple 3-Input AND Gate","AND","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14073B","MC14073BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14073BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Triple 3-Input AND Gate","Pb-free
Halide free","Active","Triple 3-Input AND Gate","AND","3","3","18","130","2.25","SOIC-14"
"on","标准逻辑---逻辑门","MC14081B","MC14081BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14081BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14081B","MC14081BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14081BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14081B","MC14081BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14081BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14081B","NLV14081BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14081BDG","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14081B","NLV14081BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14081BDR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14081B","NLV14081BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14081BDTR2G","http://www.onsemi.com/pub/Collateral/MC14001B-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input AND Gate","AND
AND/NAND","4","3","18","130","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","MC14093BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14093BDG","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","MC14093BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14093BDR2G","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","MC14093BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14093BDTR2G","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","NLV14093BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14093BDG","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","NLV14093BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14093BDR2G","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14093B","NLV14093BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14093BDTR2G","http://www.onsemi.com/pub/Collateral/MC14093B-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","AND/NAND
NAND","4","3","18","100","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC14572UB","MC14572UBDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14572UBDG","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","SmartGate","6","3","18","100","2.25","SOIC-16"
"on","标准逻辑---逻辑门","MC14572UB","MC14572UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14572UBDR2G","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","SmartGate","6","3","18","100","2.25","SOIC-16"
"on","标准逻辑---逻辑门","MC14572UB","NLV14572UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14572UBDR2G","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","SmartGate","6","3","18","100","2.25","SOIC-16"
"on","标准逻辑---逻辑门","MC74AC00","MC74AC00DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC00DG","http://www.onsemi.com/pub/Collateral/MC74AC00-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free","Active","Quad 2-Input NAND Gate","NAND","4","2","6","8","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC00","MC74AC00DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC00DR2G","http://www.onsemi.com/pub/Collateral/MC74AC00-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free","Active","Quad 2-Input NAND Gate","NAND","4","2","6","8","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC00","MC74AC00DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC00DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC00-D.PDF","Quad 2-Input NAND Gate","Pb-free
Halide free","Active","Quad 2-Input NAND Gate","NAND","4","2","6","8","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC04","MC74AC04DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC04DG","http://www.onsemi.com/pub/Collateral/MC74AC04-D.PDF","Hex Inverter","Pb-free
Halide free","Active","Hex Inverter","Inverter","6","2","6","7","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC04","MC74AC04DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC04DR2G","http://www.onsemi.com/pub/Collateral/MC74AC04-D.PDF","Hex Inverter","Pb-free
Halide free","Active","Hex Inverter","Inverter","6","2","6","7","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC04","MC74AC04DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC04DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC04-D.PDF","Hex Inverter","Pb-free
Halide free","Active","Hex Inverter","Inverter","6","2","6","7","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC10","MC74AC10DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC10DG","http://www.onsemi.com/pub/Collateral/MC74AC10-D.PDF","Triple 3-Input NAND Gate","Pb-free
Halide free","Active","Triple 3-Input NAND Gate","NAND","3","2","6","7","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC10","MC74AC10DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC10DR2G","http://www.onsemi.com/pub/Collateral/MC74AC10-D.PDF","Triple 3-Input NAND Gate","Pb-free
Halide free","Active","Triple 3-Input NAND Gate","NAND","3","2","6","7","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC132","MC74AC132DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC132DG","http://www.onsemi.com/pub/Collateral/MC74AC132-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","NAND","4","2","6","9","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC132","MC74AC132DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC132DR2G","http://www.onsemi.com/pub/Collateral/MC74AC132-D.PDF","Quad 2-Input NAND Gate with Schmitt Trigger Input","Pb-free
Halide free","Active","Quad 2-Input NAND Gate with Schmitt Trigger Input","NAND","4","2","6","9","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC20","MC74AC20DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC20DG","http://www.onsemi.com/pub/Collateral/MC74AC20-D.PDF","Dual 4-Input NAND Gate","Pb-free
Halide free","Active","Dual 4-Input NAND Gate","NAND","2","2","6","7","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC20","MC74AC20DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC20DR2G","http://www.onsemi.com/pub/Collateral/MC74AC20-D.PDF","Dual 4-Input NAND Gate","Pb-free
Halide free","Active","Dual 4-Input NAND Gate","NAND","2","2","6","7","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74AC86","MC74AC86DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC86DG","http://www.onsemi.com/pub/Collateral/MC74AC86-D.PDF","Quad 2-Input Exclusive OR Gate","Pb-free
Halide free","Active","Quad 2-Input Exclusive OR Gate","XOR","4","2","6","8.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC86","MC74AC86DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC86DR2G","http://www.onsemi.com/pub/Collateral/MC74AC86-D.PDF","Quad 2-Input Exclusive OR Gate","Pb-free
Halide free","Active","Quad 2-Input Exclusive OR Gate","XOR","4","2","6","8.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74AC86","MC74AC86DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC86DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC86-D.PDF","Quad 2-Input Exclusive OR Gate","Pb-free
Halide free","Active","Quad 2-Input Exclusive OR Gate","XOR","4","2","6","8.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT02","MC74ACT02DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT02DG","http://www.onsemi.com/pub/Collateral/MC74AC02-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free","Active","Quad 2-Input NOR Gate","NOR","4","4.5","5.5","9.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT02","MC74ACT02DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT02DR2G","http://www.onsemi.com/pub/Collateral/MC74AC02-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free","Active","Quad 2-Input NOR Gate","NOR","4","4.5","5.5","9.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT02","MC74ACT02DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT02DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC02-D.PDF","Quad 2-Input NOR Gate","Pb-free
Halide free","Active","Quad 2-Input NOR Gate","NOR","4","4.5","5.5","9.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT08","MC74ACT08DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT08DG","http://www.onsemi.com/pub/Collateral/MC74AC08-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free","Active","Quad 2-Input AND Gate","AND","4","4.5","5.5","9","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT08","MC74ACT08DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT08DR2G","http://www.onsemi.com/pub/Collateral/MC74AC08-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free","Active","Quad 2-Input AND Gate","AND","4","4.5","5.5","9","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT08","MC74ACT08DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT08DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC08-D.PDF","Quad 2-Input AND Gate","Pb-free
Halide free","Active","Quad 2-Input AND Gate","AND","4","4.5","5.5","9","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT11","MC74ACT11DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT11DR2G","http://www.onsemi.com/pub/Collateral/MC74AC11-D.PDF","Triple 3-Input AND Gate","Pb-free
Halide free","Active","Triple 3-Input AND Gate","AND","3","4.5","5.5","9.5","24","SOIC-14"
"on","标准逻辑---逻辑门","MC74ACT14","MC74ACT14DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT14DG","http://www.onsemi.com/pub/Collateral/MC74AC14-D.PDF","Hex Inverter with Schmitt Trigger Input","Pb-free
Halide free","Active","Hex Inverter with Schmitt Trigger Input","Inverter","6","4.5","5.5","11.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT14","MC74ACT14DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT14DR2G","http://www.onsemi.com/pub/Collateral/MC74AC14-D.PDF","Hex Inverter with Schmitt Trigger Input","Pb-free
Halide free","Active","Hex Inverter with Schmitt Trigger Input","Inverter","6","4.5","5.5","11.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT14","MC74ACT14DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT14DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC14-D.PDF","Hex Inverter with Schmitt Trigger Input","Pb-free
Halide free","Active","Hex Inverter with Schmitt Trigger Input","Inverter","6","4.5","5.5","11.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---逻辑门","MC74ACT32","MC74ACT32DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74ACT32DG","http://www.onsemi.com/pub/Collateral/MC74AC32-D.PDF","Quad 2-Input OR Gate with TTL","Pb-free
Halide free","Active","Quad 2-Input OR Gate with TTL","OR","4","4.5","5.5","9","24","SOIC-14
TSSOP-14"
