"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tpd Typ (ns)","tR & tF Max (ps)","Package Type"
"on","时钟及数据分配---运算功能","MC100EP016A","MC100EP016AMNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP016AMNR4G","http://www.onsemi.com/pub/Collateral/MC100EP016A-D.PDF","ECL 8-Bit Synchronous Binary Counter","Pb-free
Halide free","Active","ECL 8-Bit Synchronous Binary Counter","Counter","CML
ECL","ECL","3.3","1400","0.55","320","LQFP-32
QFN-32"
"on","时钟及数据分配---运算功能","MC100EP32","MC100EP32DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP32DG","http://www.onsemi.com/pub/Collateral/MC10EP32-D.PDF","3.3 V / 5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.35","150","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EP32","MC100EP32DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP32DR2G","http://www.onsemi.com/pub/Collateral/MC10EP32-D.PDF","3.3 V / 5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.35","150","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EP32","MC100EP32DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP32DTG","http://www.onsemi.com/pub/Collateral/MC10EP32-D.PDF","3.3 V / 5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.35","150","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EP32","MC100EP32DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP32DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP32-D.PDF","3.3 V / 5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.35","150","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100EP32","MC100EP32MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP32MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP32-D.PDF","3.3 V / 5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.35","150","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL32","MC100LVEL32DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL32DG","http://www.onsemi.com/pub/Collateral/MC100LVEL32-D.PDF","3.3 V ECL ÷2 Divider","Pb-free
Halide free","Active","3.3 V ECL &divide;2 Divider","Divider","ECL
LVDS","ECL","3.3","2600","0.51","320","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL32","MC100LVEL32DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL32DR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL32-D.PDF","3.3 V ECL ÷2 Divider","Pb-free
Halide free","Active","3.3 V ECL &divide;2 Divider","Divider","ECL
LVDS","ECL","3.3","2600","0.51","320","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL32","MC100LVEL32DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL32DTG","http://www.onsemi.com/pub/Collateral/MC100LVEL32-D.PDF","3.3 V ECL ÷2 Divider","Pb-free
Halide free","Active","3.3 V ECL &divide;2 Divider","Divider","ECL
LVDS","ECL","3.3","2600","0.51","320","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL32","MC100LVEL32DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL32DTR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL32-D.PDF","3.3 V ECL ÷2 Divider","Pb-free
Halide free","Active","3.3 V ECL &divide;2 Divider","Divider","ECL
LVDS","ECL","3.3","2600","0.51","320","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL32","MC100LVEL32MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL32MNR4G","http://www.onsemi.com/pub/Collateral/MC100LVEL32-D.PDF","3.3 V ECL ÷2 Divider","Pb-free
Halide free","Active","3.3 V ECL &divide;2 Divider","Divider","ECL
LVDS","ECL","3.3","2600","0.51","320","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC100LVEL34","MC100LVEL34DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL34DG","http://www.onsemi.com/pub/Collateral/MC100LVEL34-D.PDF","3.3 V ECL ÷·2, ÷·4, ÷·8 Divider","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Divider","Divider","ECL
LVDS","ECL","3.3","1500","0.7","400","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEL34","MC100LVEL34DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL34DR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL34-D.PDF","3.3 V ECL ÷·2, ÷·4, ÷·8 Divider","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Divider","Divider","ECL
LVDS","ECL","3.3","1500","0.7","400","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEL34","MC100LVEL34DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL34DTG","http://www.onsemi.com/pub/Collateral/MC100LVEL34-D.PDF","3.3 V ECL ÷·2, ÷·4, ÷·8 Divider","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Divider","Divider","ECL
LVDS","ECL","3.3","1500","0.7","400","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEL34","MC100LVEL34DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL34DTR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL34-D.PDF","3.3 V ECL ÷·2, ÷·4, ÷·8 Divider","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Divider","Divider","ECL
LVDS","ECL","3.3","1500","0.7","400","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEL38","MC100LVEL38DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL38DWG","http://www.onsemi.com/pub/Collateral/MC100LVEL38-D.PDF","3.3 V ECL ÷·2, ÷·4/6 Clock Generator Chip","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4/6 Clock Generator Chip","Divider","ECL
HSTL","ECL","3.3","1200","0.95","550","SOIC-20W"
"on","时钟及数据分配---运算功能","MC100LVEL38","MC100LVEL38DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL38DWR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL38-D.PDF","3.3 V ECL ÷·2, ÷·4/6 Clock Generator Chip","Pb-free
Halide free","Active","3.3 V ECL &#247;·2, &#247;·4/6 Clock Generator Chip","Divider","ECL
HSTL","ECL","3.3","1200","0.95","550","SOIC-20W"
"on","时钟及数据分配---运算功能","MC100LVEP34","MC100LVEP34DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEP34DG","http://www.onsemi.com/pub/Collateral/MC100LVEP34-D.PDF","2.5 V / 3.3 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","2.5 V / 3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","CML
ECL
LVDS","ECL","2.5
3.3","2800","0.7","200","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEP34","MC100LVEP34DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEP34DR2G","http://www.onsemi.com/pub/Collateral/MC100LVEP34-D.PDF","2.5 V / 3.3 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","2.5 V / 3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","CML
ECL
LVDS","ECL","2.5
3.3","2800","0.7","200","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEP34","MC100LVEP34DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEP34DTG","http://www.onsemi.com/pub/Collateral/MC100LVEP34-D.PDF","2.5 V / 3.3 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","2.5 V / 3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","CML
ECL
LVDS","ECL","2.5
3.3","2800","0.7","200","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC100LVEP34","MC100LVEP34DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEP34DTR2G","http://www.onsemi.com/pub/Collateral/MC100LVEP34-D.PDF","2.5 V / 3.3 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","2.5 V / 3.3 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","CML
ECL
LVDS","ECL","2.5
3.3","2800","0.7","200","SOIC-16
TSSOP-16"
"on","时钟及数据分配---运算功能","MC10E136","MC10E136FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E136FNG","http://www.onsemi.com/pub/Collateral/MC10E136-D.PDF","ECL 6-Bit Universal Up/Down Counter","Pb-free
Halide free","Active","ECL 6-Bit Universal Up/Down Counter","Counter","ECL","ECL","5","650","1.15","600","PLCC-28"
"on","时钟及数据分配---运算功能","MC10E136","MC10E136FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E136FNR2G","http://www.onsemi.com/pub/Collateral/MC10E136-D.PDF","ECL 6-Bit Universal Up/Down Counter","Pb-free
Halide free","Active","ECL 6-Bit Universal Up/Down Counter","Counter","ECL","ECL","5","650","1.15","600","PLCC-28"
"on","时钟及数据分配---运算功能","MC10EL32","MC10EL32DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL32DG","http://www.onsemi.com/pub/Collateral/MC10EL32-D.PDF","5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·2 Divider","Divider","ECL","ECL","5","3000","0.51","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EL32","MC10EL32DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL32DR2G","http://www.onsemi.com/pub/Collateral/MC10EL32-D.PDF","5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·2 Divider","Divider","ECL","ECL","5","3000","0.51","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EL32","MC10EL32DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL32DTG","http://www.onsemi.com/pub/Collateral/MC10EL32-D.PDF","5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·2 Divider","Divider","ECL","ECL","5","3000","0.51","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EL32","MC10EL32DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL32DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL32-D.PDF","5.0 V ECL ÷·2 Divider","Pb-free
Halide free","Active","5.0 V ECL &#247;·2 Divider","Divider","ECL","ECL","5","3000","0.51","350","SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EL34","MC10EL34DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL34DG","http://www.onsemi.com/pub/Collateral/MC10EL34-D.PDF","5.0 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","5.0 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","ECL","ECL","5","1100","1.08","475","SOIC-16"
"on","时钟及数据分配---运算功能","MC10EL34","MC10EL34DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL34DR2G","http://www.onsemi.com/pub/Collateral/MC10EL34-D.PDF","5.0 V ECL ÷·2, ÷·4, ÷·8 Clock Generation Chip","Pb-free
Halide free","Active","5.0 V ECL &#247;·2, &#247;·4, &#247;·8 Clock Generation Chip","Divider","ECL","ECL","5","1100","1.08","475","SOIC-16"
"on","时钟及数据分配---运算功能","MC10EP139","MC10EP139DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP139DTG","http://www.onsemi.com/pub/Collateral/MC10EP139-D.PDF","3.3 V / 5.0 V ECL ÷·2/4, ÷·4/5/6 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2/4, &#247;·4/5/6 Divider","Divider","CML
ECL","ECL","3.3
5","1000","0.75","250","SOIC-20W
TSSOP-20"
"on","时钟及数据分配---运算功能","MC10EP139","MC10EP139DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP139DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP139-D.PDF","3.3 V / 5.0 V ECL ÷·2/4, ÷·4/5/6 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2/4, &#247;·4/5/6 Divider","Divider","CML
ECL","ECL","3.3
5","1000","0.75","250","SOIC-20W
TSSOP-20"
"on","时钟及数据分配---运算功能","MC10EP139","MC10EP139DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP139DWG","http://www.onsemi.com/pub/Collateral/MC10EP139-D.PDF","3.3 V / 5.0 V ECL ÷·2/4, ÷·4/5/6 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2/4, &#247;·4/5/6 Divider","Divider","CML
ECL","ECL","3.3
5","1000","0.75","250","SOIC-20W
TSSOP-20"
"on","时钟及数据分配---运算功能","MC10EP139","MC10EP139DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP139DWR2G","http://www.onsemi.com/pub/Collateral/MC10EP139-D.PDF","3.3 V / 5.0 V ECL ÷·2/4, ÷·4/5/6 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·2/4, &#247;·4/5/6 Divider","Divider","CML
ECL","ECL","3.3
5","1000","0.75","250","SOIC-20W
TSSOP-20"
"on","时钟及数据分配---运算功能","MC10EP33","MC10EP33DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP33DG","http://www.onsemi.com/pub/Collateral/MC10EP33-D.PDF","3.3 V / 5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·4 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.38","200","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EP33","MC10EP33DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP33DR2G","http://www.onsemi.com/pub/Collateral/MC10EP33-D.PDF","3.3 V / 5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·4 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.38","200","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EP33","MC10EP33DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP33DTG","http://www.onsemi.com/pub/Collateral/MC10EP33-D.PDF","3.3 V / 5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·4 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.38","200","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EP33","MC10EP33DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP33DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP33-D.PDF","3.3 V / 5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·4 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.38","200","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10EP33","MC10EP33MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP33MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP33-D.PDF","3.3 V / 5.0 V ECL ÷·4 Divider","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL &#247;·4 Divider","Divider","CML
ECL","ECL","3.3
5","4000","0.38","200","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---运算功能","MC10H136","MC10H136FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H136FNG","http://www.onsemi.com/pub/Collateral/MC10H136-D.PDF","Universal Hexidecimal Counter","Pb-free
Halide free","Active","Universal Hexidecimal Counter","Counter","ECL","ECL","-5.2","250","1.5","2300","PDIP-16
PLLC-20"
"on","时钟及数据分配---运算功能","MC10H136","MC10H136FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H136FNR2G","http://www.onsemi.com/pub/Collateral/MC10H136-D.PDF","Universal Hexidecimal Counter","Pb-free
Halide free","Active","Universal Hexidecimal Counter","Counter","ECL","ECL","-5.2","250","1.5","2300","PDIP-16
PLLC-20"
"on","时钟及数据分配---运算功能","MC10H136","MC10H136PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H136PG","http://www.onsemi.com/pub/Collateral/MC10H136-D.PDF","Universal Hexidecimal Counter","Pb-free
Halide free","Active","Universal Hexidecimal Counter","Counter","ECL","ECL","-5.2","250","1.5","2300","PDIP-16
PLLC-20"
"on","时钟及数据分配---运算功能","MC12080","MC12080DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC12080DG","http://www.onsemi.com/pub/Collateral/MC12080-D.PDF","1.1 GHz Prescaler","Pb-free
Halide free","Active","1.1 GHz Prescaler","Prescaler","ECL","ECL","5","1100",,,"SOIC-8"
"on","时钟及数据分配---运算功能","MC12080","MC12080DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC12080DR2G","http://www.onsemi.com/pub/Collateral/MC12080-D.PDF","1.1 GHz Prescaler","Pb-free
Halide free","Active","1.1 GHz Prescaler","Prescaler","ECL","ECL","5","1100",,,"SOIC-8"
"on","时钟及数据分配---运算功能","NB4L339","NB4L339MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB4L339MNG","http://www.onsemi.com/pub/Collateral/NB4L339-D.PDF","2.5 V / 3.3 V Clock Distribution IC for SONET/SDH","Pb-free
Halide free","Active","2.5 V / 3.3 V Clock Distribution IC for SONET/SDH","Divider","CML
ECL
LVDS","ECL","2.5
3.3","700","1.3","250","QFN-32"
"on","时钟及数据分配---运算功能","NB4L339","NB4L339MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB4L339MNR4G","http://www.onsemi.com/pub/Collateral/NB4L339-D.PDF","2.5 V / 3.3 V Clock Distribution IC for SONET/SDH","Pb-free
Halide free","Active","2.5 V / 3.3 V Clock Distribution IC for SONET/SDH","Divider","CML
ECL
LVDS","ECL","2.5
3.3","700","1.3","250","QFN-32"
"on","时钟及数据分配---运算功能","NB6N239S","NB6N239SMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB6N239SMNG","http://www.onsemi.com/pub/Collateral/NB6N239S-D.PDF","3.3 V Any Differential Clock to LVDS, ÷·1/2/4/8 and ÷·2/4/8/16 Clock Divider","Pb-free
Halide free","Active","3.3 V Any Differential Clock to LVDS, &#247;·1/2/4/8 and &#247;·2/4/8/16 Clock Divider","Divider","CML
CMOS
ECL
LVDS","LVDS","3.3","3000","0.665","190","QFN-16"
"on","时钟及数据分配---运算功能","NB6N239S","NB6N239SMNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB6N239SMNR2G","http://www.onsemi.com/pub/Collateral/NB6N239S-D.PDF","3.3 V Any Differential Clock to LVDS, ÷·1/2/4/8 and ÷·2/4/8/16 Clock Divider","Pb-free
Halide free","Active","3.3 V Any Differential Clock to LVDS, &#247;·1/2/4/8 and &#247;·2/4/8/16 Clock Divider","Divider","CML
CMOS
ECL
LVDS","LVDS","3.3","3000","0.665","190","QFN-16"
"on","时钟及数据分配---运算功能","NB7N017M","NB7N017MMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7N017MMNG","http://www.onsemi.com/pub/Collateral/NB7N017M-D.PDF","8-bit Divider with CML Output","Pb-free
Halide free","Active","8-bit Divider with CML Output","Divider","CML
CMOS
ECL
LVDS","CML","3.3","3500","0.515","65","QFN-52"
"on","时钟及数据分配---运算功能","NB7N017M","NB7N017MMNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7N017MMNR2G","http://www.onsemi.com/pub/Collateral/NB7N017M-D.PDF","8-bit Divider with CML Output","Pb-free
Halide free","Active","8-bit Divider with CML Output","Divider","CML
CMOS
ECL
LVDS","CML","3.3","3500","0.515","65","QFN-52"
"on","时钟及数据分配---运算功能","NB7V33M","NB7V33MMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7V33MMNG","http://www.onsemi.com/pub/Collateral/NB7V33M-D.PDF","Clock Divider, ÷4, 10 GHz, 1.8 V / 2.5 V, with CML Outputs","Pb-free
Halide free","Active","Clock Divider, &divide;4, 10 GHz, 1.8 V / 2.5 V, with CML Outputs","Divider","CML
ECL
LVDS","CML","1.8
2.5","11000","0.2","60","QFN-16"
"on","时钟及数据分配---运算功能","NB7V33M","NB7V33MMNHTBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB7V33MMNHTBG","http://www.onsemi.com/pub/Collateral/NB7V33M-D.PDF","Clock Divider, ÷4, 10 GHz, 1.8 V / 2.5 V, with CML Outputs","Pb-free
Halide free","Active","Clock Divider, &divide;4, 10 GHz, 1.8 V / 2.5 V, with CML Outputs","Divider","CML
ECL
LVDS","CML","1.8
2.5","11000","0.2","60","QFN-16"
