"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash---Serial NOR Flash","MX25L25635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25635F","http://www.macronix.com/Lists/Datasheet/Attachments/2536/MX25L25635F, 3V, 256Mb, v1.4.pdf","256Mb","Production, for new design","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25639F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25639F","http://www.macronix.com/Lists/Datasheet/Attachments/2503/MX25L25639F, 3V, 256Mb, v1.1.pdf","256Mb","Production","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x4)","8x6mm 8-WSON 3.4X4.3EP","-25℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25655F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L25655F","-","256Mb","Production","2.7V-3.6V","H/W Reset Permanent Lock QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L25735F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25735F","http://www.macronix.com/Lists/Datasheet/Attachments/2498/MX25L25735F, 3V, 256Mb, v1.2.pdf","256Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25635E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25635E","http://www.macronix.com/Lists/Datasheet/Attachments/2477/MX25L25635E, 3V, 256Mb, v1.3.pdf","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold H/W Reset","80(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25655E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L25655E","-","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold H/W Reset Permanent Lock","80(x1) 70(x2, x4)","300mil 16-SOP  6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L25735E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25735E","http://www.macronix.com/Lists/Datasheet/Attachments/2478/MX25L25735E, 3V, 256Mb, v1.2.pdf","256Mb","Production, not for new design","2.7V-3.6V","H/W Hold","80(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25835E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25835E","http://www.macronix.com/Lists/Datasheet/Attachments/2615/MX25L25835E, 3V, 256Mb, v1.0.pdf","256Mb","EOL issued","2.7V-3.6V","H/W Hold H/W Reset","104(x1) 70(x2, x4)","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L25855E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L25855E","-","256Mb","EOL issued","2.7V-3.6V","Permanent Lock","86(x1) 70(x2, x4)","6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25U25635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U25635F","http://www.macronix.com/Lists/Datasheet/Attachments/2561/MX25U25635F, 1.8V, 256Mb, v1.3.pdf","256Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 8x6mm 8-WSON 8x6mm 8-WSON 3.4X4.3EP WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12835F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12835F","http://www.macronix.com/Lists/Datasheet/Attachments/2631/MX25L12835F, 3V, 128Mb, v1.5.pdf","128Mb","Production, for new design","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12839F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12839F","http://www.macronix.com/Lists/Datasheet/Attachments/2502/MX25L12839F, 3V, 128Mb, v1.1.pdf","128Mb","Production","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x4)","6x5mm 8-WSON","-25℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12845G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12845G","http://www.macronix.com/Lists/Datasheet/Attachments/2632/MX25L12845G, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","DTR H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12850F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12850F","http://www.macronix.com/Lists/Datasheet/Attachments/2548/MX25L12850F, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","Default 4 x I/O RPMC Suspend/Resume Unique ID","84(x1, x2, x4)","200mil 8-SOP 300mil 8-PDIP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12855F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L12855F","-","128Mb","Production","2.7V-3.6V","H/W Reset Permanent Lock QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L12865F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12865F","http://www.macronix.com/Lists/Datasheet/Attachments/2562/MX25L12865F, 3V, 128Mb, v1.0.pdf","128Mb","Production","2.7V-3.6V","H/W Hold H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12873F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12873F","http://www.macronix.com/Lists/Datasheet/Attachments/2500/MX25L12873F, 3V, 128Mb, v1.1.pdf","128Mb","Production","2.7V-3.6V","Default 4 x I/O QPI Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12836E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12836E","http://www.macronix.com/Lists/Datasheet/Attachments/2488/MX25L12836E, 3V, 128Mb, v1.7.pdf","128Mb","Production, not for new design","2.7V-3.6V","-","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12845E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12845E","http://www.macronix.com/Lists/Datasheet/Attachments/2497/MX25L12845E, 3V, 128Mb, v1.9.pdf","128Mb","Production, not for new design","2.7V-3.6V","DTR","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12855E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L12855E","-","128Mb","Production, not for new design","2.7V-3.6V","DTR Permanent Lock","104(x1) 70(x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L12865E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12865E","http://www.macronix.com/Lists/Datasheet/Attachments/2475/MX25L12865E, 3V, 128Mb, v1.4.pdf","128Mb","Production, not for new design","2.7V-3.6V","DTR H/W Hold","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12875F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12875F","http://www.macronix.com/Lists/Datasheet/Attachments/2499/MX25L12875F, 3V, 128Mb, v1.1.pdf","128Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O H/W Reset QPI Suspend/Resume","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25U12835F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U12835F","http://www.macronix.com/Lists/Datasheet/Attachments/2522/MX25U12835F, 1.8V, 128Mb, v1.4.pdf","128Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2) 133(x4)","300mil 16-SOP 6x5mm 8-WSON 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12805D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12805D","http://www.macronix.com/Lists/Datasheet/Attachments/2465/MX25L12805D, 3V, 128Mb, v1.2.pdf","128Mb","End of Life","2.7V-3.6V","-","50","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L12835E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L12835E","http://www.macronix.com/Lists/Datasheet/Attachments/2479/MX25L12835E, 3V, 128Mb, v1.3.pdf","128Mb","End of Life","2.7V-3.6V","H/W Hold H/W Reset","104(x1) 70(x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25R6435F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R6435F","http://www.macronix.com/Lists/Datasheet/Attachments/2655/MX25R6435F, Wide Range, 64Mb, v1.1.pdf","64Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","80(x1, x2, x4)","200mil 8-SOP 4x4mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6433F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6433F","http://www.macronix.com/Lists/Datasheet/Attachments/2559/MX25L6433F, 3V, 64Mb, v1.3.pdf","64Mb","Production, for new design","2.65V-3.6V","H/W Hold Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA(4x6)","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6408E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6408E","http://www.macronix.com/Lists/Datasheet/Attachments/2515/MX25L6408E, 3V, 64Mb, v1.4.pdf","64Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6435E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6435E","http://www.macronix.com/Lists/Datasheet/Attachments/2531/MX25L6435E, 3V, 64Mb, v1.6.pdf","64Mb","Production","2.7V-3.6V","H/W Hold Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA 8x6mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6439E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6439E","http://www.macronix.com/Lists/Datasheet/Attachments/2501/MX25L6439E, 3V, 64Mb, v1.2.pdf","64Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","104(x1, x4)","200mil 8-SOP 200mil 8-VSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6456F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6456F","-","64Mb","Production","2.65V-3.6V","H/W Hold Permanent Lock Suspend/Resume Unique ID","120(x1, x2, x4)","200mil 8-SOP 6x8mm 24-TFBGA(4x6) 6x8mm 24-TFBGA(5x5)","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L6473E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6473E","http://www.macronix.com/Lists/Datasheet/Attachments/2628/MX25L6473E, 3V, 64Mb, v1.4.pdf","64Mb","Production","2.7V-3.6V","Default 4 x I/O Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 200mil 8-VSOP 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6473F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6473F","http://www.macronix.com/Lists/Datasheet/Attachments/2553/MX25L6473F, 3V, 64Mb, v1.1.pdf","64Mb","Production","2.65V-3.6V","Default 4 x I/O Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6406E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6406E","http://www.macronix.com/Lists/Datasheet/Attachments/2541/MX25L6406E, 3V, 64Mb, v1.9.pdf","64Mb","Production, not for new design","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","200mil 8-SOP 200mil 8-VSOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6436E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6436E","http://www.macronix.com/Lists/Datasheet/Attachments/2487/MX25L6436E, 3V, 64Mb, v2.0.pdf","64Mb","Production, not for new design","2.7V-3.6V","-","104(x1) 70(x2) 75(x4)","200mi 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6445E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6445E","http://www.macronix.com/Lists/Datasheet/Attachments/2474/MX25L6445E, 3V, 64Mb, v1.8.pdf","64Mb","Production, not for new design","2.7V-3.6V","DTR","104(x1) 70(x2, x4)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6455E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6455E","-","64Mb","Production, not for new design","2.7V-3.6V","DTR Permanent Lock","104(x1) 70(x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L6456E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6456E","-","64Mb","Production, not for new design","2.7V-3.6V","H/W Hold Permanent Lock","104(x1, x4) 86(x2)","200mil 8-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L6465E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6465E","http://www.macronix.com/Lists/Datasheet/Attachments/2476/MX25L6465E, 3V, 64Mb, v1.4.pdf","64Mb","Production, not for new design","2.7V-3.6V","DTR H/W Hold","104(x1) 70(x2, x4)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6475E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6475E","http://www.macronix.com/Lists/Datasheet/Attachments/2504/MX25L6475E, 3V, 64Mb, v1.1.pdf","64Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O H/W Hold","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25U6435F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6435F","http://www.macronix.com/Lists/Datasheet/Attachments/2527/MX25U6435F, 1.8V, 64Mb, v1.4.pdf","64Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25U6473F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6473F","http://www.macronix.com/Lists/Datasheet/Attachments/2564/MX25U6473F, 1.8V, 64Mb, v1.0.pdf","64Mb","Production","1.65V-2V","Default 4 x I/O QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6405","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6405","http://www.macronix.com/Lists/Datasheet/Attachments/2454/MX25L6405, 3V, 64Mb, v1.3.pdf","64Mb","End of Life","2.7V-3.6V","-","50","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6405D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6405D","http://www.macronix.com/Lists/Datasheet/Attachments/2453/MX25L6405D, 3V, 64Mb, v1.5.pdf","64Mb","End of Life","2.7V-3.6V","-","86(x1) 50(x2)","300mil 16-SOP 8x6mm 8-WSON  ","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L6408D","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6408D","http://www.macronix.com/Lists/Datasheet/Attachments/2493/MX25L6408D, 3V, 64Mb, v1.0.pdf","64Mb","End of Life","2.7V-3.6V","-","86(x1) 50(x2)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25U6435E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6435E","http://www.macronix.com/Lists/Datasheet/Attachments/2511/MX25U6435E, 1.8V, 64Mb, v1.5.pdf","64Mb","End of Life","1.65V-2V","QPI Suspend/Resume","104(x1, x4) 84(x2)","6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25R3235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R3235F","http://www.macronix.com/Lists/Datasheet/Attachments/2654/MX25R3235F, Wide Range, 32Mb, v1.2.pdf","32Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","80(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 4x3mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3233F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3233F","http://www.macronix.com/Lists/Datasheet/Attachments/2560/MX25L3233F, 3V, 32Mb, v1.2.pdf","32Mb","Production, for new design","2.65V-3.6V","H/W Hold Suspend/Resume Unique ID","133(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 300mil 16-SOP 4x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3208E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3208E","http://www.macronix.com/Lists/Datasheet/Attachments/2519/MX25L3208E, 3V, 32Mb, v1.2.pdf","32Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3235E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3235E","http://www.macronix.com/Lists/Datasheet/Attachments/2530/MX25L3235E, 3V, 32Mb, v1.6.pdf","32Mb","Production","2.7V-3.6V","H/W Hold Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3239E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3239E","http://www.macronix.com/Lists/Datasheet/Attachments/2507/MX25L3239E, 3V, 32Mb, v1.3.pdf","32Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","104(x1, x4)","200mil 8-SOP 200mil 8-VSOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3255E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L3255E","-","32Mb","Production","2.7V-3.6V","H/W Hold Permanent Lock Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Serial NOR Flash","MX25L3273E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3273E","http://www.macronix.com/Lists/Datasheet/Attachments/2506/MX25L3273E, 3V, 32Mb, v1.1.pdf","32Mb","Production","2.7V-3.6V","Default 4 x I/O Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 200mil 8-VSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Serial NOR Flash","MX25L3273F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3273F","http://www.macronix.com/Lists/Datasheet/Attachments/2546/MX25L3273F, 3V, 32Mb, v1.0.pdf","32Mb","Production","2.65V-3.6V","Default 4 x I/O Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP","-40℃ to +85℃"," "
