"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","No. of  Tx","No. of  Rx","Data Rate  (kbps)","VCC (V)","Typ. ICC  (mA)","ESD  (kV)","Term","Supported  Protocols"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510","SP510EM-L","http://www.exar.com/common/content/document.ashx?id=20025&languageid=1033&type=datasheet&part=sp510","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510/","Ultra High Speed 52Mbps, 8 Channel Multi-Protocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP510","SP510EM-L/TR","http://www.exar.com/common/content/document.ashx?id=20025&languageid=1033&type=datasheet&part=sp510","http://www.exar.com/connectivity/transceiver/multiprotocol/sp510/","Ultra High Speed 52Mbps, 8 Channel Multi-Protocol Transceiver","8","8","52000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36, X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505B","SP505BCF","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505b","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505b/","WAN Multi-Mode Serial Transceiver","7","7","16000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505B","SP505BCF-L","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505b","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505b/","WAN Multi-Mode Serial Transceiver","7","7","16000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP505B","SP505BCM-L","http://www.exar.com/common/content/document.ashx?id=743&languageid=1033&type=datasheet&part=sp505b","http://www.exar.com/connectivity/transceiver/multiprotocol/sp505b/","WAN Multi-Mode Serial Transceiver","7","7","16000","5","-","2","V.35, V.11","RS232, RS449,EIA530, ,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP3508","SP3508CF","http://www.exar.com/common/content/document.ashx?id=762&languageid=1033&type=datasheet&part=sp3508","http://www.exar.com/connectivity/transceiver/multiprotocol/sp3508/","Rugged 3.3V, 20Mbps, 8 Channel Multiprotocol Transceiver with Programmable DCE/DTE and Termination Resistors","8","8","20000","3.3","-","4","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP3508","SP3508CF-L","http://www.exar.com/common/content/document.ashx?id=762&languageid=1033&type=datasheet&part=sp3508","http://www.exar.com/connectivity/transceiver/multiprotocol/sp3508/","Rugged 3.3V, 20Mbps, 8 Channel Multiprotocol Transceiver with Programmable DCE/DTE and Termination Resistors","8","8","20000","3.3","-","4","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP3508","SP3508EB","http://www.exar.com/common/content/document.ashx?id=762&languageid=1033&type=datasheet&part=sp3508","http://www.exar.com/connectivity/transceiver/multiprotocol/sp3508/","Rugged 3.3V, 20Mbps, 8 Channel Multiprotocol Transceiver with Programmable DCE/DTE and Termination Resistors","8","8","20000","3.3","-","4","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP3508","SP3508EF","http://www.exar.com/common/content/document.ashx?id=762&languageid=1033&type=datasheet&part=sp3508","http://www.exar.com/connectivity/transceiver/multiprotocol/sp3508/","Rugged 3.3V, 20Mbps, 8 Channel Multiprotocol Transceiver with Programmable DCE/DTE and Termination Resistors","8","8","20000","3.3","-","4","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP3508","SP3508EF-L","http://www.exar.com/common/content/document.ashx?id=762&languageid=1033&type=datasheet&part=sp3508","http://www.exar.com/connectivity/transceiver/multiprotocol/sp3508/","Rugged 3.3V, 20Mbps, 8 Channel Multiprotocol Transceiver with Programmable DCE/DTE and Termination Resistors","8","8","20000","3.3","-","4","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP338","SP338ECR1-L","http://www.exar.com/common/content/document.ashx?id=20834&languageid=1033&type=datasheet&part=sp338","http://www.exar.com/connectivity/transceiver/multiprotocol/sp338/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/2","5/4","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP338","SP338ECR1-L/TR","http://www.exar.com/common/content/document.ashx?id=20834&languageid=1033&type=datasheet&part=sp338","http://www.exar.com/connectivity/transceiver/multiprotocol/sp338/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/2","5/4","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP338","SP338EER1-0A-EB","http://www.exar.com/common/content/document.ashx?id=20834&languageid=1033&type=datasheet&part=sp338","http://www.exar.com/connectivity/transceiver/multiprotocol/sp338/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/2","5/4","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP338","SP338EER1-L","http://www.exar.com/common/content/document.ashx?id=20834&languageid=1033&type=datasheet&part=sp338","http://www.exar.com/connectivity/transceiver/multiprotocol/sp338/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/2","5/4","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP338","SP338EER1-L/TR","http://www.exar.com/common/content/document.ashx?id=20834&languageid=1033&type=datasheet&part=sp338","http://www.exar.com/connectivity/transceiver/multiprotocol/sp338/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/2","5/4","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP508E","SP508ECF-L","http://www.exar.com/common/content/document.ashx?id=21156&languageid=1033&type=datasheet&part=sp508e","http://www.exar.com/connectivity/transceiver/multiprotocol/sp508e/","Rugged 20Mbps, 8 Channel Multi-Protocol Transceiver with Programmable DCE/DTE and Termination Resistor","8","8","20000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP508E","SP508EEF-L","http://www.exar.com/common/content/document.ashx?id=21156&languageid=1033&type=datasheet&part=sp508e","http://www.exar.com/connectivity/transceiver/multiprotocol/sp508e/","Rugged 20Mbps, 8 Channel Multi-Protocol Transceiver with Programmable DCE/DTE and Termination Resistor","8","8","20000","5","-","15","Complete","RS232, RS449,EIA530, EIA530A,V.10, V.11, V.28, V.35, V.36,X.21"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBCT-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBCT-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBCY-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBCY-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBET-0A-EB","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBET-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBET-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBEY-0A-EB","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBEY-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EBEY-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUCT-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUCT-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUCY-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUCY-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUET-0A-EB","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUET-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUET-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUEY-0A-EB","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUEY-L","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP337","SP337EUEY-L/TR","http://www.exar.com/common/content/document.ashx?id=20607&languageid=1033&type=datasheet&part=sp337","http://www.exar.com/connectivity/transceiver/multiprotocol/sp337/","3.3V to 5V Programmable RS-232/RS-485/RS-422 Serial Transceiver","3/2","5/2","250k, 1M/10M","3.3 to 5","1.5/7.0","15","-","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP339","SP339ECR1-L","http://www.exar.com/common/content/document.ashx?id=20795&languageid=1033&type=datasheet&part=sp339","http://www.exar.com/connectivity/transceiver/multiprotocol/sp339/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/1","5/1","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP339","SP339ECR1-L/TR","http://www.exar.com/common/content/document.ashx?id=20795&languageid=1033&type=datasheet&part=sp339","http://www.exar.com/connectivity/transceiver/multiprotocol/sp339/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/1","5/1","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP339","SP339EER1-0A-EB","http://www.exar.com/common/content/document.ashx?id=20795&languageid=1033&type=datasheet&part=sp339","http://www.exar.com/connectivity/transceiver/multiprotocol/sp339/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/1","5/1","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP339","SP339EER1-L","http://www.exar.com/common/content/document.ashx?id=20795&languageid=1033&type=datasheet&part=sp339","http://www.exar.com/connectivity/transceiver/multiprotocol/sp339/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/1","5/1","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
