"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","No. of  Tx","No. of  Rx","Data Rate  (kbps)","ESD  (kV)","VCC  MIN.  (V)","VCC  MAX.  (V)","VCC (V)","Int. Chrg.  Pump","No. of  Ext  Caps","Nom  Cap.  Value  (µF)","Shutdown","TTL  Tri-state"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EBER-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EBERTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EHCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EHCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EUCR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32430","XR32430EUCRTR-F","http://www.exar.com/common/content/document.ashx?id=21630&languageid=1033&type=datasheet&part=xr32430","http://www.exar.com/connectivity/transceiver/rs232/xr32430/","3-Driver/5-Receiver Intelligent RS-232 Transceiver","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32330","XR32330EBER-F","http://www.exar.com/common/content/document.ashx?id=21660&languageid=1033&type=datasheet&part=xr32330","http://www.exar.com/connectivity/transceiver/rs232/xr32330/","3-Driver/3-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","3","250","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32330","XR32330EBERTR-F","http://www.exar.com/common/content/document.ashx?id=21660&languageid=1033&type=datasheet&part=xr32330","http://www.exar.com/connectivity/transceiver/rs232/xr32330/","3-Driver/3-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","3","3","250","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECA","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECA/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECA-L","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECA-L/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECY","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECY/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECY-L","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249ECY-L/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEA","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEA/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEA-L","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEA-L/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEY","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEY/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEY-L","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3249E","SP3249EEY-L/TR","http://www.exar.com/common/content/document.ashx?id=687&languageid=1033&type=datasheet&part=sp3249e","http://www.exar.com/connectivity/transceiver/rs232/sp3249e/","Intelligent +3.0V to +5.5V RS-232 Transceivers","5","3","250","15","3","5.5","3.3","▪","4","0.1","▪","-"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32220","XR32220EBER-L","http://www.exar.com/common/content/document.ashx?id=21629&languageid=1033&type=datasheet&part=xr32220","http://www.exar.com/connectivity/transceiver/rs232/xr32220/","2-Driver/2-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","2","2","1000","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32220","XR32220EBER-L/TR","http://www.exar.com/common/content/document.ashx?id=21629&languageid=1033&type=datasheet&part=xr32220","http://www.exar.com/connectivity/transceiver/rs232/xr32220/","2-Driver/2-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","2","2","1000","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32220","XR32220EUER-L","http://www.exar.com/common/content/document.ashx?id=21629&languageid=1033&type=datasheet&part=xr32220","http://www.exar.com/connectivity/transceiver/rs232/xr32220/","2-Driver/2-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","2","2","1000","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","XR32220","XR32220EUER-L/TR","http://www.exar.com/common/content/document.ashx?id=21629&languageid=1033&type=datasheet&part=xr32220","http://www.exar.com/connectivity/transceiver/rs232/xr32220/","2-Driver/2-Receiver Intelligent RS-232 Transceiver with 1.65V-5.5V Interface","2","2","1000","15 (Level 4)","3.0","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCA-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCA-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCR-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCT-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCT-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHCY","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHEA-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHEA-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHER-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243EH","SP3243EHEY","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243eh","http://www.exar.com/connectivity/transceiver/rs232/sp3243eh/","High Speed Intelligent +3.0V to +5.5V RS-232 Transceivers","3","5","460","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245ECA-L","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245ECA-L/TR","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245ECY-L","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245ECY-L/TR","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EEA-L","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EEA-L/TR","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EER1-L","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EER1-L/TR","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EEY-L","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3245E","SP3245EEY-L/TR","http://www.exar.com/common/content/document.ashx?id=1281&languageid=1033&type=datasheet&part=sp3245e","http://www.exar.com/connectivity/transceiver/rs232/sp3245e/","1Mbps +3.0V to +5.5V RS-232 Transceiver with Auto On-Line® Plus","3","5","1000","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243EBER","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243EBER/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECA","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECA-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECA-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECR/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECR-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECT","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECT-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECT-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECY-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243ECY-L/TR","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243EEA","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
"exar","Connectivity---Serial Transceivers-RS232-RS232","SP3243E","SP3243EEA-L","http://www.exar.com/common/content/document.ashx?id=636&languageid=1033&type=datasheet&part=sp3243e","http://www.exar.com/connectivity/transceiver/rs232/sp3243e/","Intelligent +3.0V to +5.5V RS-232 Transceiver","3","5","120","15","3","5.5","3.3","▪","4","0.1","▪","▪"
