brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Regulated Outputs (#)","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Min) (V)","VOUT (Max) (V)","Isw Limit(Typ)(A)","MaxDutyCycle","IOUT(max)(A)","Iq (Typ)(mA)","VFB(Typ)(V)","SwitchingFreq(Max)(kHz)","Common Features","Special Features","Control Mode","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2229","http://www.monolithicpower.com/Products/Product-Detail?ProductID=871","http://new.zlgmcu.com/mps_datasheet/MP2229.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3924","MP2229","New","","1.0","21V, 6A, High-Efficiency, Step-Down Converter with External SS and Low-Power Mode","4.5","21.0","0.6","19.9","10.5","0.95","6.0","0.4","0.6","2000.0","External Soft Start, Light Load Efficiency, Sync Rectification","External Frequency Sync, Programmable Frequency","Current Mode","QFN3x3-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1475S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=854","http://new.zlgmcu.com/mps_datasheet/MP1475S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3883","MP1475S","New","","1.0","3A, 16V, 500kHz, Synchronous, Step-Down Converter with PG ","4.5","16.0","0.8","15.0","5.0","0.95","3.0","0.5","0.807","500.0","Power Good, Light Load Efficiency, Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1474S","http://www.monolithicpower.com/Products/Product-Detail?ProductID=853","http://new.zlgmcu.com/mps_datasheet/MP1474S.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3881","MP1474S","New","","1.0","2A, 16V, 500kHz, Synchronous, Step-Down Converter with PG ","4.5","16.0","0.8","15.0","3.0","0.95","2.0","0.5","0.807","500.0","Power Good, Light Load Efficiency, Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP4410","http://www.monolithicpower.com/Products/Product-Detail?ProductID=848","http://new.zlgmcu.com/mps_datasheet/MP4410.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3546","MP4410","New","","1.0","36V, 100mA, 20μA Low Iq Synchronous Step-down Converter","4.5","36.0","","","","","0.1","0.02","1.0","1000.0","External Soft Start, Sync Rectification","Programmable I-limit, Programmable Frequency","Current Mode","QFN3x3-10","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2143H","http://www.monolithicpower.com/Products/Product-Detail?ProductID=847","http://new.zlgmcu.com/mps_datasheet/MP2143H.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3542","MP2143H","New","","1.0","3A, 5.5V, 2MHz, High Efficiency, COT Synchronous Step Down Converter with PG and Auto Discharg","2.5","5.5","0.6","5.0","4.8","1.0","3.0","0.55","0.6","2000.0","Power Good, Sync Rectification","100% Duty Cycle, Output Discharge/Soft Stop","COT","QFN2x3-10","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2148","http://www.monolithicpower.com/Products/Product-Detail?ProductID=846","http://new.zlgmcu.com/mps_datasheet/MP2148.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3539","MP2148","New","","1.0","5.5V, 1A,2.2MHz High-Efficiency, 11uA Iq COT Step-Down Switcher with output discharge ","2.3","5.5","0.6","5.5","2.4","","1.0","0.011","0.6","2200.0","Power Good, Light Load Efficiency, Sync Rectification","Fixed Output, Output Discharge/Soft Stop","COT","QFN1x1.5-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2110","http://www.monolithicpower.com/Products/Product-Detail?ProductID=799","http://new.zlgmcu.com/mps_datasheet/MP2110.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3376","MP2110","New","","1.0","12V, 3A, 1.5MHz Synchronous Step-Down Converter with Programmable Input Current Limit","3.3","12.0","0.6","5.0","5.0","","3.0","0.19","0.6","1500.0","Light Load Efficiency, Sync Rectification","","COT","QFN3x3-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8636H-20","http://www.monolithicpower.com/Products/Product-Detail?ProductID=807","http://new.zlgmcu.com/mps_datasheet/MPQ8636H-20.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3407","MPQ8636H-20","New","","1.0","20A, 4.5-18V,CCM, Hiccup OVP, COT Synchronous Step-down Converter","4.5","18.0","0.611","13.0","25.0","","20.0","1.0","0.611","1000.0","Power Good,External Soft Start,Sync Rectification","Programmable Frequency","COT with fixed CCM","QFN5x4-25","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2131","http://www.monolithicpower.com/Products/Product-Detail?ProductID=904","http://new.zlgmcu.com/mps_datasheet/MP2131.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4026","MP2131","New","","1.0","4A, 5.5V, 1.2MHz, High Efficiency, COT Synchronous Step Down Converter with PG and Auto Discharg","2.7","5.5","0.6","","7.5","1.0","4.0","0.019","0.6","1200.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle,Output Discharge/Soft Stop","COT","QFN2x2-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP9943","http://www.monolithicpower.com/Products/Product-Detail?ProductID=790","http://new.zlgmcu.com/mps_datasheet/MP9943.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3338","MP9943","New","","1.0","High Efficiency 3A Peak, 36V,Synchronous Step Down Converter with Power Good","4.0","30.0","0.8","28.5","4.4","0.95","3.0","0.5","0.792","410.0","Power Good, Light Load Efficiency, Sync Rectification","External Frequency Sync","Current Mode","QFN3x3-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP9942","http://www.monolithicpower.com/Products/Product-Detail?ProductID=789","http://new.zlgmcu.com/mps_datasheet/MP9942.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3335","MP9942","New","","1.0","High Efficiency 2A, 36V,410kHz,Synchronous Step Down Converter with Power Good","4.0","30.0","0.8","28.5","4.2","0.95","2.0","0.85","0.792","410.0","Power Good, Light Load Efficiency, Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB671LB","http://www.monolithicpower.com/Products/Product-Detail?ProductID=782","http://new.zlgmcu.com/mps_datasheet/NB671LB.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3316","NB671LB","New","","1.0","Wide Vin 4.5-24V, 6A, COT Synchronous Step-down Converter with Low Quiescent Current","4.5","24.0","0.604","5.5","9.0","0.955","6.0","0.12","0.604","500.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8636A-10","http://www.monolithicpower.com/Products/Product-Detail?ProductID=783","http://new.zlgmcu.com/mps_datasheet/MPQ8636A-10.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3318","MPQ8636A-10","New","","1.0","10A, 4.5-18V,CCM, Latch-Off OVP/OCP, COT Synchronous Step-down Converter","4.5","18.0","0.611","13.0","17.3","","10.0","0.86","0.611","1000.0","Power Good,External Soft Start,Sync Rectification","Programmable Frequency","COT with fixed CCM","QFN3X4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP4570","http://www.monolithicpower.com/Products/Product-Detail?ProductID=747","http://new.zlgmcu.com/mps_datasheet/MP4570.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3004","MP4570","New","","1.0","3A, 4.5V-55V Input, Frequency Programmable,
Fully Integrated Synchronous, Step-Down Converter","4.5","55.0","1.0","49.5","5.7","","3.0","0.45","1.0","","Power Good,External Soft Start, Light Load Efficiency, Sync Rectification","Programmable Frequency, External Frequency Sync","Current Mode","TSSOP-20 EP","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ4570","http://www.monolithicpower.com/Products/Product-Detail?ProductID=746","http://new.zlgmcu.com/mps_datasheet/MPQ4570.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3002","MPQ4570","New","","1.0","3A, 4.5V-55V Input, Frequency Programmable,
Fully Integrated Synchronous, Step-Down Converter","4.5","55.0","1.0","49.5","5.7","","3.0","0.45","1.0","","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency,External Frequency Sync","Current Mode","TSSOP-20 EP","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2145","http://www.monolithicpower.com/Products/Product-Detail?ProductID=741","http://new.zlgmcu.com/mps_datasheet/MP2145.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2967","MP2145","New","-","1.0","5.5V, 6A,1.2MHz High-Efficiency, 40uA Iq COT Step-Down Switcher with PG and mode selection ","2.8","5.5","0.6","5.5","8.1","","6.0","0.04","0.6","1200.0","Power Good,Light Load Efficiency,Sync Rectification","Dynamic Voltage Scaling","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2147","http://www.monolithicpower.com/Products/Product-Detail?ProductID=742","http://new.zlgmcu.com/mps_datasheet/MP2147.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2970","MP2147","Active","-","1.0","5.5V, 4A,1.2MHz High-Efficiency, 40uA Iq COT Step-Down Switcher with PG and mode selection ","2.8","5.5","0.6","5.5","8.1","","4.0","0.04","0.6","1200.0","Power Good,Light Load Efficiency,Sync Rectification","Dynamic Voltage Scaling","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB673","http://www.monolithicpower.com/Products/Product-Detail?ProductID=711","http://new.zlgmcu.com/mps_datasheet/NB673.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2869","NB673","New","","1.0","High-Effeciency, Fast-Transient, 8A, 24V, Fully-Integrated COT Synchronous Buck with +/-1.5A LDO and Buffed Reference","5.0","24.0","0.604","5.5","9.5","","8.0","0.4","0.604","500.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop","COT","QFN3x4-21","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB672","http://www.monolithicpower.com/Products/Product-Detail?ProductID=710","http://new.zlgmcu.com/mps_datasheet/NB672.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2867","NB672","New","","1.0","High-Effeciency, Fast-Transient, 6A, 24V, Fully-Integrated COT Synchronous Buck with +/-1.5A LDO and Buffed Reference","5.0","24.0","0.604","5.5","8.5","","6.0","0.4","0.604","500.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop","COT","QFN3x4-21","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632D-12","http://www.monolithicpower.com/Products/Product-Detail?ProductID=709","http://new.zlgmcu.com/mps_datasheet/MPQ8632D-12.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2865","MPQ8632D-12","Active","","1.0","12A, 2.5-19V, DCM, Non-latch OVP, COT Synchronous Step-down Converter with output Discharge","2.5","18.0","0.611","13.0","15.0","","12.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Programmable Frequency","COT","QFN3x4-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632D-6","http://www.monolithicpower.com/Products/Product-Detail?ProductID=708","http://new.zlgmcu.com/mps_datasheet/MPQ8632D-6.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2863","MPQ8632D-6","Active","","1.0","6A, 2.5-18V, DCM, Non-latch OVP, COT Synchronous Step-down Converter with output Discharge","2.5","18.0","0.611","13.0","7.5","","6.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Programmable Frequency","COT","QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2318","http://www.monolithicpower.com/Products/Product-Detail?ProductID=700","http://new.zlgmcu.com/mps_datasheet/MP2318.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2879","MP2318","New","","1.0","2A, 24V, 2MHz, Synchronous Step-Down Converter With Light Load Mode","4.5","24.0","0.8","19.9","4.6","0.83","2.0","0.7","0.798","2000.0","Light Load Efficiency,Sync Rectification","","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2316","http://www.monolithicpower.com/Products/Product-Detail?ProductID=701","http://new.zlgmcu.com/mps_datasheet/MP2316.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2882","MP2316","New","","1.0","3A, 19V, 40uA Iq, High Efficiency, Step-Down Converter with PG and External SS","4.0","19.0","0.6","","8.0","","3.0","0.04","0.6","","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN2x3-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2325","http://www.monolithicpower.com/Products/Product-Detail?ProductID=697","http://new.zlgmcu.com/mps_datasheet/MP2325.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2876","MP2325","New","","1.0","3A, 24V, 500kHz, Synchronous Step-Down Converters With PG, Light Load Mode and Low Iq","4.5","24.0","0.8","22.8","5.5","0.95","3.0","0.18","0.791","500.0","Power Good,Light Load Efficiency,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
