"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","Speed(ns)","Pkg(Pins)","Status","Models","Comment/Previous Rev."
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVD1M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVD1M16ALL.pdf"," ","1Mx16","1.7-1.95V","70","VFBGA(54)","Prod","-","CRAM 2.0"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVE1M16EALL/BLL/CLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVE1M16EALL-BLL-CLL.pdf"," ","1Mx16","1.7-1.95V/ 2.7-3.6V","55,70","TFBGA(48)","Prod","-","Asynch/ Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVE2M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVE2M16ALL.pdf","32M","2Mx16","1.7-1.95V","70","TFBGA(48)","Prod","-","Asynch/Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVC2M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVC2M16ALL.pdf"," ","2Mx16","1.7-1.95V","70","VFBGA(54)","Prod","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVC2M16EALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVC2M16EALL.pdf"," ","2Mx16","1.7-1.95V","70","VFBGA(54)","S=NOW","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVC2M16ECLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVC2M16EALL.pdf"," ","2Mx16","1.7-1.95V/2.7-3.6V","70","VFBGA(54)","S=NOW","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVE2M16EALL/BLL/CLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVE2M16EALL-BLL-CLL.pdf"," ","2Mx16","1.7-1.95V/ 2.7-3.6V","55,70","TFBGA(48)","Prod","-","Asynch/ Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVE4M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVE4M16ALL.pdf","64M","4Mx16","1.7-1.95V","70","TFBGA(48)","Prod","-","Asynch/Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVE4M16BLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVE4M16BLL.pdf"," ","4Mx16","2.7 to 3.6V","70","TFBGA(48)","Prod","-","Asynch/Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVC4M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVC4M16ALL.pdf"," ","4Mx16","1.7-1.95V","70","VFBGA(54)","Prod","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVC4M16EALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVC4M16EALL.pdf"," ","4Mx16","1.7-1.95V","70","VFBGA(54)","S=NOW","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVC4M16ECLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVC4M16EALL.pdf"," ","4Mx16","1.7-1.95V/2.7-3.6V","70","VFBGA(54)","S=Q4/15","-","CRAM 1.5"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66WVD4M16ALL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66WVD4M16ALL.pdf"," ","4Mx16","1.7-1.95V","70","VFBGA(54)","Prod","-","CRAM 2.0"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVE4M16EALL/BLL/CLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVE4M16EALL-BLL-CLL.pdf"," ","4Mx16","1.7-1.95V/ 2.7-3.6V","55,70","TFBGA(48)","Prod","-","Asynch/ Page"
"issi","SRAM-CellularRAM/Pseudo SRAM---CellularRAM/Pseudo SRAM","IS66/67WVE4M16TALL/BLL/CLL","http://www.issi.com/US/product-cellular-ram.shtml","http://www.issi.com/WW/pdf/66-67WVE4M16EALL-BLL-CLL.pdf"," ","4Mx16","1.7-1.95V/ 2.7-3.6V","55,70","TFBGA(48)","Prod","-","Asynch/ Page"
